,Concept_ID,kk,ka
511,Hemd::N,жейде,ხალათი
512,Hemd::N,жейде,პერანგი
513,Kragen::N,жаға,საყელო
514,Ärmel::N,жең,სახელო
515,Hose::N,шалбар,შარვალი
516,Gürtel::N,белбеу,ქამარი
517,Mütze::N,қалпақ,ქუდი
518,Schuh::N,кебіс,ფეხსაცმელი
519,Stiefel::N,етік,ჩექმა
520,Ring::N,жүзік,ბეჭედი
521,Band::N,таспа,ბაფთი
522,Kamm::N,тарақ,სავარცხელი
523,Spiegel::N,айна,სარკე
524,Riemen::N,қайыс,ღვედი
525,Schnur::N,жіп,ლარი
526,Leine::N,тізгін,ჯაჭვი
527,Decke::N,көрпе,საბანი
528,Kissen::N,жастық,ბალიში
529,Tuch::N,орамал,მაუდი
530,Tuch::N,орамал,თავშალი
531,Handtuch::N,сүлгі,ხელსახოცი
532,Kraft::N,қуат,ძალა
533,Kraft::N,қарқын,ძალა
534,Kraft::N,әл-шама,ძალა
535,Kraft::N,әл-дәрмен,ძალა
536,Stärke::N,әл,ღონე
537,Stärke::N,күш,ღონე
538,Gesundheit::N,денсаулык,ჯანმრთელობა
539,Krankheit::N,ауру,სენი
540,Krankheit::N,ауру,ავადმყოფობა
541,Schmerz::N,ауру,ტკივილი
542,Wunde::N,зақым,იარი
543,Wunde::N,зақым,ჭრილობა
544,Wunde::N,жарақат,იარი
545,Wunde::N,жарақат,ჭრილობა
546,Fieber::N,безгек,ციება
547,Fieber::N,қалтырау,ციება
548,Fieber::N,қызу көтерілуі,ციება
549,Arznei::N,дәрі,წამალი
550,Arznei::N,дәрі-дәрмек,წამალი
551,Brücke::N,көпір,ხიდი
552,Brunnen::N,құдық,ჭა
553,Weide::N,өріс,საძოვარი
554,Weide::N,жайылым,საძოვარი
555,Pfad::N,жол,ბილიკი
556,Weg::N,жол,გზა
557,Straße::N,жол,შარაგზა
558,Dorf::N,ауыл,დაბა
559,Dorf::N,ауыл,სოფელი
560,Stadt::N,қала,ქალაქი
561,Stadt::N,шаһар,ქალაქი
562,Brief::N,хат,წერილი
563,Brief::N,жазу,წერილი
564,Buch::N,кітап,წიგნი
565,Buchstabe::N,әріп,ასო
566,Buchstabe::N,қаріп,ასო
567,Zeitung::N,газет,გაზეთი
568,Leben::N,өмір,სიცოცხლე
569,Leben::N,тіршілік,სიცოცხლე
570,Tod::N,опат,სიკვდილი
571,Grab::N,мола,სამარე
572,Grab::N,мола,საფლავი
573,Grab::N,мазар,სამარე
574,Grab::N,мазар,საფლავი
575,Kirche::N,шіркеу,ეკლესია
576,Sünde::N,күнә,ცოდვა
577,Gott::N,алла,ღმერთი
578,Gott::N,құдай,ღმერთი
579,Gott::N,тәңірі,ღმერთი
580,Gott::N,пәруардігер,ღმერთი
581,Gott::N,жаратқан тәңірі,ღმერთი
582,Arbeiter::N,жүмысшы,მუშა
583,Chef::N,басшы,გამგე
584,Chef::N,жұмыс басқарушысы,გამგე
585,Meister::N,шебер,ოსტატი
586,Meister::N,өнерпаз,ოსტატი
587,Arzt::N,дәрігер,ექიმი
588,Arzt::N,дәрігер,მკურნალი
589,Lehrer::N,мұғалім,მასწავლებელი
590,Geld::N,пұл,ფული
591,Geschäft::N,бизнес,საქმე
592,Geschäft::N,бизнес,ბიზნესი
593,Laden::N,дүкен,დუქანი
594,Laden::N,дүкен,მაღაზია
595,Preis::N,ақы,ფასი
596,Preis::N,құны,ფასი
597,Preis::N,нарық,ფასი
598,Ware::N,тауар,საქონელი
599,Nutzen::N,пайда,ხეირი
600,Reichtum::N,бақ-дәулет,სიმდიდრე
601,Welt::N,әлем,მსოფლიო
602,Welt::N,жиһан,მსოფლიო
603,Land::N,аймақ,მხარე
604,Land::N,аймақ,ქვეყანა
605,Staat::N,мемлекет,სახელმწიფო
606,König::N,патша,მეფე
607,Macht::N,өкімет,ძლიერება
608,Macht::N,қожалық,ძლიერება
609,Grenze::N,шек,ზღვარი
610,Krieg::N,соғыс,ომი
611,Feind::N,жау,მტერი
612,Feind::N,дұшпан,მტერი
613,Gewalt::N,зорлык,სისასტიკე
614,Gewalt::N,зорлық-зомбылык,სისასტიკე
615,Kampf::N,күрес,ბრძოლა
616,Kampf::N,алыспақ,ბრძოლა
617,Bogen[Waffe]::N,саржа,მშვილდი
618,Pfeil::N,жебе,ისარი
619,Pfeil::N,жебе,მახვილი
620,Gewehr::N,қару,თოფი
621,Gewehr::N,қару,შაშხანა
622,Fehler::N,әбес,შეცდომა
623,Fehler::N,қаталық,შეცდომა
624,Lüge::N,өтірік,სიცრუე
625,Schaden::N,зиян,ვნება
626,Schaden::N,зарар,ვნება
627,Unglück::N,пәле,ხიფათი
628,Unglück::N,пәле,უბედურება
629,Unglück::N,қасырет,ხიფათი
630,Unglück::N,қасырет,უბედურება
631,Unglück::N,ауыртпалық,ხიფათი
632,Unglück::N,ауыртпалық,უბედურება
633,Schuld::N,айыптылық,ბრალი
634,Alter::N,жас,ასაკი
635,Alter::N,жас шамасы,ასაკი
636,Schluss::N,ада,ბოლო
637,Schluss::N,ада,დასასრული
638,Schluss::N,бітуі,ბოლო
639,Schluss::N,бітуі,დასასრული
