,Concept_ID,myv,ba
302,Anzahl::N,ламоксчи,һан
303,Art::N,вид,төр
304,Stück::N,пакш,киҫәк
305,Stück::N,пелькс,киҫәк
306,Teil::N,часть,өлөш
307,Teil::N,пелькс,өлөш
308,Hälfte::N,пель,ярты
309,Hälfte::N,пелькс,ярты
310,Kreis::N,кирькс,түңәрәк
311,Kreuz::N,крёст,тәре
312,Linie::N,кикс,һыҙыҡ
313,Strich::N,межа,һыҙат
314,Abstand::N,ютко,ара
315,Entfernung::N,ютко,алыҫлыҡ
316,Gegend::N,тарка,урын
317,Gegend::N,пертьпелькс,урын
318,Platz::N,васолкс,арауыҡ
319,Ort::N,тарка,ерҙәр
320,Ort::N,тарка,урындар
321,Ort::N,тарка,эш урыны
322,Seite::N,ён,яҡ
323,Seite::N,чире,яҡ
324,Mitte::N,куншка,урталыҡ
325,Gegenstand::N,предмет,нәмә
326,Sache::N,тев,нәмә
327,Sache::N,тев,әйбер
328,Sache::N,веща,нәмә
329,Sache::N,веща,әйбер
330,Rand::N,пе,сит
331,Rand::N,чире,сит
332,Kante::N,ирдез,ҡабырға
333,Kante::N,ирдез,ян
334,Ecke::N,ужо,мөйөш
335,Spitze::N,пряне,ос
336,Spitze::N,пе,ос
337,Ende::N,пе,аҙаҡ
338,Loch::N,варя,тишек
339,Winkel::N,ужо,мөйөш
340,Muster::N,сёрма,биҙәк
341,Größe::N,сэрь,ҙурлыҡ
342,Größe::N,покшолма,ҙурлыҡ
343,Länge::N,кувалмо,оҙонлоҡ
344,Höhe::N,сэрь,бейеклек
345,Höhe::N,пандо,бейеклек
346,Gewicht::N,сталмо,үлсәү
347,Menge::N,лововкс,һан
348,Haufen::N,мар,өйөм
349,Haufen::N,валявкс,өйөм
350,Reihe::N,ряд,рәт
351,Boot::N,венч,кәмә
352,Ruder::N,милё,ишкәк
353,Schlitten::N,нурдт,сана
354,Ski::N,сокс,саңгы
355,Lagerfeuer::N,толбандя,костер
356,Last::N,сталмо,ауырлыҡ
357,Last::N,кандома,ауырлыҡ
358,Gang::N,молема,барыу
359,Gang::N,якамо,барыу
360,Schritt::N,эскелькс,аҙым
361,Norden::N,якшамо ёнкс,төньяҡ
362,Süden::N,лембе ёнкс,көньяҡ
363,Westen::N,чивалгома,көнбайыш
