,Concept_ID,myv,la
420,Beutel::N,кескав,sacculus
421,Bündel::N,керькс,fascis
422,Tasche::N,юдма,sacculus
423,Eimer::N,ведра,situla
424,Deckel::N,велькс,operculum
425,Geschirr::N,кедьге,vasa
426,Sack::N,кескав,saccus
427,Tasse::N,чакш,pocillum
428,Topf::N,кастрюля,olla
429,Kessel::N,котёл,aenum
430,Essen::N,ярсамо,cena
431,Nahrung::N,ярсамопель,cibus
432,Nahrung::N,ярсамопель,alimenta
433,Speise::N,ярсамопель,cibus
434,Fleisch::N,сывель,caro
435,Getreide::N,сюро,frumentum
436,Brei::N,каша,puls
437,Brot::N,кши,panis
438,Scheibe::N,кочом,frustum
439,Scheibe::N,сускомо,frustum
440,Fett::N,куя,pingue
441,Butter::N,ой,butȳrum
442,Öl::N,ой,oleum
443,Salz::N,сал,sal
444,Suppe::N,ям,ius
445,Honig::N,медь,mel
446,Milch::N,ловсо,lac
447,Tee::N,чай,thea
448,Leder::N,киське,corium
449,Wolle::N,пона,lana
450,Stoff::N,коцт,textum
451,Nadel::N,салмукс,acus
452,Faden::N,суре,filum
453,Knopf::N,пов,bulla
454,Knoten::N,сюлмо,nodus
455,Farbe::N,артомапель,pigmentum
456,Kleidung::N,оршамот,vestimenta
457,Hemd::N,панар,tunica
458,Kragen::N,сиве,collare
459,Ärmel::N,ожа,manica
460,Hose::N,понкст,bracae
461,Gürtel::N,каркс,cingulum
462,Mütze::N,чапка,pilleus
463,Schuh::N,туфля,calceus
464,Stiefel::N,кем,pero
465,Stiefel::N,кем,caliga
466,Ring::N,суркс,anulus
467,Band::N,лента,redimiculum
468,Kamm::N,сурсеме,pecten
469,Spiegel::N,чавачамо,speculum
470,Riemen::N,кшнань каркс,lorum
471,Schnur::N,пикс,linum
472,Leine::N,ведьме,retinaculum
473,Decke::N,вельтямо,lodix
474,Kissen::N,тодов,pulvinus
475,Tuch::N,паця,velum
476,Handtuch::N,нардамо,mantele
477,Kraft::N,вий,vis
478,Stärke::N,виевчи,robur
479,Gesundheit::N,шумбрачи,valetudo
