,Concept_ID,sah,bn
577,dunkel::A,хараҥа,অন্ধকারময়
578,schwarz::A,хара,কালো
579,weiß::A,үрүҥ,সাদা
580,weiß::A,маҥан,সাদা
581,rot::A,кыһыл,লাল
582,gelb::A,саһархай,হলদে
583,blau::A,күөх,নীল
584,grün::A,күөх,সবুজ
585,grün::A,от күөҕэ,সবুজ
586,grau::A,сиэрэй,ছাই-রঙা
587,bunt::A,эриэн,রঙিন
588,billig::A,чэпчэки,সস্তা
589,teuer::A,сыаналаах,আক্রা
590,wertvoll::A,сыаналаах,মহার্ঘ
591,blind::A,хараҕа суох,কানা
592,taub::A,дьүлэй,বধির
593,kräftig::A,модун,বিশাল
594,stark::A,күүстээх,শক্তিশালী
595,schwach::A,мөлтөх,দুর্বল
596,fett::A,эмис,মোটা
597,schlank::A,дьылҕан,কৃশ
598,schlank::A,дьыпсаҕай,কৃশ
599,hübsch::A,олус кэрэ,সুন্দর
600,hübsch::A,көрүөхтэн үчүгэй,সুন্দর
601,böse::A,өһүөннээх,খারাপ
602,dumm::A,акаары,মূর্খ
603,faul::A,нэс,শ্রমবিমুখ
604,fleißig::A,кыһамньылаах,পরিশ্রমী
605,geizig::A,иҥсэлээх,ব্যয়কুণ্ঠ
606,klug::A,өйдөөх,দক্ষ
607,geschickt::A,наһаа дьоҕурдаах,পটু
608,lieb::A,тапталлаах,প্রেয়
609,lustig::A,көрдөөх,প্রফুল্ল
610,sanft::A,намчы,নম্র
611,sanft::A,сымнаҕас,নম্র
612,hungrig::A,аччык,ক্ষুধার্ত
613,krank::A,ыалдьар,অসুস্থ
614,nackt::A,сыгынньах,উলঙ্গ
615,traurig::A,санаарҕабыллаах,দুঃখিত
616,lebendig::A,тыыннаах,জীবিত
617,gut::A,үтүө,ভালো
618,gut::A,үчүгэй,ভালো
619,schlecht::A,куһаҕан,মন্দ
620,richtig::A,сөп,ঠিক
621,schlimm::A,сидьиҥ,কদর্য
622,schlimm::A,быдьар,কদর্য
623,wahr::A,кырдьык,বাস্তব
624,alt::A,былыргы,পুরাতন
625,neu::A,саҥа,নব
626,neu::A,саҥа,নূতন
627,ehemalig::A,урукку,পূর্বকালীন
628,alt[Lebewesen]::A,кырдьаҕас,বৃদ্ধ
629,jung::A,эдэр,তরুণ
630,arm::A,дьадаҥы,ক্ষুদ্র
631,reich::A,баай,ধনবান্
632,bekannt::A,билэр,সুপরিচিত
633,berühmt::A,аатырбыт,বিখ্যাত
634,fremd::A,атын,বিদেশি
635,verschieden::A,араас,বিসদৃশ
636,nah::A,чугас,নিকটবতী
637,fern::A,ыраах,দুরবতী
638,linker::A,хаҥас,বাম
639,rechter::A,уҥа,ডান
640,rechter::A,уҥа,ডাইন
641,anderer::A,атын,অন্যতর
642,erster::A,маҥнайгы,প্রথম
643,zweiter::A,иккис,দ্বিতীয়
644,dritter::A,үһүс,তৃতীয়
645,letzter::A,тиһэх,সর্বশেষ
646,allein::ADV,соҕотох,একক
647,auf einmal::ADV,биирдэ,জলদি
648,zusammen::ADV,холбуу,একসঙ্গে
649,lange::ADV,уһуннук,লম্বা
650,plötzlich::ADV,эмискэ,হঠাৎ
651,sofort::ADV,тута,মুহ্ণর্তমধ্যে
652,später::ADV,хойут,পশ্চাতে
653,jetzt::ADV,билигин,এখন
654,heute::ADV,бүгүн,আজ
655,morgen::ADV,сарсын,আগামিকাল
656,bald::ADV,өтөр,অস্পকালমধ্যে
657,dann::ADV,кэнна,তখন
658,gestern::ADV,бэҕэһээ,গতকাল
659,einst::ADV,биир төгүл,একবার মাত্র
660,einst::ADV,арай биирдэ,একবার মাত্র
661,damals::ADV,оччоҕо,তখন
662,danach::ADV,аары,পরে
663,danach::ADV,ол кэнниттэн,পরে
664,vorher::ADV,урут,আগে
665,zuerst::ADV,маҥнай,আগে
666,einmal::ADV,биирдэ,একবার
667,manchmal::ADV,арыт,কখনও কখনও
668,oft::ADV,чаастатык,ঘনঘন
669,immer::ADV,мэлдьи,সর্বদা
670,niemals::ADV,хаһан да,কখলও নহে
671,hier::ADV,маныаха,এখানে
672,hierhin::ADV,бэттэх,এখানে
673,von hier::ADV,мантан,ত্রই স্তান হইতে
