,Concept_ID,bg,el
387,Brett::N,дъска,σανίδι
388,Stange::N,прът,ραβδί
389,Stange::N,прът,κοντός
390,Stange::N,върлина,ραβδί
391,Stange::N,върлина,κοντός
392,Stock::N,прът,ξύλο
393,Stock::N,прът,μπαστούνι
394,Stock::N,тояга,ξύλο
395,Stock::N,тояга,μπαστούνι
396,Stab::N,прът,ραβδί
397,Rohr::N,цев,σωλήνας
398,Rohr::N,тръба,σωλήνας
399,Haus::N,къща,σπίτι
400,Heim::N,дом,σπίτι
401,Ofen::N,печка,σόμπα
402,Ofen::N,печка,θερμάστρα
403,Fußboden::N,под,πάτωμα
404,Tisch::N,маса,τραπέζι
405,Stuhl::N,стол,καρέκλα
406,Wiege::N,люлка,κούνια
407,Bett::N,легло,κρεβάτι
408,Bett::N,креват,κρεβάτι
409,Regal::N,рафт,ράφι
410,Regal::N,етажерка,ράφι
411,Kiste::N,кутия,κιβώτιο
412,Kiste::N,сандък,κιβώτιο
413,Fenster::N,прозорец,παράθυρο
414,Tür::N,врата,πόρτα
415,Tor::N,врата,πύλη
416,Zaun::N,ограда,φράχτης
417,Dach::N,покрив,στέγη
418,Leiter::N,стълба,σκάλα
419,Leiter::N,стълба,κλίμακα
420,Besen::N,метла,σκούπα
421,Spaten::N,лопата,φτυάρι
422,Schaufel::N,лопата,φτυάρι
423,Gabel::N,вилица,πιρούνι
424,Löffel::N,лъжица,κουτάλι
425,Messer::N,нож,μαχαίρι
426,Nagel::N,гвоздей,καρφί
427,Netz::N,мрежа,δίχτυ
428,Haken::N,кука,γάντζος
429,Haken::N,кука,αγκίστρι
430,Haken::N,закачалка,γάντζος
431,Haken::N,закачалка,αγκίστρι
432,Griff::N,ръчка,λαβή
433,Griff::N,дръжка,λαβή
434,Schloss::N,брава,κλειδαριά
435,Schloss::N,ключалка,κλειδαριά
436,Bild::N,картина,εικόνα
437,Figur::N,фигура,ανάστημα
438,Puppe::N,кукла,κούκλα
439,Beutel::N,кесия,πουγγί
440,Bündel::N,връзка,δεμάτι
441,Tasche::N,чанта,τσάντα
442,Eimer::N,кофа,κουβάς
443,Deckel::N,капак,καπάκι
444,Deckel::N,похлупак,καπάκι
445,Geschirr::N,съдове,σκεύη
446,Sack::N,чувал,σάκος
447,Tasse::N,чаша,φλιτζάνι
448,Topf::N,гърне,χύτρα
449,Topf::N,тенджера,χύτρα
450,Kessel::N,котел,καζάνι
451,Essen::N,ядене,φαγητό
452,Nahrung::N,храна,τροφή
453,Speise::N,ястие,φαγητό
454,Fleisch::N,месо,κρέας
455,Getreide::N,зърнено храни,σιτάρι
456,Brei::N,каша,χυλός
457,Brot::N,хляб,ψωμί
458,Brot::N,хляб,άρτος
459,Scheibe::N,резен,φέτα
460,Fett::N,мазнина,πάχος
461,Butter::N,масло,βούτυρο
462,Öl::N,олио,λάδι
463,Öl::N,оливия,λάδι
464,Salz::N,сол,αλάτι
465,Suppe::N,супа,σούπα
466,Honig::N,мед,μέλι
467,Milch::N,мляко,γάλα
468,Tee::N,чай,τσάι
469,Leder::N,кожа,πετσί
470,Wolle::N,вълна,μαλλί
471,Stoff::N,плат,ύφασμα
472,Stoff::N,материал,ύφασμα
473,Nadel::N,игла,βελόνα
474,Faden::N,конец,κλωστή
475,Knopf::N,копче,κουμπί
476,Knoten::N,възел,κόμπος
477,Farbe::N,боя,μπογιά
478,Kleidung::N,дрехи,ρούχα
479,Kleidung::N,дрехи,ενδυμασία
480,Kleidung::N,облекло,ρούχα
481,Kleidung::N,облекло,ενδυμασία
482,Hemd::N,риза,πουκάμισο
483,Kragen::N,яка,κολάρο
484,Ärmel::N,ръкав,μανίκι
485,Hose::N,панталони,πανταλόνι
486,Gürtel::N,пояс,ζώνη
487,Gürtel::N,колан,ζώνη
488,Mütze::N,каскет,σκούφος
489,Mütze::N,фуражка,σκούφος
490,Schuh::N,обувка,παπούτσι
491,Stiefel::N,ботуш,μπότα
492,Ring::N,пръстен,δαχτυλίδι
493,Band::N,лента,κορδέλα
494,Band::N,връзка,κορδέλα
495,Kamm::N,гребен,χτένα
496,Spiegel::N,огледало,καθρέφτης
497,Riemen::N,каиш,λουρί
498,Riemen::N,ремък,λουρί
499,Schnur::N,връв,κορδόνι
500,Leine::N,връв,σχοινί
501,Leine::N,въже,σχοινί
502,Decke::N,покривка,κουβέρτα
503,Kissen::N,възглавница,μαξιλάρι
504,Tuch::N,сукно,πανί
505,Tuch::N,сукно,μαντήλι
506,Handtuch::N,пешкир,πετσέτα
507,Handtuch::N,кърпа за лице,πετσέτα
508,Kraft::N,мощ,δύναμη
509,Kraft::N,сила,δύναμη
510,Stärke::N,сила,ισχύς
511,Stärke::N,сила,δύναμη
512,Gesundheit::N,здраве,υγεία
513,Krankheit::N,болест,αρρώστια
514,Schmerz::N,болка,πόνος
515,Wunde::N,рана,πληγή
516,Fieber::N,треска,πυρετός
517,Fieber::N,температура,πυρετός
518,Arznei::N,лек,φάρμακο
519,Arznei::N,лекарство,φάρμακο
520,Brücke::N,мост,γέφυρα
521,Brunnen::N,чешма,πηγάδι
522,Brunnen::N,кладенец,πηγάδι
523,Weide::N,паша,βοσκή
524,Weide::N,пасище,βοσκή
525,Pfad::N,пътека,μονοπάτι
526,Weg::N,път,δρόμος
527,Straße::N,шосе,οδός
528,Straße::N,шосе,δρόμος
529,Dorf::N,село,χωριό
530,Stadt::N,град,πόλη
531,Brief::N,писмо,γράμμα
532,Brief::N,писмо,επιστολή
533,Buch::N,книга,βιβλίο
534,Buchstabe::N,буква,γράμμα
535,Zeitung::N,вестник,εφημερίδα
536,Leben::N,живот,ζωή
537,Leben::N,живот,βίος
538,Tod::N,смърт,θάνατος
539,Grab::N,гроб,τάφος
540,Kirche::N,църква,εκκλησία
541,Sünde::N,грях,αμαρτία
542,Gott::N,бог,θεός
543,Arbeiter::N,работник,εργάτης
544,Chef::N,шеф,προϊστάμενος
545,Chef::N,началник,προϊστάμενος
546,Meister::N,майстор,μάστορας
547,Meister::N,майстор,αρχιτεχνίτης
