,Concept_ID,ce,lt
317,Sache::N,хӏума,daiktas
318,Rand::N,йист,kraštas
319,Rand::N,йист,pakraštys
320,Kante::N,йист,kraštas
321,Ecke::N,са,kertė
322,Ecke::N,са,kampas
323,Spitze::N,ралла,priekis
324,Spitze::N,ралла,priešakys
325,Ende::N,юьхьиг,galas
326,Loch::N,ӏуьрг,skylė
327,Winkel::N,са,kampas
328,Winkel::N,са,kampelis
329,Muster::N,дагар,raštas
330,Muster::N,тӏамар,raštas
331,Größe::N,барам,dydis
332,Größe::N,барам,didumas
333,Länge::N,йохалла,ilgis
334,Länge::N,йохалла,ilgumas
335,Höhe::N,локхалла,aukštis
336,Höhe::N,локхалла,aukštuma
337,Gewicht::N,йозалла,svoris
338,Gewicht::N,йозалла,svarstis
339,Menge::N,дукхалла,kiekis
340,Menge::N,дукхалла,daugybė
341,Haufen::N,сал,krūva
342,Haufen::N,сал,šūsnis
343,Haufen::N,оьла,krūva
344,Haufen::N,оьла,šūsnis
345,Reihe::N,рагӏ,greta
346,Reihe::N,могӏа,greta
347,Boot::N,кема,valtis
348,Boot::N,кема,laivelis
349,Ruder::N,пийсиг,irklas
350,Schlitten::N,салаз,rogės
351,Schlitten::N,салаз,rogutės
352,Ski::N,когсалаз,slidė
353,Lagerfeuer::N,цӏе,laužas
354,Last::N,дукъ,našta
355,Last::N,дукъ,nešulys
356,Gang::N,лелар,eisena
357,Schritt::N,гӏулч,žingsnis
358,Norden::N,къилбаседе,šiaurė
359,Norden::N,къилбаседе,žiemiai
360,Süden::N,къилбе,pietūs
361,Westen::N,малхбузе,vakarai
362,Osten::N,малхбале,rytai
363,Holz::N,дечиг,mediena
364,Brett::N,у,lenta
365,Platte::N,у,plokštė
366,Stütze::N,гӏopтоp,atrama
367,Stütze::N,гӏopтоp,atspara
368,Stange::N,гӏуркх,lazda
369,Stange::N,гӏуркх,kartis
370,Stock::N,ӏаса,lazda
371,Stab::N,гӏаж,kartis
372,Rohr::N,биргӏа,vamzdis
373,Haus::N,цӏа,namas
374,Heim::N,кхерч,namai
375,Ofen::N,кхерч,krosnis
376,Fußboden::N,цӏенкъа,grindys
377,Tisch::N,шун,stalas
378,Stuhl::N,гӏант,kėdė
379,Wiege::N,ага,lopšys
380,Bett::N,маьнга,lova
381,Bett::N,маьнга,patalai
382,Regal::N,терхи,lentyna
383,Kiste::N,яьшка,dėžė
384,Fenster::N,кор,langas
385,Tür::N,неӏ,durys
386,Tor::N,ков,vartai
387,Zaun::N,керт,tvora
388,Dach::N,тхов,stogas
389,Leiter::N,лами,kopėčios
390,Besen::N,нуй,šluota
391,Spaten::N,бел,lopeta
392,Spaten::N,бел,kastuvas
393,Schaufel::N,аьшкал,semtuvas
394,Gabel::N,мӏара,šakutė
395,Löffel::N,ӏайг,šaukštas
396,Messer::N,урс,peilis
397,Nagel::N,хьостам,vinis
398,Netz::N,бой,tinklas
399,Haken::N,мӏара,vagis
400,Haken::N,мӏара,kablys
401,Schloss::N,чӏега,spyna
402,Schloss::N,чӏега,užraktas
403,Bild::N,сурт,paveikslas
404,Puppe::N,тайниг,lėlė
405,Beutel::N,гали,krepšys
406,Beutel::N,гали,maišelis
407,Bündel::N,кочар,ryšulys
408,Tasche::N,тӏоьрмиг,krepšelis
409,Eimer::N,чийлик,kibiras
410,Deckel::N,негӏар,dangtis
411,Geschirr::N,пхьегӏа,indai
412,Sack::N,гали,maišas
413,Tasse::N,кад,puodukas
414,Topf::N,яй,puodas
