,Concept_ID,hy,fa
301,Ruf::N,կոչ,صدا
302,Ruf::N,կանչ,صدا
303,Lärm::N,աղմուկ,هیاهو
304,Laut::N,հնչյուն,صدا
305,Laut::N,ձայն,صدا
306,Ton::N,տոն,آهنگ
307,Lied::N,երգ,آواز
308,Lied::N,երգ,ترانه
309,Ruhe::N,անդորրություն,آرامش
310,Leute::N,մարդիկ,مردم
311,Volk::N,ազգ,خلق
312,Arbeit::N,գործ,کار
313,Arbeit::N,աշխատանք,کار
314,Gast::N,հյուր,مهمان
315,Geschenk::N,նվեր,هدیه
316,Spiel::N,խաղ,بازی
317,Gesellschaft::N,ընկերություն,جمعیت
318,Hilfe::N,օգնությթուն,کمک
319,Freund::N,ընկեր,دوست
320,Freund::N,բարեկամ,دوست
321,Kamerad::N,ուղեկից,رفیق
322,Angelegenheit::N,բան,امر
323,Angelegenheit::N,բան,قضیه
324,Angelegenheit::N,գործ,امر
325,Angelegenheit::N,գործ,قضیه
326,Anzahl::N,քանակ,عده
327,Anzahl::N,քանակ,شمار
328,Anzahl::N,գումար,عده
329,Anzahl::N,գումար,شمار
330,Art::N,տեսակ,نوع
331,Stück::N,կտոր,تکه
332,Stück::N,կտոր,قطعه
333,Teil::N,մաս,بخش
334,Teil::N,մաս,قسمت
335,Hälfte::N,կես,نیم
336,Kreis::N,շիջանակ,حلقه
337,Kreis::N,շիջանակ,دایره
338,Kreuz::N,խաչ,صلیب
339,Linie::N,գիծ,خط
340,Linie::N,գիծ,سطر
341,Strich::N,գիծ,خط
342,Abstand::N,անջրպետ,فاصله
343,Entfernung::N,հեռավորություն,مسافت
344,Gegend::N,շրջան,منطقه
345,Platz::N,տարածություն,گنجایش
346,Ort::N,տեղ,جا
347,Ort::N,տեղ,محل
348,Ort::N,տեղ,مکان
349,Ort::N,վայր,جا
350,Ort::N,վայր,محل
351,Ort::N,վայր,مکان
352,Seite::N,կողմ,طرف
353,Mitte::N,մեջտեղ,وسط
354,Mitte::N,մեջտեղ,میان
355,Gegenstand::N,առարկա,چیز
356,Sache::N,բան,چیز
357,Rand::N,վերջք,کنار
358,Rand::N,վերջք,حاشیه
359,Kante::N,եզր,لبه
360,Ecke::N,անկյուն,گوشه
361,Spitze::N,ծայր,سر
362,Spitze::N,ծայր,نوک
363,Ende::N,ծայր,ته
364,Ende::N,ծայր,آخر
365,Loch::N,անցք,سوراخ
366,Winkel::N,անկյուն,کنج
367,Muster::N,օրինակ,نقش
368,Größe::N,մեծություն,قد
369,Größe::N,մեծություն,بزرگی
370,Länge::N,երկարություն,طول
371,Höhe::N,բարձրություն,بلندی
372,Gewicht::N,կշիռ,وزن
373,Menge::N,քանակ,مقدار
374,Menge::N,քանակ,اندازه
375,Haufen::N,դեզ,توده
376,Haufen::N,կույտ,توده
377,Reihe::N,շարք,ردیف
378,Reihe::N,կարգ,ردیف
379,Boot::N,նավակ,قایق
380,Ruder::N,թի,پارو
381,Ruder::N,թիակ,پارو
382,Schlitten::N,բալխիր,سورتمه
383,Ski::N,դահուկ,اسکی
384,Lagerfeuer::N,բացօդեայ կրակ,آتش
385,Last::N,բեռ,بار
386,Last::N,բեռ,سنگینی
387,Gang::N,զբոսանք,راه رفتن
388,Schritt::N,քայլ,قدم
389,Norden::N,հյուսիս,شمال
390,Süden::N,հարավ,جنوب
391,Westen::N,արեւմուտք,غرب
392,Osten::N,արեւելք,شرق
393,Holz::N,փայտ,چوب
394,Brett::N,տախտակ,تخته
395,Platte::N,թիթեղ,صفحه
396,Stütze::N,նեցուկ,تکیه
397,Stange::N,ձող,میله
