,Concept_ID,lbe,cv
1252,sich trennen::V,ппив хьун,уйрӑл
1253,verlassen::V,увккун гьан,хӑвар
1254,retten::V,ххассал бан,ҫӑл
1255,bewachen::V,къарал бан,хуралла
1256,schützen::V,ябан,сыхла
1257,verteidigen::V,буруччин,хӳтӗле
1258,sich schlagen::V,биян,ҫапӑҫ
1259,schießen::V,битлан,пер
1260,siegen::V,ххув хьун,ҫӗн
1261,siegen::V,ххув хьун,ҫӗнтер
1262,siegen::V,ххувшаву ласун,ҫӗн
1263,siegen::V,ххувшаву ласун,ҫӗнтер
1264,ärgern::V,ссибизан уллан,тарӑхтар
1265,ärgern::V,ссибизан уллан,ҫиллентер
1266,schlagen::V,рищун,ҫап
1267,stechen::V,кьутӏин,чик
1268,stoßen::V,щун,чыш
1269,stehlen::V,дацин,вӑрла
1270,stören::V,кьючин,кансӗрле
1271,belästigen::V,бизар уллан,аптӑрат
1272,belästigen::V,бизар уллан,хупла
1273,verbergen::V,лабитан,пытар
1274,verbergen::V,кӏучӏ бан,пытар
1275,täuschen::V,хъяврин ан,суй
1276,betrügen::V,аьикьин ан,ултала
1277,töten::V,ивчӏан,вӗлер
1278,wohnen::V,оьрму бутлан,чуна пар
1279,wohnen::V,оьрму бутлан,парӑнса тӑр
1280,arbeiten::V,зун,ӗҫле
1281,sammeln::V,ттихӏин,пух
1282,sammeln::V,вив дишин,пух
1283,pflücken::V,риттун,тат
1284,jagen::V,авли занан,сунара ҫӳре
1285,fischen::V,чавахъру бугьлан,пулӑ тыт
1286,fassen::V,бугьан,тыт
1287,hüten::V,урттуйн бакьлан,кӗт
1288,treiben::V,дачин дуллан,хӑвала
1289,treiben::V,лихъан буллан,хӑвала
1290,anbinden::V,бахӏин,кӑкар
1291,füttern::V,канаки буллан,ҫитер
1292,melken::V,ттизин,су
1293,hacken::V,мюрш буллан,вакла
1294,hacken::V,мюрш бан,вакла
1295,gießen::V,щин дишин,шӑвар
1296,reifen::V,диян,пиҫ
1297,zubereiten::V,хӏадур дан,пӗҫер
1298,zubereiten::V,хӏадур бан,пӗҫер
1299,kochen::V,шашан,пӗҫер
1300,kochen::V,шашан дуллан,пӗҫер
1301,backen::V,бишлан,пӗҫер
1302,backen::V,шахьлан,пӗҫер
1303,braten::V,цӏарайх дуллан,ӑшала
1304,umrühren::V,хӏала бан,хутӑштар
1305,stricken::V,щащлан,ҫых
1306,stricken::V,щащан,ҫых
1307,nähen::V,дуруххан,ҫӗле
1308,färben::V,ранг щун,пӗвет
1309,reinigen::V,марцӏ бан,тасат
1310,waschen::V,шюшин,ҫу
1311,abwischen::V,лишин,шӑл
1312,spülen::V,вилаган,чӳхе
1313,fegen::V,башин,шӑл
1314,kehren::V,бахьлан,шӑл
1315,baden::V,щинавун учӏлан,шыва кӗр
1316,sich waschen::V,диссун,ҫӑвӑн
1317,sich waschen::V,лажин диссун,ҫӑвӑн
1318,sich waschen::V,лажин дислан,ҫӑвӑн
1319,sich waschen::V,биссун,ҫӑвӑн
1320,sich waschen::V,чурх бислан,ҫӑвӑн
1321,ausziehen::V,ликкан,салан
1322,anziehen::V,лаххан,тӑхӑн
1323,sich anziehen::V,янна лаххан,тӑхӑн
1324,kämmen::V,ттарал дуккан,тура
1325,schmücken::V,чӏюлу бан,илемлет
1326,sagen::V,учин,те
1327,sprechen::V,гъалгъа тӏун,кала
1328,reden::V,гъалгъа тӏун,сӑмахла
1329,reden::V,гъалгъа тӏун,калаҫ
1330,sich unterhalten::V,гъалгъа тӏун,пупле
1331,fragen::V,цӏуххин,ыйт
1332,bitten::V,тавакъю буллан,ыйт
1333,erzählen::V,хавар бусан,каласа пар
1334,mitteilen::V,баян бан,пӗлтер
1335,mitteilen::V,баян бан,хыпарла
1336,mitteilen::V,хавар бан,пӗлтер
1337,mitteilen::V,хавар бан,хыпарла
1338,nennen::V,цӏа дизан,те
1339,nennen::V,цӏа дизан,чӗн
1340,rufen::V,оьвтӏун,чӗн
1341,prahlen::V,цӏа дуллан,мухтан
1342,prahlen::V,цӏа дуллан,вӗҫкӗнлен
1343,übersetzen::V,таржума бан,куҫар
1344,denken::V,пикри буллан,шухӑшла
1345,glauben::V,вих хьун,ӗнен
1346,bemerken::V,хӏисав хъун,асӑрха
1347,erkennen::V,увчӏин,палла
1348,begreifen::V,бувчӏин,ӑнлан
1349,lernen::V,лахьлан,вӗрен
1350,lernen::V,лахьхьин,вӗрен
1351,wissen::V,кӏулну бикӏан,пӗл
1352,wissen::V,кӏулну бикӏан,ӑнкар
1353,wissen::V,хавар бикӏан,пӗл
1354,wissen::V,хавар бикӏан,ӑнкар
1355,sich erinnern an::V,дакӏнин бутан,аса ил
1356,vergessen::V,хъама битан,ман
1357,vergessen::V,хъама битан,манса кай
1358,messen::V,дуцин дуллан,виҫ
1359,messen::V,дуцин дан,виҫ
1360,zählen::V,дуккин,шутла
1361,rechnen::V,хӏисав дан,шутла
1362,lesen::V,ккалан,вула
1363,malen::V,сурат дуллан,ӳкер
1364,zeichnen::V,сурат дуллан,ӳкер
1365,schreiben::V,чичин,ҫыр
1366,schreiben::V,чичлан,ҫыр
1367,besitzen::V,дуну икӏан,тыт
1368,besitzen::V,дуну дикӏан,тыт
1369,besitzen::V,заллуну икӏан,тыт
1370,kaufen::V,машан ласун,ил
1371,kaufen::V,машан ласун,туян
1372,verkaufen::V,баххан,сут
1373,bezahlen::V,арцу дулун,тӳле
1374,bezahlen::V,багьа булун,тӳле
1375,zahlen::V,арцу дулун,тӳле
1376,zahlen::V,багьа булун,тӳле
1377,beherrschen::V,дуну икӏан,тыт
1378,beherrschen::V,заллуну икӏан,тыт
1379,ertragen::V,бухӏан,тӳс
1380,Leber::N,,пӗвер
1381,Moor::N,,торфлӑ шурлӑх
1382,Anhöhe::N,,сӑрт
1383,Bucht::N,,тинӗс кукӑрӗ
1384,Barsch::N,,уланкӑ
1385,Hecht::N,,ҫӑрттан
1386,Laus::N,,пыйтӑ
1387,Ruf::N,,йыхрав
1388,Ruf::N,,чӗнӳ
1389,Platz::N,,хутлӑх
1390,Kante::N,,хайкача
1391,Kante::N,,хысак
1392,Größe::N,,пысӑкӑш
1393,Menge::N,,йыш
1394,Figur::N,,кӗлетке
1395,Tasche::N,,сумка
1396,Öl::N,,ҫу
1397,Schuh::N,,пушмак
1398,Schuh::N,,ботинок
1399,Leine::N,,касмӑк
1400,König::N,,король
1401,fein::A,,тарай
1402,fein::A,,вӗлтӗрти
1403,auf einmal::ADV,,кӗмӗрккен
1404,bald::ADV,,халех
1405,bald::ADV,,кӗҫех
1406,einst::ADV,,пӗррехинче
1407,schon::ADV,,ӗнтӗ
1408,sie::PRN,,вӗсем
1409,siebzig::NUM,,ҫитмӗл
1410,klirren::V,,калтлат
1411,klirren::V,,шӑнкӑлтат
1412,heulen::V,,ула
1413,rühren::V,,ҫулӑх
1414,zu sehen sein::V,,курӑн
1415,wollen::V,,те
1416,geraten::V,,пул
1417,kratzen::V,,хыр
1418,stecken::V,,чик
1419,schleifen::V,,хӑйра
1420,rütteln::V,,лӑка
1421,rütteln::V,,силлентер
1422,ziehen::V,,тӑс
1423,packen::V,,тыт
1424,wünschen::V,,сун
1425,zudecken::V,,вит
1426,antreiben::V,,васкат
1427,lassen::V,,пусахла
1428,lassen::V,,хуш
1429,treten::V,,тап
1430,verstehen::V,,пӗл
