,Concept_ID,zh,ro
579,Nacht::N,夜,noapte
580,Woche::N,星期,săptămână
581,Monat::N,月,lună
582,Jahr::N,年,an
583,Frühling::N,春天,primăvară
584,Sommer::N,夏天,vară
585,Herbst::N,秋天,toamnă
586,Winter::N,冬天,iarnă
587,Januar::N,一月,ianuarie
588,Februar::N,二月,februarie
589,März::N,三月,martie
590,April::N,四月,aprilie
591,Mai::N,五月,mai
592,Juni::N,六月,iunie
593,Juli::N,七月,iulie
594,August::N,八月,august
595,September::N,九月,septembrie
596,Oktober::N,十月,octombrie
597,November::N,十一月,noiembrie
598,Dezember::N,十二月,decembrie
599,Montag::N,星期一,luni
600,Dienstag::N,星期二,marți
601,Mittwoch::N,星期三,miercuri
602,Donnerstag::N,星期四,joi
603,Freitag::N,星期五,vineri
604,Samstag::N,星期六,sâmbătă
605,Sonntag::N,星期日,duminică
606,groß::A,大,mare
607,klein::A,小,mic
608,lang::A,长,lung
609,kurz::A,短,scurt
610,breit::A,宽,lat
611,breit::A,宽,larg
612,schmal::A,细长的,strâmt
613,dicht::A,密,des
614,dick[Gegenstand]::A,厚,gros
615,dünn::A,薄,subțire
616,fein::A,细小,fin
617,fein::A,细小,subțire
618,fest::A,固体,tare
619,fest::A,固体,solid
620,flach::A,平坦,șes
621,flach::A,平坦,plan
622,glatt::A,光滑,lins
623,hart::A,硬,dur
624,weich::A,软,moale
625,rund::A,圆,rotund
626,rund::A,圆,circular
627,spitz::A,尖,ascuțit
628,scharf::A,锋利,tăios
629,scharf::A,锋利,ascuțit
630,stumpf::A,钝,tocit
631,schwer::A,重,greu
632,schön::A,美丽,frumos
633,heiß::A,烫,cald
634,heiß::A,烫,fierbinte
635,warm::A,暖和,cald
636,warm::A,暖和,fierbinte
637,kalt::A,冷,rece
638,kühl::A,凉,rece
639,kühl::A,凉,răcoros
640,frisch::A,新鲜,răcoros
641,frisch::A,新鲜,proaspăt
642,feucht::A,潮湿,umed
643,feucht::A,潮湿,jilav
644,nass::A,湿,ud
645,trocken::A,干,sec
646,trocken::A,干,uscat
647,voll::A,满,plin
648,leer::A,空,gol
649,offen::A,敞开,deschis
650,geschlossen::A,关闭,închis
651,sauber::A,干净,curat
652,schmutzig::A,肮脏,murdar
653,roh::A,生,crud
654,reif::A,成熟,copt
655,lecker::A,好吃,gustos
656,süß::A,甜,dulce
657,bitter::A,苦,amar
658,sauer::A,酸,acru
659,hell::A,亮,clar
660,hell::A,亮,luminos
661,dunkel::A,阴暗,obscur
662,dunkel::A,阴暗,întunecos
663,schwarz::A,黑,negru
664,weiß::A,白,alb
665,rot::A,红,roșu
666,gelb::A,黄,galben
667,blau::A,蓝,albastru
668,grün::A,绿,verde
669,grau::A,灰色,gri
670,grau::A,灰色,cenușiu
671,bunt::A,五彩,colorat
672,billig::A,便宜,ieftin
673,teuer::A,贵,scump
674,wertvoll::A,贵重,prețios
675,blind::A,瞎,orb
676,taub::A,聋,surd
677,kräftig::A,强壮,tare
678,kräftig::A,强壮,forte
679,kräftig::A,强壮,robust
680,stark::A,强壮,viguros
681,stark::A,强壮,puternic
682,schwach::A,弱,slab
683,schwach::A,弱,debil
684,fett::A,胖,gras
