,Concept_ID,tr,fi
1314,reichen::V,uzatmak,ojentaa
1315,schenken::V,hediye etmek,lahjoittaa
1316,versprechen::V,vaat etmek,luvata
1317,wünschen::V,kutlamak,toivottaa
1318,loben::V,övmek,ylistää
1319,küssen::V,öpmek,suudella
1320,wiegen::V,sallamak,tuudittaa
1321,wiegen::V,sallamak,keinuttaa
1322,zudecken::V,örtmek,peittää
1323,wecken::V,uyandırmak,herättää
1324,zeigen::V,göstermek,näyttää
1325,zeigen::V,göstermek,osoittaa
1326,führen::V,gezdirmek,johdattaa
1327,führen::V,yol göstermek,johdattaa
1328,lehren::V,okutmak,opettaa
1329,lehren::V,öğretmek,opettaa
1330,unterrichten::V,öğretmek,opettaa
1331,aufziehen::V,yetiştirmek,kasvattaa
1332,leiten::V,yönetmek,johtaa
1333,leiten::V,idare etmek,johtaa
1334,antreiben::V,teşvik etmek,hoputtaa
1335,lassen::V,-tırmak,antaa
1336,einladen::V,davet etmek,kutsua
1337,vereinigen::V,birleştirmek,yhdistää
1338,besuchen::V,uğramak,vierailla
1339,besuchen::V,ziyaret etmek,vierailla
1340,besuchen::V,görmeye gitmek,vierailla
1341,treffen::V,rastlamak,tavata
1342,treffen::V,isabet etmek,tavata
1343,sich versammeln::V,toplanmak,kokoontua
1344,spielen::V,oynamak,pelata
1345,spielen::V,oynamak,leikkiä
1346,singen::V,söylemek,laulaa
1347,singen::V,şarkı söylemek,laulaa
1348,tanzen::V,oynamak,tanssia
1349,tanzen::V,dans etmek,tanssia
1350,sich trennen::V,ayrılmak,erota
1351,verlassen::V,bırakmak,jättää
1352,verlassen::V,terk etmek,jättää
1353,retten::V,kurtarmak,pelastaa
1354,bewachen::V,gözetmek,vartioida
1355,schützen::V,korumak,suojella
1356,verteidigen::V,savunmak,puolustaa
1357,sich schlagen::V,dövüşmek,tapella
1358,schießen::V,ateş etmek,ampua
1359,siegen::V,yenmek,voittaa
1360,ärgern::V,kızdırmak,ärsyttää
1361,schlagen::V,dövmek,lyödä
