,Concept_ID,te,uk
354,Figur::N,రూపము,фігура
355,Puppe::N,బొమ్మ,лялька
356,Beutel::N,సంచి,мішечок
357,Beutel::N,సంచి,торбинка
358,Bündel::N,మూట,в’язка
359,Tasche::N,సంచి,сумка
360,Eimer::N,చేద,відро
361,Deckel::N,మూత,кришка
362,Geschirr::N,వంటకాలు,посуд
363,Sack::N,గోనెసంచి,мішок
364,Tasse::N,గిన్నె,чашка
365,Topf::N,కుండ,горщик
366,Kessel::N,నీరుకాచుపాత్ర,котел
367,Essen::N,ఆహారము,їжа
368,Nahrung::N,ఆహారము,харч
369,Speise::N,ఆహారము,страва
370,Fleisch::N,మాంసము,м’ясо
371,Getreide::N,ధాన్యము,хліб
372,Getreide::N,ధాన్యము,збіжжя
373,Brei::N,గుజ్జు,каша
374,Brot::N,రొట్టె,хліб
375,Scheibe::N,బద్ద,скибочка
376,Fett::N,క్రొవ్వు,жир
377,Butter::N,వెన్న,масло
378,Öl::N,నూనె,олія
379,Salz::N,ఉప్పు,сіль
380,Suppe::N,చారు,суп
381,Honig::N,తెనె,мед
382,Milch::N,పాలు,молоко
383,Tee::N,తేనీరు,чай
384,Leder::N,బాగుచేసివతోలు,шкіра
385,Wolle::N,ఉన్ని,шерсть
386,Stoff::N,బట్ట,тканина
387,Nadel::N,సూది,голка
388,Faden::N,దారము,нитка
389,Knopf::N,బొత్తాము,ґудзик
390,Knoten::N,ముడి,вузол
391,Farbe::N,రంగు,фарба
392,Kleidung::N,బట్టలు,одяг
393,Kleidung::N,బట్టలు,убрання
394,Hemd::N,చొక్కాయ,сорочка
395,Kragen::N,మాల,комір
396,Ärmel::N,చొక్కాయచెయ్యి,рукав
397,Hose::N,ఇజారు,брюки
398,Gürtel::N,పటకా,пояс
399,Mütze::N,టోపి,шапка
400,Schuh::N,పాదరక్ష,ботинок
401,Stiefel::N,బూటు,чобіт
402,Ring::N,ఉంగరము,кільце
403,Band::N,నాడా,стрічка
404,Kamm::N,దువ్వెన,гребінець
405,Spiegel::N,అద్దము,дзеркало
406,Riemen::N,వాడా,ремінь
407,Schnur::N,దారము,вірьовка
408,Leine::N,వారు,шворка
409,Decke::N,కంబళి,ковдра
410,Kissen::N,తలగడ,подушка
411,Tuch::N,బట్ట,хустка
412,Handtuch::N,తువాలు,рушник
413,Kraft::N,బలము,сила
414,Stärke::N,శక్తి,сила
415,Gesundheit::N,ఆరోగ్యము,здоров’я
416,Krankheit::N,రోగము,хвороба
417,Schmerz::N,నొప్పి,біль
418,Wunde::N,గాయము,рана
419,Fieber::N,జ్వరము,гарячка
420,Arznei::N,మందు,ліки
421,Brücke::N,వంతెన,міст
422,Brunnen::N,బావి,колодязь
423,Brunnen::N,కూపము,колодязь
424,Brunnen::N,నుయ్యి,колодязь
425,Weide::N,పచ్చికబయలు,пасовище
426,Pfad::N,కాలిత్రోవ,стежка
427,Weg::N,మార్గము,шлях
428,Weg::N,మార్గము,дорога
429,Straße::N,బాట,вулиця
430,Dorf::N,గ్రామము,село
431,Stadt::N,పట్టణము,місто
432,Brief::N,జాబు,лист
433,Buch::N,పుస్తకము,книга
434,Buch::N,పుస్తకము,книжка
435,Buchstabe::N,అక్షరము,буква
436,Buchstabe::N,అక్షరము,літера
437,Zeitung::N,వార్తాపత్రిక,газета
438,Leben::N,ప్రాణము,життя
439,Tod::N,మరణము,смерть
440,Grab::N,సమాధి,могила
441,Kirche::N,క్రెస్తవులగుడి,церква
442,Sünde::N,పాపము,гріх
443,Gott::N,దేవుడు,бог
444,Arbeiter::N,పనిపాటుచేశేవాడు,робітник
445,Chef::N,యజమానుడు,хазяїн
446,Meister::N,కళాకారుడు,умілець
447,Arzt::N,వైద్యుడు,лікар
448,Lehrer::N,ఉపాధ్యాయుడు,вчитель
449,Geld::N,ద్రవ్యము,гроші
450,Geschäft::N,వ్యాపారము,заняття
451,Laden::N,అంగడి,магазин
452,Laden::N,అంగడి,крамниця
453,Preis::N,వెల,ціна
454,Ware::N,సరకులు,товар
455,Nutzen::N,ప్రయోజనము,вигода
456,Nutzen::N,ప్రయోజనము,користь
457,Reichtum::N,ధనము,багатство
458,Welt::N,ప్రపంచము,світ
459,Land::N,దేశము,країна
460,Staat::N,రాజ్యము,держава
461,König::N,రాజు,король
462,Macht::N,అధికారము,влада
463,Grenze::N,సరిహద్దు,кордон
464,Krieg::N,యుద్ధము,війна
465,Feind::N,శత్రువు,ворог
466,Gewalt::N,దౌర్జన్యము,насильство
467,Kampf::N,పోట్లాట,бій
468,Kampf::N,పోట్లాట,боротьба
469,Bogen[Waffe]::N,విల్లు,лук
470,Pfeil::N,బాణము,стріла
471,Gewehr::N,తుపాకి,рушниця
472,Gewehr::N,తుపాకి,гвинтівка
473,Fehler::N,తప్ప,помилка
474,Lüge::N,అసత్యము,брехня
475,Schaden::N,నష్టము,шкода
476,Schaden::N,నష్టము,збиток
477,Unglück::N,దురదృష్టము,нещастя
478,Schuld::N,తప్పు,провина
479,Alter::N,వయస్సు,вік
480,Alter::N,వయస్సు,літа
481,Schluss::N,ముగింపు,кінець
482,Zeit::N,కాలము,час
483,Tag::N,దినము,день
484,Morgen::N,ఉదయము,ранок
485,Mittag::N,మధ్యాహ్నము,південь
486,Abend::N,సాయంకాలము,вечір
487,Nacht::N,రత్రి,ніч
488,Woche::N,వారము,тиждень
489,Monat::N,నెల,місяць
490,Jahr::N,సంవత్సరము,рік
491,Frühling::N,వసంతకాలము,весна
492,Sommer::N,వేసవికాము,літо
493,Herbst::N,ఆకురాలుకాలము,осінь
494,Winter::N,శీతకాలము,зима
495,Januar::N,జనవరి,січень
496,Februar::N,ఫిబ్రవరి,лютий
497,März::N,మార్చి,березень
498,April::N,ఏప్రిలు,квітень
499,Mai::N,మే,травень
500,Juni::N,జూన్,червень
501,Juli::N,జూలై,липень
502,August::N,ఆగస్టు,серпень
503,September::N,సెప్ఠెంబరు,вересень
504,Oktober::N,అక్టోబరు,жовтень
505,November::N,నవంబరు,листопад
506,Dezember::N,డిసెంబర్,грудень
507,Montag::N,సోమవారము,понеділок
508,Dienstag::N,మంగళవారము,вівторок
509,Mittwoch::N,బుధవారము,середа
510,Donnerstag::N,గురువారము,четвер
511,Freitag::N,శుక్రవారము,п’ятниця
512,Samstag::N,శనివారము,субота
513,Sonntag::N,ఆదివారము,неділя
514,groß::A,గొప్పైన,великий
515,klein::A,చిన్న,малий
516,klein::A,చిన్న,маленький
517,lang::A,పొడుగాటి,довгий
518,kurz::A,పొట్టి,короткий
519,breit::A,వెడల్పైన,широкий
520,schmal::A,ఇఱుకైన,вузький
521,dicht::A,దట్టమైన,густий
522,dick[Gegenstand]::A,దట్టమైన,товстий
523,dünn::A,పలుచని,тонкий
524,fein::A,నాజాకైన,дрібний
525,fest::A,దృడమైవ,міцний
526,flach::A,చదువైన,плоский
527,glatt::A,నున్నని,рівний
528,glatt::A,నున్నని,гладенький
529,hart::A,కఠినమైన,твердий
530,weich::A,మృదువైన,м’який
531,rund::A,గుండ్రని,круглий
532,spitz::A,మొనగల,гострокінцевий
533,scharf::A,పదనైన,гострий
534,stumpf::A,వాడిలేని,тупий
535,schwer::A,బరువ్తెన,важкий
536,schön::A,సుందరమైన,вродливий
537,heiß::A,వేడియైన,жаркий
538,heiß::A,వేడియైన,гарячий
539,warm::A,వెచ్చని,теплий
540,kalt::A,చల్లని,холодний
541,kühl::A,చల్లని,прохолодний
542,frisch::A,తాజాయైన,свіжий
543,feucht::A,చెమ్మగానున్న,вогкий
544,nass::A,తడిగామన్న,мокрий
545,trocken::A,ఎండిన,сухий
546,voll::A,నిండు,повний
547,leer::A,శూన్యమైన,пустий
548,offen::A,తెఱచియున్న,відкритий
549,geschlossen::A,మూసిన,закритий
550,geschlossen::A,మూసిన,зачинений
551,sauber::A,పరిశుద్ధమైన,чистий
552,sauber::A,పరిశుద్ధమైన,охайний
553,schmutzig::A,ముఱికియైన,брудний
554,roh::A,పచ్చి,сирий
555,reif::A,పండివ,зрілий
556,lecker::A,రుచి గల,смачний
557,süß::A,తియ్యని,солодкий
558,bitter::A,చేదైన,гіркий
559,sauer::A,పుల్లని,кислий
560,hell::A,కాంతిగల,світлий
561,dunkel::A,చీకటియైన,темний
562,schwarz::A,నల్లని,чорний
563,weiß::A,తెలుపు,сивий
564,rot::A,ఎఱ్ఱని,червоний
565,gelb::A,పసుపు పచ్చ,жовтий
566,blau::A,నీలవర్ణము,синій
567,grün::A,ఆకుపచ్చని,зелений
568,grau::A,నెరిసిన,сірий
569,bunt::A,రంగేలీ,барвистий
570,billig::A,చౌకయైన,дешевий
571,teuer::A,వెలపొడుగైన,дорогий
572,wertvoll::A,విలుప్తెన,цінний
573,blind::A,గ్రుడ్డి,сліпий
574,taub::A,చెవిటి,глухий
575,kräftig::A,శక్తి గల,могутній
576,stark::A,బలమైన,сильний
577,schwach::A,బలహీనమైన,слабкий
578,fett::A,క్రొవ్విన,жирний
579,fett::A,క్రొవ్విన,товстий
580,schlank::A,సన్నని,тонкий
581,schlank::A,సన్నని,стрункий
582,hübsch::A,సాగప్తెన,чарівний
583,böse::A,చెడ్డ,злий
584,böse::A,చెడ్డ,лихий
585,dumm::A,తెలివిలేని,дурний
586,faul::A,సోమరియైన,ледачий
587,fleißig::A,శ్రద్దగల,старанний
588,geizig::A,పిసినారియైన,скупий
589,klug::A,తెలివిగల,мудрий
590,klug::A,తెలివిగల,розумний
591,geschickt::A,నిపుణతగల,умілий
592,lieb::A,ప్రియమైన,милий
593,lustig::A,ఉల్లాసము గల,веселий
594,sanft::A,సాధువైన,лагідний
595,hungrig::A,ఆకలిగొనిన,голодний
596,krank::A,వ్యాధిగల,слабий
597,nackt::A,దిగంబరమైన,голий
598,traurig::A,విచారముగల,сумний
599,lebendig::A,ప్రాణముతో నున్న,живий
600,gut::A,మంచి,добрий
601,schlecht::A,చెడ్డ,поганий
602,schlecht::A,చెడ్డ,кепський
603,richtig::A,సరియైన,правильний
604,schlimm::A,అసహ్యమైన,бридкий
605,wahr::A,నిజమైన,справжній
606,alt::A,ముసలి,старий
607,neu::A,క్రొత్త,новий
608,ehemalig::A,పూర్వపు,колишній
609,alt[Lebewesen]::A,ముసలి,старий
610,jung::A,పసి,молодий
611,arm::A,బీద,бідний
612,reich::A,ధనవంతుడైన,багатий
613,bekannt::A,తెలిసిన,знайомий
614,berühmt::A,ప్రపిద్దికెక్కివ,славетний
615,fremd::A,అన్యమైన,чужий
616,verschieden::A,భేదమైన,різний
617,nah::A,దగ్గఱనున్న,близький
618,fern::A,దూరమందున్న,далекий
619,linker::A,ఎడమప్రక్కగ,лівий
620,rechter::A,కుడి,правий
621,anderer::A,వేఱ్తెన,інакший
622,erster::A,మొదటి,перший
623,zweiter::A,రెండన,другий
624,dritter::A,మూడో,третій
625,letzter::A,కడపటి,останній
626,allein::ADV,ఒంటిగా,сам
627,allein::ADV,ఒంటిగా,один
628,auf einmal::ADV,హరాత్తుగ,відразу
629,zusammen::ADV,కలిసి,разом
630,zusammen::ADV,కలిసి,спільно
631,lange::ADV,బహుకాలము,довго
632,plötzlich::ADV,హరాత్తుగ,раптом
633,sofort::ADV,తక్షణము,зараз
634,später::ADV,ఇటీవలి,пізніше
635,jetzt::ADV,ఇప్పుడు,тепер
636,heute::ADV,నేడు,сьогодні
637,morgen::ADV,ఱేపు,завтра
638,bald::ADV,శీఘ్రముగ,незабаром
639,dann::ADV,అప్పుడు,потім
640,gestern::ADV,నిన్నటి దినము,вчора
641,einst::ADV,పూర్వమొకప్పుడు,колись
642,damals::ADV,అప్పుడు,тоді
643,danach::ADV,అప్పుడు,згодом
644,vorher::ADV,ఎదుట,раніше
645,zuerst::ADV,మొదటిలో,спершу
646,zuerst::ADV,మొదటిలో,спочатку
647,einmal::ADV,ఒకసారి,один раз
648,manchmal::ADV,అప్పటప్పటికి,іноді
649,manchmal::ADV,అప్పటప్పటికి,інколи
650,oft::ADV,తఱచుగా,часто
651,immer::ADV,ఎల్లప్పుడు,завжди
652,niemals::ADV,ఎప్పుడునులేదు,ніколи
653,hier::ADV,ఇక్కడ,тут
654,hierhin::ADV,ఇక్కడకు,сюди
655,von hier::ADV,ఇక్కడనుండి,звідси
656,dort::ADV,అక్కడ,там
657,dorthin::ADV,అక్కడికి,туди
658,geradeaus::ADV,సూటిగా,прямо
659,vorwärts::ADV,ముందుకు,вперед
660,rückwärts::ADV,వెనుకకు,назад
661,zurück::ADV,వెనుకభాగము,назад
662,unten::ADV,క్రింద,внизу
663,hinab::ADV,కిందికి,вниз
664,oben::ADV,మీద,вгорі
665,hinauf::ADV,పైకి,вгору
666,überall::ADV,అంతటా,скрізь
667,nicht::ADV,కాదు,не
668,ein wenig::ADV,కొంచెము,трохи
669,ein wenig::ADV,కొంచెము,небагато
670,kaum::ADV,చాలిచాలక,ледве
671,sehr::ADV,చాల,дуже
672,so::ADV,ఆలాగున,так
673,noch::ADV,ఇప్పటికిని,ще
674,nur::ADV,మాత్రము,лише
675,nur::ADV,మాత్రము,тільки
676,schon::ADV,ఇదివఱకే,вже
677,wieder::ADV,తిరిగి,знову
678,vergebens::ADV,నిష్ఫలముగా,дарма
679,vor::PRP,ముందు,перед
680,hinter::PRP,వెనుక,ззаду
681,hinter::PRP,వెనుక,позаду
682,unter::PRP,క్రింద,під
683,durch::PRP,ద్వారా,крізь
684,neben::PRP,దగ్గెర,біля
685,zwischen::PRP,మధ్య,між
686,wegen::PRP,కారణంగా,з-за
687,wegen::PRP,కారణంగా,через
688,dies::PRN,ఇది,це
689,das::PRN,అది,то
690,alles::PRN,సకలము,все
691,ich::PRN,నేను,я
692,du::PRN,నీవు,ти
693,er::PRN,అతడు,він
694,wir::PRN,మనము,ми
695,ihr::PRN,మీరు,ви
696,sie::PRN,వారు,вони
697,was::FPRN,ఏమి,що
698,wer::FPRN,ఎవడు,хто
699,wo::FADV,ఎక్కడ,де
700,wohin::FADV,ఎందుకు,куди
701,wie::FADV,ఎట్టు,як
702,warum::FADV,ఏల,чому
