,Concept_ID,no,myv
587,Samstag::N,lørdag,субута
588,Samstag::N,lørdag,шлямочи
589,Sonntag::N,søndag,недлячи
590,groß::A,stor,ине
591,groß::A,stor,покш
592,klein::A,liten,вишка
593,lang::A,lang,кувака
594,kurz::A,kort,нурькине
595,breit::A,bred,келей
596,schmal::A,smal,теине
597,dicht::A,tett,тусто
598,dick[Gegenstand]::A,tykk,эчке
599,dünn::A,tynn,човине
600,fein::A,fin,човине
601,fest::A,fast,кеме
602,flach::A,flat,лапужа
603,glatt::A,glatt,валаня
604,hart::A,hard,калгодо
605,weich::A,myk,чевте
606,weich::A,bløt,чевте
607,rund::A,rund,кеверь
608,spitz::A,spiss,пшти
609,scharf::A,kvass,пшти
610,stumpf::A,stubb,ношка
611,schwer::A,tung,стака
612,schön::A,pen,мазый
613,schön::A,vakker,мазый
614,heiß::A,het,пси
615,warm::A,varm,лембе
616,kalt::A,kald,якшамо
617,kühl::A,kjølig,экше
618,frisch::A,fersk,свежа
619,feucht::A,fuktig,летьке
620,nass::A,våt,начко
621,trocken::A,tørr,коське
622,voll::A,full,пешксе
623,leer::A,tom,чаво
624,offen::A,åpen,панжадо
625,offen::A,åpen,виде
626,geschlossen::A,lukket,пекстазь
627,geschlossen::A,lukket,сёлгозь
628,sauber::A,ren,ванькс
629,schmutzig::A,skitten,ливезев
630,roh::A,rå,верек
631,reif::A,moden,кенерезь
632,lecker::A,lekker,тантей
633,süß::A,søt,ламбамо
634,bitter::A,besk,сэпей
635,bitter::A,bitter,сэпей
636,sauer::A,sur,чапамо
637,hell::A,lys,валдо
638,dunkel::A,mørk,чопода
639,schwarz::A,svart,раужо
640,weiß::A,hvit,ашо
641,rot::A,rød,якстере
642,gelb::A,gul,ожо
643,blau::A,blå,сэнь
644,grün::A,grønn,пиже
645,grau::A,grå,шержев
646,bunt::A,broket,сёрмав
647,billig::A,billig,аволь питней
648,teuer::A,dyr,питней
649,wertvoll::A,verdifull,питней
650,blind::A,blind,сокор
651,taub::A,døv,амариця
652,kräftig::A,kraftig,пек виев
653,stark::A,sterk,виев
654,schwach::A,svak,лавшо
655,fett::A,fet,куя
656,schlank::A,slank,виде ронга
657,hübsch::A,pen,мазый
658,böse::A,slem,кежей
659,dumm::A,dum,чавола
660,dumm::A,dum,превтеме
661,faul::A,lat,нузякс
662,faul::A,doven,нузякс
663,fleißig::A,flittig,мелень путыця
664,geizig::A,gjerrig,скупой
665,klug::A,klok,превей
666,geschickt::A,hendig,маштозь теезь
667,geschickt::A,skikket,маштозь теезь
668,lieb::A,kjær,вадря
669,lieb::A,snill,вадря
670,lustig::A,morsom,весёла
671,sanft::A,blid,сэтьме
672,hungrig::A,sulten,вачо
673,krank::A,syk,сэредиця
674,nackt::A,naken,штапо
675,traurig::A,sørgmodig,нусманя
676,lebendig::A,levende,эриця
677,gut::A,god,паро
678,schlecht::A,dårlig,берянь
679,richtig::A,riktig,виде
680,schlimm::A,slem,берянь
681,wahr::A,sann,алкуксонь
682,alt::A,gammel,ташто
683,neu::A,ny,од
684,ehemalig::A,forhenværende,икелень
685,alt[Lebewesen]::A,gammel,сыре
686,jung::A,ung,од
687,arm::A,fattig,кажов
688,reich::A,rik,сюпав
689,bekannt::A,kjent,содавикс
