,Concept_ID,fi,sv
362,Seite::N,sivu,sida
363,Seite::N,kylki,sida
364,Mitte::N,keskus,mitt
365,Mitte::N,puoliväli,mitt
366,Gegenstand::N,kalu,föremål
367,Gegenstand::N,esine,föremål
368,Sache::N,asia,sak
369,Rand::N,ääri,rand
370,Rand::N,syrjä,rand
371,Kante::N,särmä,kant
372,Ecke::N,nurkka,vrå
373,Ecke::N,nurkka,hörn
374,Spitze::N,terä,spets
375,Spitze::N,kärki,spets
376,Ende::N,pää,ända
377,Ende::N,perä,ända
378,Loch::N,kolo,hål
379,Loch::N,reikä,hål
380,Winkel::N,kulma,vinkel
381,Muster::N,kuvio,mönster
382,Größe::N,koko,storlek
383,Größe::N,suuruus,storlek
384,Länge::N,pituus,längd
385,Höhe::N,korkeus,höjd
386,Gewicht::N,paino,tyngd
387,Menge::N,määrä,mängd
388,Haufen::N,kasa,hög
389,Reihe::N,rivi,rad
390,Boot::N,vene,båt
391,Ruder::N,airo,åra
392,Schlitten::N,reki,släde
393,Schlitten::N,kelkka,släde
394,Ski::N,suksi,skida
395,Lagerfeuer::N,nuotio,lägereld
396,Last::N,kuorma,last
397,Last::N,kuorma,börda
398,Gang::N,kulku,gång
399,Gang::N,käynti,gång
400,Schritt::N,askel,steg
401,Norden::N,pohjoinen,norr
402,Süden::N,etelä,söder
403,Westen::N,länsi,väster
404,Osten::N,itä,öster
405,Holz::N,puu,trä
406,Brett::N,lauta,bräda
407,Platte::N,levy,platta
408,Stütze::N,noja,stöd
409,Stütze::N,noja,stötta
410,Stange::N,tanko,stång
411,Stock::N,keppi,käpp
412,Stock::N,keppi,pinne
413,Stab::N,sauva,stav
414,Stab::N,seiväs,stav
415,Rohr::N,putki,rör
416,Haus::N,talo,hus
417,Heim::N,koti,hem
418,Ofen::N,uuni,ugn
419,Fußboden::N,lattia,golv
420,Tisch::N,pöytä,bord
421,Stuhl::N,tuoli,stol
422,Wiege::N,kehto,vagga
423,Bett::N,sänky,säng
424,Regal::N,hylly,hylla
425,Kiste::N,arkku,låda
426,Kiste::N,kirstu,låda
427,Kiste::N,laatikko,låda
428,Fenster::N,ikkuna,fönster
429,Tür::N,ovi,dörr
430,Tor::N,portti,port
431,Zaun::N,aita,staket
432,Zaun::N,aita,stängsel
433,Dach::N,katto,tak
434,Leiter::N,tikkaat,stege
435,Leiter::N,tikapuut,stege
436,Besen::N,luuta,kvast
437,Spaten::N,lapio,spade
438,Schaufel::N,lapio,skovel
439,Schaufel::N,lapio,skyffel
440,Gabel::N,haarukka,gaffel
441,Löffel::N,lusikka,sked
442,Messer::N,veitsi,kniv
443,Nagel::N,naula,spik
444,Netz::N,verkko,nät
445,Haken::N,haka,krok
446,Haken::N,koukku,krok
447,Griff::N,ripa,tag
448,Griff::N,ripa,handtag
449,Griff::N,kahva,tag
450,Griff::N,kahva,handtag
451,Schloss::N,lukko,las
452,Bild::N,kuva,bild
453,Figur::N,kuvio,figur
454,Puppe::N,nukke,docka
455,Beutel::N,pussi,påse
456,Bündel::N,nippu,bunt
457,Bündel::N,nippu,knippa
458,Bündel::N,kimppu,bunt
459,Bündel::N,kimppu,knippa
460,Tasche::N,laukku,väska
461,Eimer::N,sanko,hink
462,Eimer::N,sanko,ämbar
463,Eimer::N,ämpäri,hink
464,Eimer::N,ämpäri,ämbar
465,Deckel::N,kansi,lock
466,Geschirr::N,astia,servis
467,Geschirr::N,astia,porslin
468,Sack::N,säkki,säck
469,Tasse::N,kuppi,kopp
470,Topf::N,pata,gryta
471,Topf::N,pata,kastrull
472,Kessel::N,kattila,kittel
473,Essen::N,syönti,mål
474,Nahrung::N,ruoka,näring
475,Nahrung::N,ravinto,näring
476,Speise::N,ruoka,maträtt
477,Fleisch::N,liha,kött
478,Getreide::N,vilja,säd
479,Getreide::N,vilja,spannmål
480,Brei::N,puuro,gröt
481,Brot::N,leipä,bröd
482,Scheibe::N,viipale,skiva
483,Fett::N,rasva,fett
484,Butter::N,voi,smör
485,Öl::N,öljy,olja
486,Salz::N,suola,salt
487,Suppe::N,keitto,soppa
488,Honig::N,hunaja,honung
489,Milch::N,maito,mjölk
490,Tee::N,tee,te
491,Leder::N,nahka,läder
492,Wolle::N,villa,ull
493,Wolle::N,villa,ylle
494,Stoff::N,kangas,tyg
495,Stoff::N,kangas,stoff
496,Nadel::N,neula,nål
497,Faden::N,lanka,tråd
498,Knopf::N,nappi,knapp
499,Knoten::N,solmu,knut
500,Farbe::N,maali,färg
501,Kleidung::N,vaatteet,klädsel
502,Hemd::N,paita,skjorta
503,Kragen::N,kaulus,krage
504,Ärmel::N,hiha,ärm
505,Hose::N,housut,byxor
506,Gürtel::N,vyö,bälte
507,Mütze::N,lakki,mössa
508,Schuh::N,kenkä,sko
509,Stiefel::N,saapas,stövel
510,Ring::N,sormus,ring
511,Band::N,nauha,band
512,Kamm::N,kampa,kam
513,Spiegel::N,peili,spegel
514,Riemen::N,hihna,rem
515,Schnur::N,naru,snöre
516,Schnur::N,nuora,snöre
517,Leine::N,talutushihna,lina
518,Decke::N,peite,täcke
519,Kissen::N,tyyny,dyna
520,Kissen::N,tyyny,kudde
521,Kissen::N,pielus,dyna
522,Kissen::N,pielus,kudde
523,Tuch::N,huivi,sjal
524,Handtuch::N,pyyheliina,handduk
525,Kraft::N,väki,kraft
526,Kraft::N,voima,kraft
527,Stärke::N,vahvuus,styrka
528,Gesundheit::N,terveys,hälsa
529,Krankheit::N,tauti,sjukdom
530,Krankheit::N,sairaus,sjukdom
531,Schmerz::N,kipu,smärta
532,Schmerz::N,särky,smärta
533,Wunde::N,haava,sår
534,Fieber::N,kuume,feber
535,Arznei::N,lääke,medicin
536,Arznei::N,lääke,läkemedel
537,Brücke::N,silta,bro
538,Brunnen::N,kaivo,brunn
539,Weide::N,laidun,bete
540,Pfad::N,polku,stig
541,Weg::N,tie,väg
542,Straße::N,katu,gata
543,Dorf::N,kylä,by
544,Stadt::N,kaupunki,stad
545,Brief::N,kirje,brev
546,Buch::N,kirja,bok
547,Buchstabe::N,kirjain,bokstav
548,Zeitung::N,lehti,tidning
