,Concept_ID,uk,bn
388,Leder::N,шкіра,পাকা চামড়া
389,Wolle::N,шерсть,পশম
390,Stoff::N,тканина,বস্ত্র
391,Nadel::N,голка,সুচ
392,Faden::N,нитка,সূত্র
393,Knopf::N,ґудзик,বোতাম
394,Knoten::N,вузол,গিঁট
395,Farbe::N,фарба,রং
396,Kleidung::N,одяг,কাপড়
397,Kleidung::N,убрання,কাপড়
398,Hemd::N,сорочка,শার্ট
399,Kragen::N,комір,গলবন্ধ
400,Ärmel::N,рукав,আস্তিন্
401,Hose::N,брюки,ট্রাউজার
402,Gürtel::N,пояс,কটিবন্ধ
403,Mütze::N,шапка,টুপি
404,Schuh::N,ботинок,জুতো
405,Stiefel::N,чобіт,বুট
406,Ring::N,кільце,আংটি
407,Band::N,стрічка,ফিতা
408,Kamm::N,гребінець,চিরুনি
409,Spiegel::N,дзеркало,আয়না
410,Riemen::N,ремінь,চাবুক
411,Schnur::N,вірьовка,দড়ি
412,Leine::N,шворка,শিকল
413,Decke::N,ковдра,কম্বল
414,Kissen::N,подушка,উপাধান
415,Tuch::N,хустка,বস্ত্র
416,Handtuch::N,рушник,তোয়ালে
417,Kraft::N,сила,জোর
418,Stärke::N,сила,শক্তি
419,Gesundheit::N,здоров’я,স্বাস্থ্য
420,Krankheit::N,хвороба,অসুখ
421,Krankheit::N,хвороба,ব্যামো
422,Schmerz::N,біль,যন্ত্রণা
423,Wunde::N,рана,ক্ষত
424,Fieber::N,гарячка,জ্বর
425,Arznei::N,ліки,ঔষধ
426,Brücke::N,міст,সেতু
427,Brunnen::N,колодязь,কূপ
428,Weide::N,пасовище,পশুচারণভূমি
429,Pfad::N,стежка,পথ
430,Weg::N,шлях,পথ
431,Weg::N,дорога,পথ
432,Straße::N,вулиця,রাস্তা
433,Dorf::N,село,গ্রাম
434,Stadt::N,місто,শহর
435,Brief::N,лист,চিঠি
436,Buch::N,книга,বই
437,Buch::N,книжка,বই
438,Buchstabe::N,буква,অক্ষর
439,Buchstabe::N,літера,অক্ষর
440,Zeitung::N,газета,সংবাদপত্র
441,Leben::N,життя,জীবন
442,Tod::N,смерть,মৃত্যু
443,Grab::N,могила,কবর
444,Kirche::N,церква,গির্জা
445,Sünde::N,гріх,পাপ
446,Gott::N,бог,দেবতা
447,Arbeiter::N,робітник,শ্রমিক
448,Chef::N,хазяїн,নেতা
449,Meister::N,умілець,ব্যক্তি
450,Arzt::N,лікар,চিকিৎসক
451,Lehrer::N,вчитель,অধ্যাপক
452,Geld::N,гроші,মুদ্রা
453,Geld::N,гроші,টাকাপয়সা
454,Geschäft::N,заняття,ব্যস্ততা
455,Laden::N,магазин,দোকান
456,Laden::N,крамниця,দোকান
457,Preis::N,ціна,মূল্য
458,Ware::N,товар,পণ্যদ্রব্য
459,Nutzen::N,вигода,সুবিধা
460,Nutzen::N,користь,সুবিধা
461,Reichtum::N,багатство,ধনদৌলত
462,Welt::N,світ,জগৎ
463,Land::N,країна,খেত
464,Staat::N,держава,রাষ্ট্র
465,König::N,король,রাজা
466,Macht::N,влада,প্রভাব
467,Grenze::N,кордон,সীমা
468,Krieg::N,війна,যুদ্ধ
469,Feind::N,ворог,শত্রু
470,Gewalt::N,насильство,জোর
471,Kampf::N,бій,লড়াই
472,Kampf::N,боротьба,লড়াই
473,Bogen[Waffe]::N,лук,ধনুক
474,Pfeil::N,стріла,বাণ
475,Gewehr::N,рушниця,বন্দুক
476,Gewehr::N,гвинтівка,বন্দুক
477,Fehler::N,помилка,ভুল
478,Lüge::N,брехня,মিথ্যা
479,Schaden::N,шкода,ক্ষতি
480,Schaden::N,збиток,ক্ষতি
481,Unglück::N,нещастя,দুর্ভাগ্য
482,Schuld::N,провина,অপরাধ
483,Alter::N,вік,আয়ু
484,Alter::N,літа,আয়ু
485,Schluss::N,кінець,শেষ
486,Zeit::N,час,সময়
487,Tag::N,день,দিন
488,Morgen::N,ранок,সকাল
489,Mittag::N,південь,মধ্যাহু
490,Abend::N,вечір,সন্ধ্যা
491,Nacht::N,ніч,রাত্রি
492,Woche::N,тиждень,সপ্তাহ
493,Monat::N,місяць,মাস
494,Jahr::N,рік,সৌরবর্ষ
495,Frühling::N,весна,বসন্তকাল
496,Sommer::N,літо,গ্রীষ্মকাল
497,Herbst::N,осінь,শরংঋতু
498,Winter::N,зима,শীতকাল
499,Januar::N,січень,জানুয়ারী
500,Februar::N,лютий,ফেব্রুয়ারী
501,März::N,березень,মার্চ
502,April::N,квітень,এপ্রিল
503,Mai::N,травень,মে
504,Juni::N,червень,জুন
505,Juli::N,липень,জুলাই
506,August::N,серпень,অগাস্ট
507,September::N,вересень,সেপ্টেম্বর
508,Oktober::N,жовтень,অক্টোবর
509,November::N,листопад,নভেম্বর
510,Dezember::N,грудень,ডিসেম্বর
511,Montag::N,понеділок,সোমবার
512,Dienstag::N,вівторок,মঙ্গলবার
513,Mittwoch::N,середа,বুধবার
514,Donnerstag::N,четвер,বৃহম্পতিবার
515,Freitag::N,п’ятниця,শুক্রবার
516,Samstag::N,субота,শনিবার
517,Sonntag::N,неділя,রবিবার
518,groß::A,великий,বৃহৎ
519,klein::A,малий,ছোট
520,klein::A,маленький,ছোট
521,lang::A,довгий,দীর্ঘ
522,kurz::A,короткий,খর্ব
523,kurz::A,короткий,হ্রস্ব
524,breit::A,широкий,চওড়া
525,schmal::A,вузький,সরু
526,dicht::A,густий,ঘন
