,Concept_ID,bg,mdf
616,Mittag::N,пладне,шикучка
617,Abend::N,вечер,иля́дь
618,Nacht::N,нощ,ве
619,Woche::N,седмица,недя́ля
620,Monat::N,месец,ков
621,Jahr::N,година,киза
622,Frühling::N,пролет,тунда́
623,Sommer::N,лято,киза
624,Herbst::N,есен,сёксе
625,Winter::N,зима,тяла
626,Januar::N,януари,кельмеков
627,Februar::N,февруари,уфайков
628,März::N,март,марайков
629,April::N,април,шудиков
630,Mai::N,май,панжиков
631,Juni::N,юни,лямбеков
632,Juli::N,юли,псиков
633,August::N,август,сёроньков
634,September::N,септември,тюжягов
635,Oktober::N,октомври,кельмазаков
636,November::N,ноември,эйндамков
637,Dezember::N,декември,кучкаков
638,Montag::N,понеделник,одговши
639,Dienstag::N,вторник,ша́вши
640,Mittwoch::N,сряда,вержи
641,Donnerstag::N,четвъртък,шува́ланя
642,Freitag::N,петък,пя́денця
643,Samstag::N,събота,ёткши
644,Sonntag::N,неделя,таргоши
645,groß::A,едър,оцю
646,groß::A,голям,оцю
647,klein::A,малък,ёмла
648,klein::A,дребен,ёмла
649,lang::A,дълъг,кува́ка
650,kurz::A,къс,нюрьхкя́ня
651,breit::A,широк,кели
652,schmal::A,тесен,тяйня
653,dicht::A,гъст,сиде
654,dicht::A,гъст,туста
655,dick[Gegenstand]::A,дебел,эчке
656,dünn::A,тънък,шува́ня
657,fein::A,фин,шува́ня
658,fein::A,тънък,шува́ня
659,fest::A,твърд,кеме
660,fest::A,плътен,кеме
661,flach::A,равен,лапш
662,flach::A,плосък,лапш
663,glatt::A,гладък,вадяв
664,glatt::A,гладък,такор
665,hart::A,твърд,калгода
666,hart::A,корав,калгода
667,weich::A,мек,ляпе
668,rund::A,кръгъл,кру́глай
669,spitz::A,островръх,ботаз
670,spitz::A,островръх,оржа
671,scharf::A,остър,оржа
672,stumpf::A,тъп,ношка
673,schwer::A,тежък,стака
674,schön::A,хубав,мазы
675,schön::A,красив,мазы
676,heiß::A,жарък,пси
677,warm::A,топъл,лямбе
678,kalt::A,студен,кельме
679,kühl::A,хладен,эше
680,frisch::A,свеж,свежай
681,feucht::A,влажен,летьке
682,nass::A,мокър,начка
683,trocken::A,сух,коське
684,voll::A,пълен,пяшксе
685,leer::A,празен,шава
686,offen::A,откровен,панжада
687,offen::A,откровен,виде
688,geschlossen::A,закрит,пякстаф
689,geschlossen::A,закрит,сёлгф
690,geschlossen::A,затворен,пякстаф
691,geschlossen::A,затворен,сёлгф
692,sauber::A,чист,ару
693,schmutzig::A,мръсен,рда́зу
694,schmutzig::A,мръсен,пя́ндра
695,roh::A,суров,верок
696,reif::A,зрял,ке́нерьф
697,lecker::A,вкусен,танцти
698,süß::A,сладък,ламбама
699,bitter::A,горчив,сяпи
700,sauer::A,кисел,шапама
701,hell::A,ясен,валда
702,hell::A,светъл,валда
703,dunkel::A,тъмен,шобда
704,schwarz::A,черен,равжа
705,weiß::A,бял,акша
706,rot::A,червен,якстерь
707,gelb::A,жълт,тюжя́
708,blau::A,син,сенем
709,grün::A,зелен,пиже
710,grün::A,зелен,сянгяря
711,grau::A,сив,уле
712,bunt::A,шарен,сёрмав
713,bunt::A,пъстър,сёрмав
714,billig::A,евтин,у́цез
715,billig::A,евтин,аф пи́тни
716,teuer::A,скъп,пи́тни
717,wertvoll::A,ценен,питни
718,blind::A,сляп,сокор
719,taub::A,глух,пярав
720,kräftig::A,силен,пяк вии
721,stark::A,здрав,вии
722,stark::A,силен,вии
723,schwach::A,слаб,лафча
724,fett::A,тлъст,куя́
725,schlank::A,тънък,виде ронга
