,Concept_ID,ka,sq
645,klein::A,პატარა,vogël
646,lang::A,გრძელი,gjatë
647,kurz::A,მოკლე,shkurtër
648,breit::A,ფართო,gjerë
649,breit::A,განიერი,gjerë
650,schmal::A,ვიწრო,ngushtë
651,schmal::A,წვრილი,ngushtë
652,dicht::A,მჭიდრო,dendur
653,dick[Gegenstand]::A,სქელი,trashë
654,dünn::A,წვრილი,hollë
655,fein::A,თხელი,imët
656,fest::A,მყარი,fortë
657,flach::A,ბრტყელი,sheshtë
658,glatt::A,გლუ,rrafshët
659,hart::A,მაგარი,fortë
660,weich::A,რბილი,butë
661,rund::A,მრგვალი,rrumbullakët
662,spitz::A,წვეტიანი,majëmprehtë
663,scharf::A,მჭრელი,mprehtë
664,stumpf::A,ბლაგვი,topitur
665,schwer::A,მძიმე,rëndë
666,schön::A,ლამაზი,bukur
667,heiß::A,ცხელი,nxehtë
668,warm::A,თბილი,ngrohtë
669,kalt::A,ცივი,ftohtë
670,kühl::A,გრილი,freskët
671,frisch::A,სუფთა,pastër
672,feucht::A,ნოტიო,lagësht
673,nass::A,სველი,lagur
674,trocken::A,მშრალი,thatë
675,voll::A,სავსე,plotë
676,leer::A,ცარიელი,bosh
677,leer::A,ცარიელი,zbrazët
678,offen::A,ღია,hapur
679,offen::A,გაშლილი,hapur
680,geschlossen::A,დახურული,mbyllur
681,sauber::A,სუფთა,dëlirë
682,sauber::A,წმინდა,dëlirë
683,schmutzig::A,ტალახიანი,ndyrë
684,roh::A,უმი,gjallë
685,reif::A,მწიფე,arrirë
686,lecker::A,გემრიელი,shijshëm
687,süß::A,ტკბილი,ëmbël
688,bitter::A,მწარე,hidhur
689,sauer::A,მჟავე,thartë
690,hell::A,ნათელი,me dritë
691,dunkel::A,ბნელი,errët
692,schwarz::A,შავი,i zi
693,weiß::A,თეთრი,bardhë
694,rot::A,წითელი,kuq
695,gelb::A,ყვითელი,verdhë
696,blau::A,ლურჯი,blu
697,blau::A,ლურჯი,kaltër
698,blau::A,ცისფერი,blu
699,blau::A,ცისფერი,kaltër
700,grün::A,მწვანე,blertë
701,grün::A,მწვანე,gjelbër
702,grau::A,რუხი,hirtë
703,grau::A,რუხი,bojë hiri
704,grau::A,ნაცრისფერი,hirtë
705,grau::A,ნაცრისფერი,bojë hiri
706,bunt::A,ჭრელი,shumëngjyrëshëm
707,bunt::A,ფერადი,shumëngjyrëshëm
708,billig::A,იაფი,lirë
709,teuer::A,ძვირი,shtrenjtë
710,wertvoll::A,ღირსიანი,çmuar
711,wertvoll::A,ღირსიანი,vlershëm
712,blind::A,ბრმა,qorr
713,blind::A,ბრმა,verbër
714,taub::A,ყრუ,shurdhër
715,kräftig::A,ძალავანი,fuqishëm
716,stark::A,ძლიერი,fortë
717,stark::A,ღონიერი,fortë
718,schwach::A,სუსტი,dobët
719,fett::A,სქელი,dhjamur
720,schlank::A,გამხდარი,hollë
721,hübsch::A,ეშხიანი,bukur
722,hübsch::A,ეშხიანი,hijshëm
723,hübsch::A,მშვენიერი,bukur
