,Concept_ID,xal,kv
669,verschieden::A,әдл биш,быдкодь
670,verschieden::A,йилһәтә,быдкодь
671,nah::A,өөрхн,матiсь
672,fern::A,хол,ылicь
673,linker::A,зүн,шульга
674,rechter::A,барун,веськытланись
675,anderer::A,талдан,мукӧд
676,erster::A,негдгч,медодзза
677,zweiter::A,хойрдгч,кыкӧт
678,dritter::A,һурвдгч,куимӧт
679,dritter::A,һурвдгч,куимӧдз
680,letzter::A,отхн,бӧрья
681,letzter::A,отхн,мёдбӧрья
682,allein::ADV,һанцарн,
683,auf einmal::ADV,нег дәкҗ,тшӧтш
684,zusammen::ADV,хамдан,ӧтлаын
685,lange::ADV,удан,дыр
686,plötzlich::ADV,генткн,друг
687,sofort::ADV,дарунь,тшӧтш
688,später::ADV,сүүлд,медбӧрын
689,jetzt::ADV,ода,ӧні
690,heute::ADV,эндр,талун
691,morgen::ADV,маңһдур,ашын
692,bald::ADV,дарунь,чожа
693,dann::ADV,дәкәд,сыбӧрын
694,gestern::ADV,өцклдүр,тӧн
695,einst::ADV,нег саамд,ӧтпыр
696,damals::ADV,тиигхд,сэк
697,damals::ADV,тиигхд,сэки
698,danach::ADV,тегәд,сэсся
699,vorher::ADV,урд,одзжык
700,zuerst::ADV,түрүләд,наперво
701,einmal::ADV,нег дәкҗ,ӧтпыр
702,manchmal::ADV,зәрмдән,мукӧдпыр
703,oft::ADV,хара биш,-лы-
704,oft::ADV,хатяр биш,-лы-
705,oft::ADV,дару-дарунь,-лы-
706,immer::ADV,оньдинд,быдпыр
707,immer::ADV,оньдинд,быдпырся
708,niemals::ADV,кезә чмгн биш,некӧр
709,hier::ADV,энд,татӧн
710,hier::ADV,энүнд,татӧн
711,hierhin::ADV,нааран,татчӧ
712,von hier::ADV,эндәс,тасянь
713,dort::ADV,тенд,сэтӧн
714,dorthin::ADV,тиигән,сэтчин
715,geradeaus::ADV,шуд,веськыта
716,vorwärts::ADV,уралан,одзӧ
717,rückwärts::ADV,гедргән,бӧр
718,zurück::ADV,хәрү,бӧр
719,unten::ADV,дор,увтын
720,hinab::ADV,дор,увтас
721,hinab::ADV,доракшан,увтас
722,oben::ADV,деер,вевдӧрас
723,hinauf::ADV,өөдән,вывлань
724,hinauf::ADV,өөдән,вывланьӧ
725,hinauf::ADV,деер,вывлань
726,hinauf::ADV,деер,вывланьӧ
727,überall::ADV,альд болв чигн,быдлан
728,nicht::ADV,эс,ог
729,nicht::ADV,биш,ог
730,nicht::ADV,бичә,ог
731,ein wenig::ADV,баахн,-ышт
732,ein wenig::ADV,баахн,невна
733,ein wenig::ADV,баахнар,-ышт
734,ein wenig::ADV,баахнар,невна
735,kaum::ADV,әрә,ӧдва
736,sehr::ADV,йир,вывтi
737,so::ADV,иигҗ,сiдз
738,noch::ADV,ода чигн,эшӧ
