,Concept_ID,mdf,ro
656,Alter::N,эряфонь пинге,etate
657,Alter::N,эряфонь пинге,vârstă
658,Schluss::N,пе,sfârșit
659,Zeit::N,пинге,timp
660,Zeit::N,пинге,vreme
661,Tag::N,ши,zi
662,Morgen::N,шобдава,dimineață
663,Mittag::N,шикучка,prânz
664,Mittag::N,шикучка,amiază
665,Abend::N,иля́дь,seară
666,Nacht::N,ве,noapte
667,Woche::N,недя́ля,săptămână
668,Monat::N,ков,lună
669,Jahr::N,киза,an
670,Frühling::N,тунда́,primăvară
671,Sommer::N,киза,vară
672,Herbst::N,сёксе,toamnă
673,Winter::N,тяла,iarnă
674,Januar::N,кельмеков,ianuarie
675,Februar::N,уфайков,februarie
676,März::N,марайков,martie
677,April::N,шудиков,aprilie
678,Mai::N,панжиков,mai
679,Juni::N,лямбеков,iunie
680,Juli::N,псиков,iulie
681,August::N,сёроньков,august
682,September::N,тюжягов,septembrie
683,Oktober::N,кельмазаков,octombrie
684,November::N,эйндамков,noiembrie
685,Dezember::N,кучкаков,decembrie
686,Montag::N,одговши,luni
687,Dienstag::N,ша́вши,marți
688,Mittwoch::N,вержи,miercuri
689,Donnerstag::N,шува́ланя,joi
690,Freitag::N,пя́денця,vineri
691,Samstag::N,ёткши,sâmbătă
692,Sonntag::N,таргоши,duminică
693,groß::A,оцю,mare
694,klein::A,ёмла,mic
695,lang::A,кува́ка,lung
696,kurz::A,нюрьхкя́ня,scurt
697,breit::A,кели,lat
698,breit::A,кели,larg
699,schmal::A,тяйня,strâmt
700,dicht::A,сиде,des
701,dicht::A,туста,des
702,dick[Gegenstand]::A,эчке,gros
703,dünn::A,шува́ня,subțire
704,fein::A,шува́ня,fin
705,fein::A,шува́ня,subțire
706,fest::A,кеме,tare
707,fest::A,кеме,solid
708,flach::A,лапш,șes
709,flach::A,лапш,plan
710,glatt::A,вадяв,lins
711,glatt::A,такор,lins
712,hart::A,калгода,dur
713,weich::A,ляпе,moale
714,rund::A,кру́глай,rotund
715,rund::A,кру́глай,circular
716,spitz::A,ботаз,ascuțit
717,spitz::A,оржа,ascuțit
718,scharf::A,оржа,tăios
719,scharf::A,оржа,ascuțit
720,stumpf::A,ношка,tocit
721,schwer::A,стака,greu
722,schön::A,мазы,frumos
723,heiß::A,пси,cald
724,heiß::A,пси,fierbinte
725,warm::A,лямбе,cald
726,warm::A,лямбе,fierbinte
727,kalt::A,кельме,rece
728,kühl::A,эше,rece
729,kühl::A,эше,răcoros
730,frisch::A,свежай,răcoros
731,frisch::A,свежай,proaspăt
732,feucht::A,летьке,umed
733,feucht::A,летьке,jilav
734,nass::A,начка,ud
735,trocken::A,коське,sec
736,trocken::A,коське,uscat
737,voll::A,пяшксе,plin
738,leer::A,шава,gol
739,offen::A,панжада,deschis
740,offen::A,виде,deschis
741,geschlossen::A,пякстаф,închis
742,geschlossen::A,сёлгф,închis
743,sauber::A,ару,curat
744,schmutzig::A,рда́зу,murdar
745,schmutzig::A,пя́ндра,murdar
746,roh::A,верок,crud
747,reif::A,ке́нерьф,copt
748,lecker::A,танцти,gustos
749,süß::A,ламбама,dulce
750,bitter::A,сяпи,amar
751,sauer::A,шапама,acru
752,hell::A,валда,clar
753,hell::A,валда,luminos
754,dunkel::A,шобда,obscur
755,dunkel::A,шобда,întunecos
756,schwarz::A,равжа,negru
757,weiß::A,акша,alb
758,rot::A,якстерь,roșu
759,gelb::A,тюжя́,galben
760,blau::A,сенем,albastru
761,grün::A,пиже,verde
762,grün::A,сянгяря,verde
763,grau::A,уле,gri
764,grau::A,уле,cenușiu
765,bunt::A,сёрмав,colorat
766,billig::A,у́цез,ieftin
767,billig::A,аф пи́тни,ieftin
768,teuer::A,пи́тни,scump
769,wertvoll::A,питни,prețios
770,blind::A,сокор,orb
771,taub::A,пярав,surd
772,kräftig::A,пяк вии,tare
773,kräftig::A,пяк вии,forte
774,kräftig::A,пяк вии,robust
775,stark::A,вии,viguros
776,stark::A,вии,puternic
777,schwach::A,лафча,slab
778,schwach::A,лафча,debil
779,fett::A,куя́,gras
780,schlank::A,виде ронга,zvelt
781,hübsch::A,мазы,drăguț
782,böse::A,кяжи,rău
783,böse::A,кяжи,răutăcios
