,Concept_ID,ml,vep
336,Ski::N,ഹിമപാദുകം,suks'
337,Lagerfeuer::N,തീ,nodj
338,Lagerfeuer::N,തീ,pažag
339,Last::N,ഭാരം,jüguz
340,Gang::N,നടത്തം,astund
341,Schritt::N,ചുവട്,hašk
342,Norden::N,വടക്ക്,pohjoine
343,Süden::N,തെക്ക്,suvi
344,Westen::N,പടിഞ്ഞാറ്,päivlaskm
345,Osten::N,കിഴക്ക്,päivnouzm
346,Holz::N,തടി,pu
347,Brett::N,ബോർഡ്,laud
348,Platte::N,തകിട്,keitim
349,Stütze::N,താങ്ങ്,tugi
350,Stange::N,കമ്പ്,arz'
351,Stock::N,വടി,kalu
352,Stab::N,കുറുവടി,seibaz
353,Rohr::N,കുഴൽ,torv
354,Haus::N,വീട്,pert'
355,Heim::N,വീട്,kodi
356,Ofen::N,സ്റ്റൌ,päč
357,Fußboden::N,തറ,lava
358,Tisch::N,മേശ,laud
359,Tisch::N,മേശ,stal'c
360,Stuhl::N,കസേര,ištim
361,Wiege::N,തൊട്ടിൽ,kätte
362,Bett::N,കിടക്ക,sija
363,Bett::N,കിടക്ക,magaduzsija
364,Regal::N,ഷെൽഫ്,palič
365,Kiste::N,പെട്ടി,mülütim
366,Fenster::N,ജനൽ,ikun
367,Tür::N,വാതിൽ,uks'
368,Tor::N,കവാടം,verai
369,Zaun::N,വേലി,aid
370,Dach::N,മേൽക്കുര,katuz
371,Leiter::N,ഏണി,pordhad
372,Besen::N,ചൂല്,lud
373,Besen::N,ചൂല്,vast
374,Spaten::N,തൂമ്പ,labid
375,Schaufel::N,തൂമ്പ,labid
376,Gabel::N,മുൾക്കത്തി,hangoine
377,Löffel::N,സ്പൂൺ,luzik
378,Messer::N,കത്തി,veič
379,Nagel::N,ആണി,nagl
380,Netz::N,വല,verk
381,Haken::N,കൊളുത്ത്,kouk
382,Griff::N,കൈപ്പിടി,kägä
383,Griff::N,കൈപ്പിടി,varz'
384,Schloss::N,പൂട്ട്,lukkol
385,Bild::N,ചിത്രം,kuva
386,Figur::N,കണക്ക്,figur
387,Puppe::N,പാവ,tätüine
388,Beutel::N,ബാഗ്,havad
389,Bündel::N,കെട്ട്,toppaz
390,Bündel::N,കെട്ട്,käč
391,Tasche::N,ബാഗ്,sumk
392,Eimer::N,ബക്കറ്റ്,vädr
393,Deckel::N,ഉറ,katuz
394,Geschirr::N,പിഞ്ഞാണം,astii
395,Sack::N,ചാക്ക്,havad
396,Tasse::N,കപ്പ്,čašk
397,Topf::N,പാത്രം,pada
398,Kessel::N,കെറ്റ്ല്,katil
399,Essen::N,ആഹാരസമയം,sönd
400,Nahrung::N,ഭക്ഷണം,söm
401,Speise::N,ഡിഷ്,sömine
402,Fleisch::N,മാംസം,liha
403,Getreide::N,ചോളം,vill'
404,Brei::N,കഞ്ഞി,pudr
405,Brot::N,റോട്ടി,leib
406,Scheibe::N,തുണ്ട്,bibaleh
407,Scheibe::N,തുണ്ട്,šlik
408,Fett::N,കൊഴുപ്പ്,razv
409,Butter::N,വെണ്ണ,voi
410,Öl::N,എണ്ണ,voi
411,Salz::N,ഉപ്പ്,sol
412,Suppe::N,സൂപ്പ്,lem'
413,Suppe::N,സൂപ്പ്,keitoz
414,Honig::N,തേൻ,mezi
415,Milch::N,പാൽ,maid
416,Tee::N,ചായ,čai
417,Leder::N,തുകൽ,nahk
418,Wolle::N,കമ്പിളി,vill
419,Stoff::N,തുണി,kangaz
420,Nadel::N,സൂചി,negl
421,Faden::N,നൂല്,nit'
422,Knopf::N,ബട്ടൺ,nübl'
423,Knoten::N,കുരുക്ക്,sol'm
424,Farbe::N,പെയിൻറ്,muju
425,Kleidung::N,വസ്ത്രങ്ങൾ,sobad
426,Hemd::N,ഷർട്ട്,paid
427,Kragen::N,കുപ്പായക്കഴുത്ത്,kagluz
428,Ärmel::N,കുപ്പായക്കൈ,hijam
429,Hose::N,ട്രൌസർ,štanad
430,Gürtel::N,ബെൽറ്റ്,vö
431,Mütze::N,തൊപ്പി,šapuk
432,Schuh::N,ഷൂ,keng'
433,Stiefel::N,ബൂട്ട്,sapug
434,Ring::N,മോതിരം,rengaz
435,Band::N,റിബൺ,lentaine
436,Kamm::N,ചീപ്പ്,suga
437,Spiegel::N,കണ്ണാടി,zerkol
438,Riemen::N,സ്ട്രാപ്പ്,vö
439,Schnur::N,ചരട്,nor
440,Leine::N,കെട്ടാനുള്ള തോൽവാർ,talutimnor
441,Decke::N,പുതപ്പ്,sijakatuz
442,Kissen::N,തലയിണ,pöluz
443,Tuch::N,സ്കാർഫ്,paik
444,Handtuch::N,തോർത്ത്,käzipaik
445,Kraft::N,ശക്തി,vägi
446,Stärke::N,ശക്തി,vahvuz'
447,Gesundheit::N,ആരോഗ്യം,tervhuz
448,Krankheit::N,അസുഖം,läžund
449,Schmerz::N,വേദന,kibu
450,Wunde::N,മുറിവ്,čapatez
451,Fieber::N,പനി,säru
452,Arznei::N,മരുന്ന്,zel'l'
453,Brücke::N,പാലം,sild
454,Brunnen::N,കിണർ,kaiv
455,Weide::N,മേച്ചൽ,omaluine
456,Pfad::N,വഴി,tehut
457,Weg::N,വഴി,te
458,Straße::N,റോഡ്,te
459,Dorf::N,ഗ്രാമം,külä
460,Stadt::N,നഗരം,lidn
461,Brief::N,കത്ത്,kirjeine
462,Buch::N,പുസ്തകം,kirj
463,Buchstabe::N,അക്ഷരം,kirjam
464,Zeitung::N,വർത്തമാനപത്രം,lehtez
465,Leben::N,ജീവൻ,elo
466,Tod::N,മരണം,surm
467,Grab::N,ശവക്കുഴി,kaum
468,Kirche::N,പള്ളി,jumalanpert'
469,Sünde::N,പാപം,grähk
470,Gott::N,ദൈവം,jumal
471,Arbeiter::N,ജോലിക്കാരൻ,radnik
472,Chef::N,മേധാവി,pämez'
473,Meister::N,യജമാനൻ,mastar
474,Arzt::N,ഡോക്ടർ,lekar'
475,Lehrer::N,അധ്യാപകൻ,opendai
476,Geld::N,പണം,rahad
477,Geschäft::N,ബിസിനസ്,biznes
478,Laden::N,കട,lauk
479,Preis::N,വില,arv
480,Ware::N,ചരക്ക്,tavar
481,Nutzen::N,ലാഭം,liža
482,Reichtum::N,ധനം,kodielo
483,Reichtum::N,ധനം,kal'huz'
484,Welt::N,ലോകം,mail'm
485,Land::N,രാജ്യം,ma
486,Staat::N,രാജ്യം,valdkund
487,König::N,രാജാവ്,kunigaz
488,Macht::N,അധികാരം,vald
489,Grenze::N,അതിർത്തി,röun
490,Krieg::N,യുദ്ധം,soda
491,Feind::N,ശത്രു,vihanik
492,Feind::N,ശത്രു,vastustai
493,Gewalt::N,അക്രമം,vägivald
494,Kampf::N,പോരാട്ടം,tora
495,Bogen[Waffe]::N,വില്ല്,taug
496,Pfeil::N,അമ്പ്,nol
497,Gewehr::N,തോക്ക്,oružj
498,Fehler::N,പിശക്,viga
499,Lüge::N,കള്ളം,kelastuz
500,Schaden::N,കേടുപാട്,pahuz'
501,Unglück::N,ദൌർഭാഗ്യം,bed
502,Unglück::N,ദൌർഭാഗ്യം,gor'a
503,Schuld::N,തെറ്റ്,värhuz'
504,Alter::N,വയസ്സ്,igä
505,Schluss::N,നിഗമനം,lop
506,Zeit::N,സമയം,aig
507,Tag::N,ദിവസം,päiv
508,Morgen::N,പ്രഭാതം,homendez
509,Mittag::N,ഉച്ച,keskpäiv
510,Abend::N,സായാഹ്നം,eht
511,Nacht::N,രാത്രി,ö
512,Woche::N,ആഴ്ച,nedal'
513,Monat::N,മാസം,ku
514,Jahr::N,വർഷം,voz'
515,Frühling::N,വസന്തം,keväz'
516,Sommer::N,വേനൽ,keza
517,Herbst::N,ശരത്കാലം,sügüz'
518,Winter::N,ശൈത്യം,tal'v
519,Januar::N,ജനുവരി,viluku
520,Februar::N,ഫെബ്രുവരി,uhoku
521,März::N,മാർച്ച്,keväz'ku
522,April::N,ഏപ്രിൾ മാസം,sulaku
523,Mai::N,മെയ് മാസം,semendku
524,Juni::N,ജൂൺ,kezaku
525,Juli::N,ജൂലൈ,heinku
526,August::N,ആഗസ്റ്റ്,eloku
527,September::N,സെപ്തംബർ,sügüz'ku
528,Oktober::N,ഒക്ടോബർ,reduku
