,Concept_ID,br,lt
390,Netz::N,roued,tinklas
391,Haken::N,krog,vagis
392,Haken::N,krog,kablys
393,Griff::N,kemer,kotas
394,Griff::N,kemer,rankena
395,Schloss::N,potenn,spyna
396,Schloss::N,potenn,užraktas
397,Bild::N,skeudenn,paveikslas
398,Figur::N,skeud,figūra
399,Figur::N,figur,figūra
400,Puppe::N,merc'hodenn,lėlė
401,Beutel::N,sac'h,krepšys
402,Beutel::N,sac'h,maišelis
403,Bündel::N,feskenn,ryšulys
404,Tasche::N,sac'h,krepšelis
405,Eimer::N,sailh,kibiras
406,Deckel::N,pallenn,dangtis
407,Geschirr::N,listriaj,indai
408,Sack::N,sac'h,maišas
409,Tasse::N,tas,puodukas
410,Topf::N,pod,puodas
411,Kessel::N,chaodouron,katilas
412,Essen::N,pred,valgis
413,Nahrung::N,boued,penas
414,Nahrung::N,boued,maistas
415,Speise::N,meuz,patiekalas
416,Fleisch::N,kig,mėsa
417,Getreide::N,ed,javai
418,Brei::N,yod,košė
419,Brot::N,bara,duona
420,Scheibe::N,tailhenn,riekė
421,Fett::N,lard,taukai
422,Fett::N,lard,riebalai
423,Butter::N,amann,sviestas
424,Öl::N,eoul,aliejus
425,Salz::N,holen,druska
426,Suppe::N,soubenn,sriuba
427,Honig::N,mel,medus
428,Milch::N,laezh,pienas
429,Tee::N,te,arbata
430,Leder::N,lêr,oda
431,Wolle::N,gloan,vilna
432,Stoff::N,danvez,audeklas
433,Nadel::N,nadoz,adata
434,Faden::N,neudenn,gija
435,Faden::N,neudenn,siūlas
436,Knopf::N,bouton,saga
437,Knoten::N,skoulm,mazgas
438,Farbe::N,liv,dažai
439,Kleidung::N,dilhad,rūbai
440,Kleidung::N,dilhad,drabužiai
441,Hemd::N,roc'hed,marškiniai
442,Kragen::N,gouzoug,apykaklė
443,Ärmel::N,milgin,rankovė
444,Hose::N,bragoù,kelnės
445,Gürtel::N,gouriz,juosta
446,Gürtel::N,gouriz,diržas
447,Mütze::N,boned,kepurė
