,Concept_ID,xal,la
350,Osten::N,зүн үзг,oriens
351,Holz::N,модн,lignum
352,Brett::N,харһа,tabula
353,Platte::N,хавтха чолун,lamina
354,Stütze::N,тулг,adminiculum
355,Stange::N,уньн,pertica
356,Stock::N,модн,baculum
357,Stab::N,шуург,scipio
358,Rohr::N,турва,tubus
359,Haus::N,гер,aedes
360,Heim::N,гер-бул,domicilium
361,Ofen::N,беш,fornax
362,Fußboden::N,девскр,solum
363,Tisch::N,ширә,mensa
364,Stuhl::N,стул,sella
365,Wiege::N,өлгә,cunae
366,Wiege::N,дүүҗң,cunae
367,Bett::N,орн,lectus
368,Bett::N,орндг,lectus
369,Regal::N,таг,foruli
370,Regal::N,тәвц,foruli
371,Kiste::N,яршг,cista
372,Fenster::N,терз,fenestra
373,Tür::N,үүдн,ianua
374,Tor::N,үүдн,porta
375,Tor::N,өргн үүдн,porta
376,Tor::N,хашан үүдн,porta
377,Zaun::N,хаша,saepes
378,Dach::N,деевр,tectum
379,Leiter::N,шат,scalae
380,Leiter::N,давшур,scalae
381,Besen::N,сәвүр,scopae
382,Spaten::N,күрз,pala
383,Schaufel::N,совг,pala
384,Gabel::N,серә,fuscinula
385,Löffel::N,ухр,coclear
386,Messer::N,утх,culter
387,Nagel::N,хадасн,clavus
388,Netz::N,гөлм,rete
389,Haken::N,дегә,hamus
390,Griff::N,иш,manubrium
391,Griff::N,бәрүл,manubrium
392,Schloss::N,оньс,claustra
393,Bild::N,зург,tabula
394,Bild::N,зург,pictura
395,Figur::N,фигур,statunculum
396,Puppe::N,наадһа,pupa
397,Beutel::N,мишг,sacculus
398,Bündel::N,багла,fascis
399,Bündel::N,боодһа,fascis
400,Tasche::N,сумк,sacculus
401,Eimer::N,суулһ,situla
402,Deckel::N,бүркәсн,operculum
403,Geschirr::N,сав,vasa
404,Geschirr::N,сав-сарх,vasa
405,Sack::N,мишг,saccus
406,Tasse::N,ааһ,pocillum
407,Topf::N,кастрюль,olla
408,Kessel::N,хәәсн,aenum
409,Essen::N,зоогллһн,cena
410,Nahrung::N,теҗәл,cibus
411,Nahrung::N,теҗәл,alimenta
412,Speise::N,хот,cibus
413,Fleisch::N,махн,caro
414,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,frumentum
415,Brei::N,хаш,puls
416,Brot::N,өдмг,panis
417,Scheibe::N,зүсм,frustum
418,Fett::N,өөкн,pingue
419,Butter::N,тосн,butȳrum
420,Öl::N,тосн,oleum
421,Salz::N,давсн,sal
422,Suppe::N,шөлн,ius
423,Honig::N,бал,mel
424,Milch::N,үсн,lac
425,Tee::N,цә,thea
426,Leder::N,арсн,corium
427,Wolle::N,утцн,lana
428,Wolle::N,эд,lana
429,Stoff::N,эд,textum
430,Nadel::N,зүн,acus
431,Faden::N,утцн,filum
432,Knopf::N,товч,bulla
433,Knoten::N,зәңгдә,nodus
434,Farbe::N,будг,pigmentum
435,Kleidung::N,хувцн,vestimenta
436,Kleidung::N,хувц-хунр,vestimenta
437,Hemd::N,киилг,tunica
438,Kragen::N,зах,collare
439,Ärmel::N,ханцн,manica
440,Hose::N,шалвур,bracae
441,Gürtel::N,бүс,cingulum
442,Mütze::N,махла,pilleus
443,Schuh::N,башмгуд,calceus
444,Stiefel::N,һосн,pero
445,Stiefel::N,һосн,caliga
446,Ring::N,билцг,anulus
447,Band::N,лент,redimiculum
448,Kamm::N,сам,pecten
449,Spiegel::N,толь,speculum
450,Riemen::N,бүс,lorum
451,Schnur::N,деесн,linum
452,Leine::N,бурнтг,retinaculum
453,Leine::N,нохан көтлвр,retinaculum
454,Decke::N,көнҗл,lodix
455,Kissen::N,дер,pulvinus
456,Tuch::N,альчур,velum
457,Handtuch::N,полотенц,mantele
458,Handtuch::N,һар-нүүрин альчур,mantele
459,Kraft::N,күчн,vis
460,Stärke::N,чидл,robur
461,Gesundheit::N,эрүл-менд,valetudo
462,Krankheit::N,өвчн,morbus
463,Schmerz::N,өвдлһн,dolor
464,Wunde::N,шав,vulnus
465,Fieber::N,безг,febris
466,Arznei::N,эм,remedium
467,Brücke::N,тагт,pons
468,Brunnen::N,худг,puteus
469,Weide::N,малын идг,pascua
470,Pfad::N,цувг,semita
471,Weg::N,хаалһ,iter
472,Straße::N,зам,via
473,Dorf::N,хотн,vicus
474,Stadt::N,балһсн,urbs
475,Stadt::N,балһсн,oppidum
476,Brief::N,бичг,epistula
477,Buch::N,дегтр,liber
478,Buchstabe::N,үзг,littera
