,Concept_ID,az,ba
514,Nutzen::N,fayda,файҙа
515,Reichtum::N,zənginlik,байлыҡ
516,Welt::N,aləm,донъя
517,Welt::N,dünya,донъя
518,Land::N,ölkə,ил
519,Staat::N,dövlət,дәүләт
520,König::N,kral,король
521,König::N,məlik,король
522,Macht::N,qüdrət,власть
523,Grenze::N,hüdud,сик
524,Grenze::N,sərhət,сик
525,Krieg::N,hərb,һуғыш
526,Krieg::N,müharibə,һуғыш
527,Feind::N,düşmən,йылан
528,Gewalt::N,cəbr,көслөк
529,Kampf::N,savaş,көрәш
530,Bogen[Waffe]::N,yay,йәйә
531,Pfeil::N,ox,уҡ
532,Gewehr::N,tüfəng,мылтыҡ
533,Fehler::N,xəta,хата
534,Lüge::N,yalan,ялған
535,Schaden::N,ziyan,зыян
536,Schaden::N,ziyan,зарар
537,Unglück::N,bəla,ҡаза
538,Schuld::N,təqsir,ғәйеп
539,Alter::N,yaş,йәш
540,Schluss::N,son,һуң
541,Schluss::N,son,аҙаҡ
542,Zeit::N,vaxt,мәл
543,Zeit::N,vaxt,заман
544,Zeit::N,zaman,мәл
545,Zeit::N,zaman,заман
546,Tag::N,gün,көн
547,Morgen::N,sabah,иртә
548,Morgen::N,sabah,иртәнсәк
549,Mittag::N,günorta,төш
550,Abend::N,axşam,кис
551,Nacht::N,gecə,төн
552,Woche::N,həftə,аҙна
553,Monat::N,ay,ай
554,Jahr::N,il,йыл
555,Frühling::N,yaz,яҙ
556,Frühling::N,bahar,яҙ
557,Sommer::N,yay,йәй
558,Herbst::N,payız,көз
559,Winter::N,qış,ҡыш
560,Januar::N,Janvar,ғинуар
561,Februar::N,Fevral,февраль
562,März::N,Mart,март
563,April::N,Aprel,апрель
564,Mai::N,May,май
565,Juni::N,İyun,июнь
566,Juli::N,İyul,июль
567,August::N,Avqust,август
568,September::N,Sentyabr,сентябрь
569,Oktober::N,Oktyabr,октябрь
570,November::N,Noyabr,ноябрь
571,Dezember::N,Dekabr,декабрь
572,Montag::N,bazar ertəsi,дүшәмбе
573,Dienstag::N,çərşənbə axşamı,шишәмбе
574,Mittwoch::N,çərşənbə,шаршамбы
575,Donnerstag::N,cüme axşamı,кесаҙна
576,Freitag::N,cüme,йома
577,Samstag::N,şənbə,шәмбе
578,Sonntag::N,bazar,йәкшәмбе
579,groß::A,böyük,ҙур
580,klein::A,kiçik,бәләкәс
581,lang::A,uzun,оҙон
582,kurz::A,qısa,ҡыҫҡа
583,breit::A,enli,киң
584,breit::A,geniş,киң
585,schmal::A,dar,тар
586,dicht::A,sıx,йыш
587,dicht::A,sıx,ҡуйы
588,dick[Gegenstand]::A,qalın,ҡалын
589,dünn::A,nazik,йоҡа
590,dünn::A,nazik,нәҙек
591,fein::A,incə,нескә
592,fest::A,bərk,ныҡ
593,fest::A,möhkəm,ныҡ
594,flach::A,düz,яҫы
595,flach::A,düz,ялпаҡ
596,glatt::A,hamar,шыма
597,hart::A,sərt,ҡаты
598,weich::A,yumşaq,йомшаҡ
599,rund::A,yuvarlaq,түңәрәк
600,spitz::A,uclu,осло түбәле
601,spitz::A,sivri,осло түбәле
602,scharf::A,kəskin,үткер
603,stumpf::A,küt,утмәҫ
604,schwer::A,ağır,ауыр
605,schön::A,gözəl,матур
606,schön::A,gəşəng,матур
607,heiß::A,isti,эҫе
608,warm::A,ilıq,йылы
609,kalt::A,soyuq,һыуыҡ
610,kühl::A,sərin,һалҡынса
611,frisch::A,təzə,һалҡынса
612,feucht::A,nəm,еүеш
613,feucht::A,nəm,дымлы
614,nass::A,yaş,еүеш
615,trocken::A,quru,кипкән
616,voll::A,dolu,тулы
617,leer::A,boş,буш
618,offen::A,açıq,асыҡ
619,geschlossen::A,qapalı,ябыҡ
620,sauber::A,təmiz,таҙа
621,schmutzig::A,kirli,бысраҡ
622,roh::A,çiy,сей
623,reif::A,yetişmiş,өлгөрғән
624,lecker::A,dadlı,тәмле
625,lecker::A,ləzzətli,тәмле
626,süß::A,şirin,тямле
627,süß::A,şirin,тәм-том
628,bitter::A,acı,әсе
629,sauer::A,turş,әсе
630,hell::A,aydın,яҡты
631,dunkel::A,qaranlıq,ҡараңғы
632,schwarz::A,qara,ҡара
633,weiß::A,ağ,аҡ
634,rot::A,qırmızı,матур
635,rot::A,qırmızı,һылыу
636,rot::A,qırmızı,сибәр
637,gelb::A,sarı,һары
638,blau::A,göy,күк
639,blau::A,mavi,күк
640,grün::A,yaşıl,йәшел
641,grau::A,boz,буҙ
642,bunt::A,əlvan,сыбар
643,bunt::A,əlvan,ала-ҡола
644,bunt::A,rəngli,сыбар
645,bunt::A,rəngli,ала-ҡола
646,billig::A,ucuz,арзан
647,teuer::A,bahalı,ҡыйбатлы
648,wertvoll::A,qiymətli,ҡиммәтле
649,blind::A,kor,һуҡыр
650,taub::A,kar,һаңғырау
651,kräftig::A,güclü,көслө
652,kräftig::A,güclü,ҡеүәтле
653,stark::A,qüvvətli,көслө
654,stark::A,qüvvətli,ҡеүәтле
655,schwach::A,zəif,көсһөҙ
656,schwach::A,gücsüz,көсһөҙ
657,fett::A,şişman,һимеҙ
658,schlank::A,zərif,зифа
659,hübsch::A,göyçək,матур
660,böse::A,fəna,асыулы
661,dumm::A,axmaq,иҫәр
662,faul::A,tənbəl,иренсәк
663,fleißig::A,çalışqan,тырыш
664,geizig::A,xəsis,һаран
665,klug::A,ağıllı,аҡыллы
666,geschickt::A,bacarıqlı,оҫта
667,lieb::A,əziz,яғымлы
668,lieb::A,sevimli,яғымлы
669,lustig::A,məzəli,күңелле
670,lustig::A,gülməli,күңелле
671,sanft::A,mülayim,йыуаш
672,hungrig::A,ac,ас
673,krank::A,xəstə,сирле
674,krank::A,xəstə,ауырыу
675,nackt::A,çılpaq,яланғас
676,traurig::A,qəmgin,яманһыу
677,traurig::A,kədərli,яманһыу
678,lebendig::A,canlı,тере
679,lebendig::A,canlı,йәнле
680,gut::A,yaxşı,яҡшы
681,schlecht::A,pis,хөрт
682,schlecht::A,pis,алама
683,richtig::A,doğru,дөрөҫ
684,schlimm::A,fəna,хөрт
685,schlimm::A,fəna,алама
686,wahr::A,gərçək,дөрөҫ
687,alt::A,əski,иҫке
688,alt::A,əski,боронғо
689,alt::A,köhnə,иҫке
