,Concept_ID,ar,bn
533,September::N,سبتمبر,সেপ্টেম্বর
534,Oktober::N,أكتوبر,অক্টোবর
535,Oktober::N,تشرين الأول,অক্টোবর
536,November::N,نوفمبر,নভেম্বর
537,November::N,تشرين الثاني,নভেম্বর
538,Dezember::N,ديسمبر,ডিসেম্বর
539,Dezember::N,كانون الأول,ডিসেম্বর
540,Montag::N,يوم الاثنين,সোমবার
541,Dienstag::N,يوم الثلاثاء,মঙ্গলবার
542,Mittwoch::N,يوم الأربعاء,বুধবার
543,Donnerstag::N,يوم الخميس,বৃহম্পতিবার
544,Freitag::N,يوم الجمعة,শুক্রবার
545,Samstag::N,يوم السبت,শনিবার
546,Sonntag::N,يوم الأحد,রবিবার
547,groß::A,كبير,বৃহৎ
548,klein::A,صغير,ছোট
549,lang::A,طويل,দীর্ঘ
550,kurz::A,قصير,খর্ব
551,kurz::A,قصير,হ্রস্ব
552,breit::A,واسع,চওড়া
553,schmal::A,ضيق,সরু
554,dicht::A,كث,ঘন
555,dicht::A,كثيف,ঘন
556,dick[Gegenstand]::A,غليظ,পুরু
557,dünn::A,رفيع,কৃশ
558,fein::A,رقيق,সূক্ষ্ম
559,fest::A,متين,দৃঢ়
560,flach::A,سهل,সমতল
561,flach::A,منبسط,সমতল
562,glatt::A,ناعم,মসৃণ
563,hart::A,صلب,শক্ত
564,hart::A,جامد,শক্ত
565,weich::A,لين,নরম
566,rund::A,مستدير,গোলাকার
567,spitz::A,مدبب,তীক্ষ্ন
568,scharf::A,حاد,শাণিত
569,stumpf::A,ثالم,ভোঁতা
570,schwer::A,ثقيل,ভারী
571,schön::A,جميل,সুন্দর
572,heiß::A,حار,গরম
573,heiß::A,ساخن,গরম
574,warm::A,دافئ,ঈষদুষ্ণ
575,kalt::A,بارد,ঠাণ্ডা
576,kühl::A,قر,শীতল
577,frisch::A,طازج,তাজা
578,feucht::A,رطب,ভিজা
579,nass::A,مبلول,ভিজা
580,trocken::A,جاف,শুষ্ক
581,voll::A,ملء,পূর্ণ
582,leer::A,خال,খালি
583,leer::A,فارغ,খালি
584,offen::A,مفتوح,খোলা
585,geschlossen::A,مغلق,বন্ধ
586,sauber::A,نظيف,নির্মল
587,schmutzig::A,قذر,নোংরা
588,roh::A,نيء,কাঁচা
589,reif::A,ناضج,পাকা
590,lecker::A,لذيذ,সুস্বাদ
591,süß::A,حلو,মিষ্ট
592,bitter::A,مر,তিক্ত
593,sauer::A,حامض,টক
594,hell::A,نير,উজ্জ্বল
595,dunkel::A,مظلم,অন্ধকারময়
596,schwarz::A,أسود,কালো
597,weiß::A,أبيض,সাদা
598,rot::A,أحمر,লাল
599,gelb::A,أصفر,হলদে
600,blau::A,أزرق,নীল
601,grün::A,أخضر,সবুজ
602,grau::A,رمادي,ছাই-রঙা
603,bunt::A,ملوب,রঙিন
604,billig::A,رخيص,সস্তা
605,teuer::A,غال,আক্রা
606,wertvoll::A,ثمين,মহার্ঘ
607,blind::A,أعمى,কানা
608,taub::A,أصم,বধির
609,taub::A,أطرش,বধির
610,kräftig::A,قوي,বিশাল
611,stark::A,قوي,শক্তিশালী
612,schwach::A,ضعيف,দুর্বল
613,fett::A,سمين,মোটা
614,schlank::A,أهيف,কৃশ
615,hübsch::A,جميل,সুন্দর
616,böse::A,رديء,খারাপ
617,dumm::A,أبله,মূর্খ
618,dumm::A,أحمق,মূর্খ
619,faul::A,كسلان,শ্রমবিমুখ
620,fleißig::A,مجتهد,পরিশ্রমী
621,geizig::A,بخيل,ব্যয়কুণ্ঠ
622,klug::A,ذكي,দক্ষ
623,klug::A,عاقل,দক্ষ
624,geschickt::A,ماهر,পটু
625,lieb::A,عزيز,প্রেয়
626,lustig::A,مرح,প্রফুল্ল
627,sanft::A,حليم,নম্র
628,hungrig::A,جائع,ক্ষুধার্ত
629,krank::A,مريض,অসুস্থ
630,nackt::A,عار,উলঙ্গ
631,traurig::A,حزين,দুঃখিত
632,lebendig::A,حي,জীবিত
633,gut::A,جيد,ভালো
634,schlecht::A,سيء,মন্দ
635,richtig::A,صحيح,ঠিক
636,schlimm::A,خبيث,কদর্য
637,wahr::A,حق,বাস্তব
638,alt::A,قديم,পুরাতন
639,neu::A,جديد,নব
640,neu::A,جديد,নূতন
641,ehemalig::A,سابق,পূর্বকালীন
642,alt[Lebewesen]::A,مسن,বৃদ্ধ
643,jung::A,شاب,তরুণ
644,jung::A,صغير,তরুণ
645,arm::A,فقير,ক্ষুদ্র
646,reich::A,غني,ধনবান্
647,bekannt::A,معلوم,সুপরিচিত
648,berühmt::A,مشهور,বিখ্যাত
649,fremd::A,أجنبي,বিদেশি
650,verschieden::A,مختلف,বিসদৃশ
651,nah::A,قريب,নিকটবতী
652,fern::A,بعيد,দুরবতী
653,linker::A,يسار,বাম
654,rechter::A,يمين,ডান
655,rechter::A,يمين,ডাইন
656,anderer::A,آخر,অন্যতর
657,erster::A,أول,প্রথম
658,zweiter::A,ثان,দ্বিতীয়
659,dritter::A,ثالث,তৃতীয়
660,letzter::A,أخير,সর্বশেষ
661,allein::ADV,وحده,একক
662,auf einmal::ADV,بالمرة,জলদি
663,zusammen::ADV,معا,একসঙ্গে
664,lange::ADV,مدة طويلة,লম্বা
665,plötzlich::ADV,فجأة,হঠাৎ
666,sofort::ADV,حالا,মুহ্ণর্তমধ্যে
667,sofort::ADV,فورا,মুহ্ণর্তমধ্যে
668,später::ADV,فيما بعد,পশ্চাতে
669,jetzt::ADV,الآن,এখন
670,jetzt::ADV,حاليا,এখন
671,heute::ADV,اليوم,আজ
672,morgen::ADV,غدا,আগামিকাল
673,bald::ADV,قريبا,অস্পকালমধ্যে
674,dann::ADV,ثم,তখন
675,gestern::ADV,أمس,গতকাল
676,gestern::ADV,البارحة,গতকাল
677,einst::ADV,قديما,একবার মাত্র
678,damals::ADV,حينئذ,তখন
679,danach::ADV,ثم,পরে
680,danach::ADV,بعد ذلك,পরে
681,vorher::ADV,من قبل,আগে
682,vorher::ADV,قبل ذلك,আগে
683,zuerst::ADV,أولا,আগে
684,einmal::ADV,مرة,একবার
685,manchmal::ADV,أحيانا,কখনও কখনও
686,oft::ADV,كثيرا,ঘনঘন
687,immer::ADV,دائما,সর্বদা
688,niemals::ADV,لا أبدا,কখলও নহে
689,hier::ADV,هنا,এখানে
690,hierhin::ADV,إلى هنا,এখানে
691,von hier::ADV,من هنا,ত্রই স্তান হইতে
692,dort::ADV,هناك,ওখানে
693,dorthin::ADV,إلى هناك,ওখানে
694,geradeaus::ADV,إلى الأمام,অগ্রগামী
695,vorwärts::ADV,إلى الأمام,সন্মুখিকে
696,rückwärts::ADV,إلى الوراء,খিরিয়া
697,zurück::ADV,عودا,পিঠ
