,Concept_ID,udm,eu
474,Griff::N,ныд,eskutoki
475,Schloss::N,тунгон,sarraila
476,Bild::N,суред,irudi
477,Figur::N,фигура,figura
478,Puppe::N,мунё,panpina
479,Puppe::N,мунё,andrakila
480,Beutel::N,пуйы,zorro
481,Bündel::N,керттэт,azao
482,Bündel::N,керттэт,espal
483,Tasche::N,пуйы,poltsa
484,Tasche::N,сумка,poltsa
485,Eimer::N,ведра,treska
486,Deckel::N,ӵоксэт,tapa
487,Deckel::N,ӵоксэт,estalki
488,Geschirr::N,тусьты-пуньы,baxera
489,Geschirr::N,тусьты-пуньы,ontziteria
490,Sack::N,пуйы,zaku
491,Tasse::N,ӵаша,kikara
492,Topf::N,миска,ontzi
493,Topf::N,миска,lapiko
494,Kessel::N,пурты,pazia
495,Essen::N,сиськон,janaldi
496,Nahrung::N,сион,jan
497,Speise::N,сиён,jaki
498,Fleisch::N,сӥль,okela
499,Fleisch::N,сӥль,haragi
500,Getreide::N,ю тысь,labore
501,Brei::N,ӝук,ahi
502,Brei::N,ӝук,pure
503,Brot::N,нянь,ogi
504,Scheibe::N,шорем,xerra
505,Scheibe::N,шорем,pirripita
506,Fett::N,кӧй,urin
507,Fett::N,кӧй,koipe
508,Butter::N,вӧй,gurin
509,Öl::N,вӧй,olio
510,Salz::N,сылал,gatz
511,Suppe::N,шыд,zopa
512,Suppe::N,шыд,salda
513,Honig::N,чечы,ezti
514,Milch::N,йӧл,esne
515,Tee::N,чай,te
516,Leder::N,сурон,larru
517,Wolle::N,гон,artile
518,Wolle::N,ыжгон,artile
519,Stoff::N,куэм,ehun
520,Nadel::N,вень,orratz
521,Nadel::N,вень,jostorratz
522,Faden::N,сӥньыс,hari
523,Knopf::N,бирды,botoi
524,Knoten::N,герд,korapilo
525,Farbe::N,буёл,pintura
526,Kleidung::N,дӥсь,arropa
527,Kleidung::N,дӥсь,jantziak
528,Hemd::N,дэрем,atorra
529,Hemd::N,дэрем,alkandora
530,Kragen::N,сирес,idun
531,Ärmel::N,саес,mahuka
532,Hose::N,брюки,prakak
533,Hose::N,брюки,galtzak
534,Hose::N,штань,prakak
535,Hose::N,штань,galtzak
536,Gürtel::N,кускерттон,gerriko
537,Mütze::N,ызьы,txano
538,Mütze::N,ызьы,txapel
539,Schuh::N,ботинка,oski
540,Schuh::N,ботинка,oinetako
541,Stiefel::N,сапег,bota
542,Ring::N,зундэс,uztai
543,Band::N,лента,zinta
544,Band::N,лента,xingola
545,Kamm::N,сын,orrazi
546,Spiegel::N,синучкон,mirail
547,Riemen::N,е,uhal
548,Schnur::N,гозы,lokailu
549,Leine::N,думет,lotura
550,Decke::N,шобрет,burusi
551,Kissen::N,миндэр,kuxin
552,Tuch::N,кышет,zapi
553,Tuch::N,кышет,oihal
554,Handtuch::N,ӵушкон,eskuzapi
555,Handtuch::N,ӵушкон,eskuoihal
556,Kraft::N,кать,indar
557,Kraft::N,ӟигар,indar
558,Stärke::N,юнлык,indar
559,Gesundheit::N,тазалык,osasun
560,Krankheit::N,висён,eritasun
561,Krankheit::N,висён,gaixotasun
562,Schmerz::N,висён,min
563,Wunde::N,яра,zauri
564,Fieber::N,кезег,sukar
565,Arznei::N,эмъюм,osagai
566,Arznei::N,эмъюм,sendagai
567,Brücke::N,выж,zubi
568,Brunnen::N,колдэч,putzu
569,Weide::N,возь,alha
570,Weide::N,возь,bazkaleku
571,Pfad::N,сюрес,zidor
572,Pfad::N,сюрес,bidexka
573,Weg::N,сюрес,bide
574,Straße::N,сюрес,errepide
575,Dorf::N,гурт,herri
576,Stadt::N,кар,hiri
577,Stadt::N,город,hiri
578,Brief::N,гожтэт,gutun
579,Brief::N,гожтэт,eskutitz
580,Buch::N,книга,liburu
581,Buchstabe::N,буква,hizki
582,Zeitung::N,газет,egunkari
583,Leben::N,улон,bizi
584,Leben::N,улон,bizitza
585,Tod::N,кулон,herio
586,Tod::N,кулон,heriotza
587,Grab::N,шайгу,hobi
588,Grab::N,шайгу,hilobi
589,Kirche::N,черк,eliza
590,Sünde::N,сьӧлык,hoben
591,Sünde::N,сьӧлык,bekatu
592,Gott::N,ӥнмар,jainko
593,Arbeiter::N,рабочий,langile
594,Arbeiter::N,рабочий,behargin
595,Chef::N,начальник,nagusi
596,Meister::N,кибашлы,maisu
597,Arzt::N,врач,osagile
598,Arzt::N,врач,sendagile
599,Lehrer::N,дышетӥсь,irakasle
600,Geld::N,уксё,diru
601,Geld::N,коньдон,diru
602,Geschäft::N,уж,negozio
603,Laden::N,магазин,denda
604,Laden::N,магазин,saltegi
605,Preis::N,дун,prezio
606,Preis::N,дун,salneurri
