,Concept_ID,pl,mrj
480,Kissen::N,poduszka,кӹпцӹк
481,Tuch::N,chustka,савыц
482,Handtuch::N,ręcznik,шӹргӹсавыц
483,Handtuch::N,ręcznik,шӹргӹмсавыц
484,Kraft::N,moc,ви
485,Kraft::N,siła,ви
486,Stärke::N,moc,ви
487,Stärke::N,siła,ви
488,Gesundheit::N,zdrowie,шу
489,Gesundheit::N,zdrowie,шулык
490,Krankheit::N,choroba,мыж
491,Schmerz::N,ból,карштыш
492,Wunde::N,rana,шушыр
493,Fieber::N,gorączka,ӱштӹмыж
494,Arznei::N,lekarstwo,лекӓрцӹ
495,Brücke::N,most,кӹвер
496,Brunnen::N,studnia,вӹдсӹнзӓ
497,Weide::N,pastwisko,ныр
498,Pfad::N,ścieżka,ялгорны
499,Weg::N,droga,корны
500,Straße::N,ulica,корны
501,Dorf::N,wieś,сола
502,Stadt::N,miasto,города
503,Brief::N,list,сирмӓш
504,Buch::N,książka,книгӓ
505,Buchstabe::N,litera,буква́
506,Zeitung::N,gazeta,газет
507,Zeitung::N,gazeta,кайзет
508,Zeitung::N,dziennik,газет
509,Zeitung::N,dziennik,кайзет
510,Leben::N,życie,житя
511,Tod::N,śmierć,смöрт
512,Grab::N,grób,шӹгер
513,Grab::N,grób,мыгилӓ
514,Grab::N,grób,шӹгерлӓ
515,Kirche::N,kościół,церкӹ
516,Sünde::N,grzech,сулык
517,Gott::N,bóg,йымы
518,Arbeiter::N,robotnik,пӓшӓзӹ
519,Chef::N,szef,вуй
520,Meister::N,mistrz,мастар
521,Meister::N,majster,мастар
522,Arzt::N,lekarz,доктор
523,Lehrer::N,nauczyciel,тымдышы
524,Geld::N,pieniądze,окса
525,Geschäft::N,sprawa,торге́йӹмӓш
526,Geschäft::N,interes,торге́йӹмӓш
527,Laden::N,sklep,лапка
528,Laden::N,sklep,магазин
529,Preis::N,cena,ӓк
530,Ware::N,towar,товар
531,Nutzen::N,pożytek,пайда
532,Reichtum::N,bogactwo,перке
533,Welt::N,świat,сӓндӓлӹк
534,Welt::N,świat,свет
535,Land::N,kraj,сӓндӓлӹк
536,Staat::N,państwo,кугижӓншӹ
537,König::N,król,король
538,Macht::N,władza,власть
539,Grenze::N,granica,пӹсмӓн
540,Krieg::N,wojna,вырсы
541,Feind::N,wróg,тышман
542,Gewalt::N,władza,ви
543,Kampf::N,bój,кредӓлмӓш
544,Kampf::N,walka,кредӓлмӓш
545,Bogen[Waffe]::N,łuk,янгеж
546,Pfeil::N,strzała,пикш
547,Gewehr::N,karabin,пичӓл
548,Fehler::N,błąd,самынь
549,Lüge::N,kłamstwo,шая
550,Schaden::N,szkoda,вре́дӓ
551,Unglück::N,nieszczęście,пёда
552,Unglück::N,nieszczęście,тымаша
553,Schuld::N,wina,вуйнамат
554,Alter::N,wiek,иӓш
555,Alter::N,wiek,игечӹ
556,Schluss::N,koniec,пӹтӓртӹш
557,Schluss::N,zakończenie,пӹтӓртӹш
558,Zeit::N,czas,веремӓ
559,Tag::N,dzień,кечӹ
560,Morgen::N,ranek,ир
561,Morgen::N,ranek,ирок
562,Morgen::N,poranek,ир
563,Morgen::N,poranek,ирок
564,Mittag::N,południe,кечӹвӓл
565,Abend::N,wieczór,вады
566,Nacht::N,noc,йыд
567,Woche::N,tydzień,ӓрня
568,Monat::N,miesiąc,тӹ́лзӹ
569,Jahr::N,rok,год
570,Frühling::N,wiosna,шошым
571,Sommer::N,lato,кӓнгӹж
572,Herbst::N,jesień,шӹжӹ
573,Winter::N,zima,тел
574,Winter::N,zima,телӹ
575,Januar::N,styczeń,январ
576,Januar::N,styczeń,январь
577,Februar::N,luty,февраль
578,März::N,marzec,март
579,April::N,kwiecień,апрель
580,Mai::N,maj,май
581,Juni::N,czerwiec,июнь
582,Juli::N,lipiec,июль
583,August::N,sierpień,август
584,September::N,wrzesień,сентябрь
585,Oktober::N,październik,октябрь
586,November::N,listopad,ноябрь
587,Dezember::N,grudzień,декавыр
588,Montag::N,poniedziałek,шачмы
589,Dienstag::N,wtorek,кышкыжмы
590,Mittwoch::N,środa,вӹрчегӹ
591,Donnerstag::N,czwartek,изӓрня
592,Freitag::N,piątek,когарня
593,Samstag::N,sobota,кукшыгечӹ
594,Sonntag::N,niedziela,рушӓрня
595,groß::A,duży,кого
596,groß::A,wielki,кого
597,klein::A,mały,изи
598,lang::A,długi,кужы
599,kurz::A,krótki,кӹтӹк
600,breit::A,szeroki,кымда
601,schmal::A,wąski,ӓнгӹсӹр
602,dicht::A,gęsty,шӹре
603,dick[Gegenstand]::A,gruby,кӹжгӹ
604,dünn::A,cienki,вӹцкӹж
605,fein::A,drobny,пыльга
606,fest::A,mocny,цаткыды
607,fest::A,twardy,цаткыды
608,flach::A,płaski,тӓлякӓ
609,glatt::A,gładki,ягылгы
610,hart::A,twardy,пингӹдӹ
611,weich::A,miękki,пышкыды
612,rund::A,okrągły,тӹртӹш
613,spitz::A,spiczasty,кашар
614,scharf::A,ostry,кашар
615,stumpf::A,tępy,нӹшкӹ
616,schwer::A,ciężki,нелӹ
617,schön::A,ładny,цевер
618,schön::A,ładny,олмыдшы
619,schön::A,piękny,цевер
620,schön::A,piękny,олмыдшы
621,heiß::A,gorący,шокшы
622,warm::A,ciepły,шокшы
623,kalt::A,zimny,ӱштӹ
624,kühl::A,chłodny,юалгы
625,kühl::A,chłodny,йонгата
626,frisch::A,świeży,йонгата
627,feucht::A,wilgotny,ӹлӹкшӹ
628,feucht::A,wilgotny,вӹдӹжгӹ
629,nass::A,mokry,начкы
630,trocken::A,suchy,кукшы
631,voll::A,pełny,темшӹ
632,voll::A,pełny,темыман
633,leer::A,pusty,йӓрӓ
634,leer::A,próżny,йӓрӓ
635,offen::A,otwarty,виш
636,geschlossen::A,zamknięty,чӱчмӹ
637,geschlossen::A,zamknięty,тӹкӹлӓлтшӹ
638,sauber::A,czysty,ире
639,schmutzig::A,brudny,шоран
640,schmutzig::A,brudny,лявӹрӓн
641,schmutzig::A,brudny,шорангшы
642,roh::A,surowy,пеле кӱшӹ
643,reif::A,dojrzały,кӱшӹ
644,lecker::A,smaczny,тотан
645,süß::A,słodki,мӱӓн
646,bitter::A,gorzki,качы
647,sauer::A,kwaśny,шапы
648,hell::A,jasny,соты
