,Concept_ID,la,av
549,Nacht::N,nox,сордо
550,Woche::N,septimana,анкь
551,Monat::N,mensis,моцӏ
552,Jahr::N,annus,сон
553,Jahr::N,annus,лъагӏел
554,Frühling::N,ver,их
555,Sommer::N,aestas,рии
556,Herbst::N,autumnus,хасалихълъи
557,Winter::N,hiems,кьин
558,Januar::N,Ianuarius,январь
559,Februar::N,Februarius,февра́ль
560,März::N,Martius,март
561,April::N,Aprilis,апрель
562,Mai::N,Maius,май
563,Juni::N,Iunius,июнь
564,Juli::N,Iulius,июль
565,August::N,Augustus,август
566,September::N,September,сентябрь
567,Oktober::N,Octobris,октябрь
568,November::N,Novembris,ноябрь
569,Dezember::N,December,декабрь
570,Montag::N,dies lunae,итни
571,Dienstag::N,dies Martis ,талат
572,Mittwoch::N,dies Mercurii,арбагӏ
573,Donnerstag::N,dies Iovis,хамиз
574,Freitag::N,dies Veneris,рузман
575,Samstag::N,dies Saturni,щамат
576,Sonntag::N,dominicus,гьатӏан
577,Sonntag::N,dies solis,гьатӏан
578,groß::A,magnus,кӏудияб
579,klein::A,parvus,гьитӏинаб
580,lang::A,longus,халатаб
581,kurz::A,brevis,къокъаб
582,breit::A,latus,гӏебаб
583,schmal::A,angustus,къваридаб
584,dicht::A,densus,ризаб
585,dick[Gegenstand]::A,crassus,бицатаб
586,dünn::A,tenuis,тӏеренаб
587,fein::A,subtilis,тӏеренаб
588,fest::A,solidus,къвакӏараб
589,fest::A,stabilis,къвакӏараб
590,flach::A,planus,чӏепараб
591,glatt::A,levis,цӏвакараб
592,hart::A,durus,кьварараб
593,weich::A,mollis,тамахаб
594,rund::A,rotundus,гургинаб
595,spitz::A,acutus,бегӏераб
596,scharf::A,acer,рекӏараб
597,stumpf::A,hebes,тӏехӏараб
598,stumpf::A,hebes,рекӏинчӏеб
599,schwer::A,gravis,бакӏаб
600,schön::A,pulcher,берцинаб
601,schön::A,formosus,берцинаб
602,heiß::A,fervidus,лагьараб
603,warm::A,calidus,хинаб
604,kalt::A,frigidus,квачараб
605,kühl::A,frigidus,квачараб
606,frisch::A,recens,цӏияб
607,feucht::A,umidus,рагьараб
608,nass::A,madidus,би́ччараб
609,trocken::A,aridus,бакъвараб
610,voll::A,plenus,
611,leer::A,vacuus,чӏобогояб
612,offen::A,apertus,рагьараб
613,geschlossen::A,clausus,рахараб-къараб
614,sauber::A,lautus,бацӏцӏадаб
615,schmutzig::A,sordidus,гъизараб
616,roh::A,crudus,хамаб
617,roh::A,crudus,гӏатӏгояб
618,reif::A,maturus,барщараб
619,lecker::A,delicatus,тӏагӏамаб
620,süß::A,dulcis,гьуинаб
621,bitter::A,amarus,кьогӏаб
622,bitter::A,acerbus,кьогӏаб
623,sauer::A,acidus,цӏекӏаб
624,hell::A,clarus,канаб
625,dunkel::A,obscurus,бецӏаб
626,schwarz::A,niger,чӏегӏераб
627,weiß::A,albus,хъахӏаб
628,rot::A,ruber,багӏараб
629,gelb::A,flavus,гӏобилаб
630,gelb::A,flavus,тӏогьилаб
631,blau::A,caeruleus,хъахӏилаб
632,grün::A,viridis,гӏурччинаб
633,grau::A,canus,накӏкӏуяб
634,bunt::A,varius,къвекӏаб
