,Concept_ID,de,be
929,einwickeln::V,einwickeln,загарнуць
930,tragen::V,tragen,несці
931,schleppen::V,schleppen,цягнуць
932,ziehen::V,ziehen,цягнуць
933,aufbewahren::V,aufbewahren,захоўваць
934,werfen::V,werfen,кідаць
935,fangen::V,fangen,лавіць
936,packen::V,packen,схапіць
937,packen::V,packen,схваціць
938,verstecken::V,verstecken,схаваць
939,teilen::V,teilen,раздзяліць
940,schicken::V,schicken,пасылаць
941,bringen::V,bringen,прынесці
942,hinzufügen::V,hinzufügen,дабавіць
943,bekommen::V,bekommen,дастаць
944,erhalten::V,erhalten,атрымаць
945,nehmen::V,nehmen,ўзяць
946,wählen::V,wählen,выбраць
947,auswählen::V,auswählen,адабраць
948,bewahren::V,bewahren,захаваць
949,behindern::V,behindern,перашкаджаць
950,verderben::V,verderben,сапсаваць
951,beschädigen::V,beschädigen,пашкодзіць
952,zerbrechen::V,zerbrechen,разбіць
953,zerreißen::V,zerreißen,разадраць
954,zerstören::V,zerstören,разбурыць
955,verbrennen::V,verbrennen,спаліць
956,geben::V,geben,даць
957,reichen::V,reichen,перадаць
958,schenken::V,schenken,дарыць
959,versprechen::V,versprechen,абяцаць
960,wünschen::V,wünschen,жадаць
961,loben::V,loben,хваліць
962,küssen::V,küssen,цалаваць
963,wiegen::V,wiegen,гушкаць
964,wiegen::V,wiegen,калыхаць
965,zudecken::V,zudecken,накрыць
966,wecken::V,wecken,пабудзіць
967,zeigen::V,zeigen,паказаць
968,führen::V,führen,весці
969,lehren::V,lehren,вучыць
970,unterrichten::V,unterrichten,выкладаць
971,aufziehen::V,aufziehen,выхаваць
972,leiten::V,leiten,кіраваць
973,antreiben::V,antreiben,падганяць
974,lassen::V,lassen,прымусіць
975,einladen::V,einladen,запрасіць
976,vereinigen::V,vereinigen,абʼяднаць
977,besuchen::V,besuchen,наведаць
978,treffen::V,treffen,сустрэць
979,sich versammeln::V,sich versammeln,сабрацца
980,spielen::V,spielen,гуляць
981,singen::V,singen,пець
982,singen::V,singen,спяваць
983,tanzen::V,tanzen,танцаваць
984,sich trennen::V,sich trennen,расстацца
985,verlassen::V,verlassen,пакінуць
986,retten::V,retten,выратаваць
987,bewachen::V,bewachen,ахоўваць
988,schützen::V,schützen,уберагаць
989,verteidigen::V,verteidigen,абараніць
990,sich schlagen::V,sich schlagen,біцца
991,sich schlagen::V,sich schlagen,драцца
992,schießen::V,schießen,страляць
993,siegen::V,siegen,перамагчы
994,ärgern::V,ärgern,злаваць
995,schlagen::V,schlagen,ударыць
996,treten::V,treten,штурхаць
997,stechen::V,stechen,укалоць
998,stoßen::V,stoßen,папхнуць
999,stehlen::V,stehlen,украсці
1000,stören::V,stören,перашкодзіць
1001,belästigen::V,belästigen,дакучаць
1002,verbergen::V,verbergen,скрыць
1003,verbergen::V,verbergen,схаваць
1004,täuschen::V,täuschen,падмануць
1005,betrügen::V,betrügen,змахляваць
1006,töten::V,töten,забіць
1007,wohnen::V,wohnen,жыць
1008,arbeiten::V,arbeiten,працаваць
1009,sammeln::V,sammeln,сабраць
1010,pflücken::V,pflücken,зрываць
1011,jagen::V,jagen,паляваць
1012,fischen::V,fischen,рыбачыць
1013,fassen::V,fassen,злавіць
1014,hüten::V,hüten,пасвіць
1015,treiben::V,treiben,гнаць
1016,anbinden::V,anbinden,прывязаць
1017,füttern::V,füttern,карміць
1018,melken::V,melken,даіць
1019,hacken::V,hacken,сячы
1020,gießen::V,gießen,паліць
1021,reifen::V,reifen,паспець
1022,zubereiten::V,zubereiten,зварыць
1023,zubereiten::V,zubereiten,згатаваць
1024,kochen::V,kochen,варыць
1025,backen::V,backen,пячы
1026,braten::V,braten,смажыць
1027,umrühren::V,umrühren,перамяшаць
1028,stricken::V,stricken,вязаць
1029,nähen::V,nähen,шыць
1030,färben::V,färben,пафарбаваць
1031,reinigen::V,reinigen,ачысціць
1032,waschen::V,waschen,мыць
1033,abwischen::V,abwischen,выцерці
1034,spülen::V,spülen,паласкаць
1035,fegen::V,fegen,падмятаць
1036,kehren::V,kehren,месці
1037,baden::V,baden,купацца
1038,sich waschen::V,sich waschen,мыцца
1039,ausziehen::V,ausziehen,зняць
1040,anziehen::V,anziehen,надзець
1041,sich anziehen::V,sich anziehen,адзецца
1042,kämmen::V,kämmen,прычасаць
1043,schmücken::V,schmücken,аздобіць
1044,sagen::V,sagen,сказаць
1045,sprechen::V,sprechen,гаварыць
1046,reden::V,reden,размаўляць
1047,sich unterhalten::V,sich unterhalten,гутарыць
1048,fragen::V,fragen,спытаць
1049,bitten::V,bitten,прасіць
1050,erzählen::V,erzählen,расказаць
1051,mitteilen::V,mitteilen,паведаміць
1052,nennen::V,nennen,назваць
1053,rufen::V,rufen,зваць
1054,prahlen::V,prahlen,хваліцца
1055,übersetzen::V,übersetzen,перакласці
1056,denken::V,denken,думаць
1057,glauben::V,glauben,верыць
1058,bemerken::V,bemerken,заўважыць
1059,erkennen::V,erkennen,пазнаць
1060,begreifen::V,begreifen,спасцігнуць
1061,verstehen::V,verstehen,пачуць
1062,lernen::V,lernen,вучыцца
1063,wissen::V,wissen,знаць
1064,sich erinnern an::V,sich erinnern an,памятаць
1065,vergessen::V,vergessen,забыць
1066,messen::V,messen,мераць
1067,zählen::V,zählen,лічыць
1068,rechnen::V,rechnen,лічыць
1069,lesen::V,lesen,чытаць
1070,malen::V,malen,маляваць
1071,zeichnen::V,zeichnen,рысаваць
1072,schreiben::V,schreiben,пісаць
1073,besitzen::V,besitzen,мець
1074,kaufen::V,kaufen,купіць
1075,verkaufen::V,verkaufen,прадаць
1076,bezahlen::V,bezahlen,заплаціць
1077,zahlen::V,zahlen,плаціць
1078,beherrschen::V,beherrschen,уладаць
1079,beherrschen::V,beherrschen,валодаць
1080,ertragen::V,ertragen,выцерпець
