,Concept_ID,kn,cv
978,fühlen::V,ಸ್ಪರ್ಯಿಸಿತಿಳಿ,сис
979,scheinen::V,ತೋರು,туйӑн
980,zu sehen sein::V,ಕಾಣಿಸು,курӑн
981,vernehmen::V,ಕೇಳು,пӑл
982,frieren::V,ಚಳಿಯಿಂದ ಸೆಡೆದುಕೊ,йӳтен
983,tun::V,ಮಾಡು,ту
984,können::V,ಮಾಡಬಲ್ಲ,пултар
985,wollen::V,ಬಯಸು,те
986,anfangen::V,ಪ್ರಾರಂಭಿಸು,пуҫла
987,beenden::V,ನಿಲ್ಲಿಸು,пӗтер
988,aufhören::V,ಮುಗಿಸು,пӑрах
989,gelingen::V,ಯಶಸ್ವಿಯಾಗು,ӑн
990,geraten::V,ಉತ್ಪತ್ತಿಮಾಡು,пул
991,öffnen::V,ತೆರೆ,уҫ
992,schließen::V,ಮುಚ್ಚು,хуп
993,stellen::V,ಇಕ್ಕು,ларт
994,stellen::V,ಇಕ್ಕು,тӑрат
995,setzen::V,ಇಡು,ларт
996,legen::V,ಇಡು,хур
997,berühren::V,ತಾಕು,перӗн
998,verbinden::V,ಕೂಡಿಸು,сып
999,bedecken::V,ಮುಚ್ಚು,вит
1000,aufhängen::V,ತೂಗುಹಾಕು,ҫак
1001,anzünden::V,ಹತ್ತಿಸು,ҫут
1002,aufheben::V,ಆಯಿ,ҫӗкле
1003,zurücklassen::V,ಬಿಡು,манса хӑвар
1004,verlieren::V,ಕಳೆ,ҫӗтер
1005,fallen lassen::V,ಬೀಳಿಸು,ӳкер
1006,machen::V,ಮಾಡು,ту
1007,herstellen::V,ತಯಾರಿಸು,ӑстала
1008,bauen::V,ಕಟ್ಟು,ту
1009,reparieren::V,ಸರಿಪಡಿಸು,юса
1010,verbessern::V,ತಿದ್ದು,лайӑхлат
1011,ändern::V,ಬದಲಾಯಿಸು,улӑштар
1012,graben::V,ಅಗೆ,чав
1013,graben::V,ಅಗೆ,чакала
1014,beugen::V,ಬಗ್ಗಿಸು,кукӑрт
1015,biegen::V,ಬಗ್ಗಿಸು,ав
1016,biegen::V,ಬಗ್ಗಿಸು,кукӑрт
1017,drehen::V,ತಿರುಗು,ҫавӑр
1018,wenden::V,ತಿರುಗು,ӳпӗнтер
1019,umdrehen::V,ತಿರುಗಿಸು,ҫавӑр
1020,heben::V,ಎತ್ತು,хӑпарт
1021,hochheben::V,ಎತ್ತು,йӑт
1022,ergreifen::V,ಆಕ್ರಮಿಸು,тыт
1023,halten::V,ಹಿಡಿ,тыт
1024,drücken::V,ಒತ್ತು,пус
1025,schieben::V,ನೂಕು,тӗк
1026,schieben::V,ನೂಕು,тӗрт
1027,kratzen::V,ತರಚಿಕೊಳ್ಳು,хыр
1028,lecken::V,ನೆಕ್ಕು,ҫула
1029,beißen::V,ಕಚ್ಚು,ҫырт
1030,beißen::V,ಕಚ್ಚು,хып
1031,abreißen::V,ಹರಿ,тат
1032,abschneiden::V,ಕತ್ತರಿಸು,кас
1033,binden::V,ಕಟ್ಟು,ҫых
1034,stecken::V,ಸಿಕ್ಕಿಸು,чик
1035,brechen::V,ಮುರಿ,хуҫ
1036,klopfen::V,ತಟ್ಟು,такка
1037,hauen::V,ಹೊಡೆ,шакка
1038,kleben::V,ಅಂಟಿಸು,ҫыпӑҫтар
1039,reiben::V,ಉಜ್ಜು,сӑтӑр
1040,streichen::V,ಹರಡು,сӗр
1041,schleifen::V,ಮಸೆ,хӑйра
1042,schneiden::V,ಕತ್ತರಿಸು,кас
1043,rütteln::V,ಕುಲುಕಿಸು,лӑка
1044,rütteln::V,ಕುಲುಕಿಸು,силлентер
1045,schütteln::V,ಅಲುಗಿಸು,лӑка
1046,schütteln::V,ಅಲುಗಿಸು,силлентер
1047,schwenken::V,ತೂಗಾಡು,сулла
1048,schütten::V,ಎರೆ,тултар
1049,füllen::V,ತುಂಬಿಸು,тултар
1050,einwickeln::V,ಹೊದಿಸು,чӗрке
1051,tragen::V,ಹೊರು,ҫӗкле
1052,schleppen::V,ಜಗ್ಗು,сӗтӗр
1053,ziehen::V,ಎಳೆ,тӑс
1054,aufbewahren::V,ಇಟ್ಟುಕೊ,усра
1055,werfen::V,ಎಸೆ,пӑрах
1056,fangen::V,ಹಿಡಿ,тыт
1057,packen::V,ಸೆಳೆ,тыт
1058,verstecken::V,ಮುಚ್ಚಿಡು,пытарса хур
1059,teilen::V,ವಿಭಜಿಸು,уйӑр
1060,teilen::V,ವಿಭಜಿಸು,пайла
1061,schicken::V,ಕಳುಹಿಸು,яр
1062,bringen::V,ತರು,кӳр
1063,hinzufügen::V,ಕೂಡಿಸು,хуш
1064,bekommen::V,ಸಂಪಾದಿಸು,ил
1065,bekommen::V,ಸಂಪಾದಿಸು,туян
1066,erhalten::V,ಪಡೆ,ил
1067,erhalten::V,ಪಡೆ,туян
1068,nehmen::V,ಹಿಡಿ,ил
1069,wählen::V,ಆರಿಸು,суйла
1070,auswählen::V,ಆಯಿ,суйла
1071,bewahren::V,ರಕ್ಷಿಸಿಡು,упра
1072,behindern::V,ಅಡ್ಡಿಮಾಡು,кансӗрле
1073,behindern::V,ಅಡ್ಡಿಮಾಡು,чӑрмантар
1074,verderben::V,ಕೆಡಿಸು,пӑс
1075,beschädigen::V,ಹಾಳುಮಾಡು,пӑс
1076,zerbrechen::V,ಮುರಿ,ват
1077,zerbrechen::V,ಮುರಿ,ҫӗмӗр
1078,zerreißen::V,ಸೀಳು,ҫур
1079,zerstören::V,ಅಳಿಸು,иш
1080,verbrennen::V,ಸುಡು,ҫунтар
1081,geben::V,ಕೊಡು,пар
1082,reichen::V,ಕೊಡು,пар
1083,schenken::V,ಅರ್ಪಿಸು,парнеле
1084,versprechen::V,ವಾಗ್ದಾನಮಾಡು,тума пул
1085,versprechen::V,ವಾಗ್ದಾನಮಾಡು,сӑмах пар
1086,wünschen::V,ಬಯಸು,сун
1087,loben::V,ಹೊಗಳು,ырла
1088,küssen::V,ಚುಂಬಿಸು,чуп ту
1089,wiegen::V,ತೂಗು,сиктер
1090,wiegen::V,ತೂಗು,силле
1091,zudecken::V,ಹಾಸು,вит
1092,wecken::V,ಎಬ್ಬಿಸು,вӑрат
1093,zeigen::V,ತೋರಿಸು,кӑтарт
1094,führen::V,ದಾರಿತೋರಿಸು,илсе пыр
1095,führen::V,ದಾರಿತೋರಿಸು,ҫавӑтса пыр
1096,lehren::V,ಕಲಿಸು,вёрент
1097,unterrichten::V,ಬೋಧಿಸು,вёрент
1098,aufziehen::V,ಸಲಹು,вӗрент
1099,leiten::V,ಮುಂದಾಳಾಗಿರು ,тытса пыр
1100,antreiben::V,ಓಡಿಸು,васкат
1101,lassen::V,ಮಾಡಲುಬಿಡು,пусахла
1102,lassen::V,ಮಾಡಲುಬಿಡು,хуш
1103,einladen::V,ಆಹ್ವಾನಿಸು,чӗн
1104,vereinigen::V,ಒಂದಾಗು,пӗрлештер
