,Concept_ID,eu,fr
698,Schuld::N,erru,culpabilité
699,Alter::N,adin,âge
700,Schluss::N,bukaera,fin
701,Zeit::N,aldi,temps
702,Zeit::N,denbora,temps
703,Tag::N,egun,jour
704,Tag::N,egun,journée
705,Morgen::N,goiz,matin
706,Morgen::N,goiz,matinée
707,Mittag::N,eguerdi,midi
708,Abend::N,arrats,soir
709,Abend::N,arrats,soirée
710,Nacht::N,gau,nuit
711,Woche::N,aste,semaine
712,Monat::N,hil,mois
713,Jahr::N,urte,an
714,Jahr::N,urte,année
715,Frühling::N,udalehen,printemps
716,Sommer::N,uda,été
717,Herbst::N,udazken,automne
718,Herbst::N,neguantz,automne
719,Winter::N,negu,hiver
720,Januar::N,urtarril,janvier
721,Februar::N,otsail,février
722,März::N,martxo,mars
723,April::N,apiril,avril
724,Mai::N,maiatz,mai
725,Juni::N,ekain,juin
726,Juli::N,uztail,juillet
727,August::N,abuztu,août
728,September::N,irail,septembre
729,Oktober::N,urri,octobre
730,November::N,azaro,novembre
731,Dezember::N,abendu,décembre
732,Montag::N,astelehen,lundi
733,Dienstag::N,astearte,mardi
734,Mittwoch::N,asteazken,mercredi
735,Donnerstag::N,ostegun,jeudi
736,Freitag::N,ostiral,vendredi
737,Samstag::N,larunbat,samedi
738,Sonntag::N,igande,dimanche
739,groß::A,handi,grand
740,klein::A,txiki,petit
741,lang::A,luze,long
742,kurz::A,labur,court
743,breit::A,zabal,large
744,schmal::A,mehar,étroit
745,dicht::A,sarri,dense
746,dicht::A,trinko,dense
747,dick[Gegenstand]::A,lodi,épais
748,dünn::A,mehe,mince
749,fein::A,fin,fin
750,fein::A,fin,menu
751,fest::A,tinko,ferme
752,fest::A,tinko,solide
753,flach::A,lau,plat
754,flach::A,ordoki,plat
755,glatt::A,leun,poli
756,glatt::A,leun,lisse
757,hart::A,gogor,dur
758,weich::A,bigun,mou
759,weich::A,beratz,mou
760,rund::A,biribil,rond
761,spitz::A,puntadun,aigu
762,spitz::A,puntadun,pointu
763,scharf::A,zorrotz,tranchant
764,stumpf::A,kamuts,mousse
765,stumpf::A,kamuts,émoussé
766,schwer::A,astun,lourd
767,schwer::A,astun,pesant
768,schwer::A,pisutsu,lourd
769,schwer::A,pisutsu,pesant
770,schön::A,eder,beau
771,heiß::A,bero,chaud
772,heiß::A,bero,très chaud
773,heiß::A,oso bero,chaud
774,heiß::A,oso bero,très chaud
775,warm::A,bero,chaud
776,kalt::A,hotz,froid
777,kühl::A,hotzil,frais
778,frisch::A,fresko,frais
779,frisch::A,hozkirri,frais
780,feucht::A,heze,humide
781,nass::A,busti,mouillé
782,trocken::A,siku,sec
783,trocken::A,lehor,sec
784,voll::A,bete,plein
785,voll::A,bete,rempli
786,leer::A,huts,vide
787,offen::A,ireki,ouvert
788,geschlossen::A,itxita,clos
789,geschlossen::A,itxita,fermé
790,sauber::A,xahu,net
791,sauber::A,xahu,propre
792,sauber::A,garbi,net
793,sauber::A,garbi,propre
794,schmutzig::A,lohi,sale
795,schmutzig::A,lohi,crasseux
796,schmutzig::A,zikin,sale
797,schmutzig::A,zikin,crasseux
798,roh::A,gordin,cru
799,roh::A,gordin,brut
800,reif::A,umo,mûr
801,reif::A,heldu,mûr
802,lecker::A,goxo,délicieux
803,lecker::A,goxo,appétissant
804,süß::A,goxo,doux
805,bitter::A,karmin,amer
806,bitter::A,garratz,amer
807,sauer::A,mingots,aigre
808,hell::A,argi,clair
809,dunkel::A,ilun,sombre
810,schwarz::A,beltz,noir
811,weiß::A,zuri,blanc
812,rot::A,gorri,rouge
813,gelb::A,hori,jaune
814,blau::A,urdin,bleu
815,grün::A,berde,vert
816,grün::A,musker,vert
817,grau::A,urdin,gris
818,grau::A,urdinabar,gris
819,bunt::A,koloretsu,multicolore
820,billig::A,merke,bon marché
821,teuer::A,garesti,cher
822,wertvoll::A,baliotsu,précieux
823,blind::A,itsu,aveugle
