,Concept_ID,ro,ku
482,Tee::N,ceai,çay
483,Leder::N,piele,çerm
484,Wolle::N,lână,herî
485,Stoff::N,stofă,paç
486,Nadel::N,ac,derzî
487,Faden::N,ață,ta
488,Knopf::N,buton,bişkok
489,Knoten::N,nod,girêk
490,Farbe::N,vopsea,boyax
491,Kleidung::N,haine,çil
492,Kleidung::N,îmbrăcăminte,çil
493,Hemd::N,cămașă,qutik
494,Hemd::N,cămașă,miltan
495,Kragen::N,guler,stûvang
496,Ärmel::N,mânecă,hûçik
497,Hose::N,pantaloni,şewel
498,Gürtel::N,cordon,qayiş
499,Mütze::N,șapcă,fîno
500,Schuh::N,gheată,şêkal
501,Stiefel::N,cizmă,gizme
502,Stiefel::N,cizmă,çizme
503,Ring::N,inel,xelek
504,Ring::N,verigă,xelek
505,Band::N,panglică,band
506,Band::N,șiret,band
507,Kamm::N,pieptene,şeh
508,Spiegel::N,oglindă,eynik
509,Riemen::N,curea,qayiş
510,Schnur::N,funie,doxin
511,Schnur::N,sfoară,doxin
512,Leine::N,lesă,şirît
513,Leine::N,curea,şirît
514,Decke::N,pătură,bataniye
515,Kissen::N,pernă,balgî
516,Tuch::N,batic,şar
517,Handtuch::N,prosop,dezmal
518,Handtuch::N,ștergar,dezmal
519,Kraft::N,forță,hêz
520,Kraft::N,forță,qewet
521,Kraft::N,putere,hêz
522,Kraft::N,putere,qewet
523,Stärke::N,tărie,xurtî
524,Stärke::N,vigoare,xurtî
525,Gesundheit::N,sănătate,nojdarî
526,Krankheit::N,boală,nexweşî
527,Krankheit::N,maladie,nexweşî
528,Schmerz::N,durere,êş
529,Wunde::N,rană,kul
530,Fieber::N,febră,ta
531,Arznei::N,leac,derman
532,Arznei::N,medicament,derman
533,Brücke::N,pod,kopî
534,Brücke::N,punte,kopî
535,Brunnen::N,puț,çal
536,Brunnen::N,puț,kani
537,Weide::N,izlaz,beyar
538,Weide::N,pășune,beyar
539,Pfad::N,cărare,xaçirek
540,Weg::N,drum,rê
541,Straße::N,cale,rê
542,Straße::N,stradă,rê
543,Dorf::N,sat,gund
544,Stadt::N,oraș,baçar
