,Concept_ID,xal,ce
517,Herbst::N,намр,гуьйре
518,Winter::N,үвл,ӏа
519,Januar::N,январь,январь
520,Februar::N,февраль,февраль
521,März::N,март,март
522,März::N,моһа сар,март
523,April::N,апрель,апрель
524,Mai::N,май,май
525,Juni::N,июнь,июнь
526,Juni::N,мөчн сар,июнь
527,Juli::N,июль,июль
528,August::N,август,август
529,September::N,һаха сар,сентябрь
530,Oktober::N,октябрь,октябрь
531,November::N,ноябрь,ноябрь
532,November::N,үкр сар,ноябрь
533,Dezember::N,бар сар,декабрь
534,Montag::N,понедельник,оршот
535,Dienstag::N,вторник,шинара
536,Mittwoch::N,среда,кхаара
537,Mittwoch::N,үлмҗ өдр,кхаара
538,Donnerstag::N,четверг,еара
539,Donnerstag::N,пүрвә өдр,еара
540,Freitag::N,пятниц,пӏераска
541,Samstag::N,суббот,шот
542,Sonntag::N,нарн өдр,кӏиранде
543,Sonntag::N,воскресень,кӏиранде
544,groß::A,ик,доккха
545,klein::A,бичкн,кегий
546,lang::A,ут,еха
547,kurz::A,оһтр,доца
548,breit::A,өргн,шуьйра
549,schmal::A,уутьхн,готта
550,dicht::A,нигт,луьста
551,dick[Gegenstand]::A,зузан,стомма
552,dünn::A,нимгн,дуткъа
553,fein::A,нәрхн,ховха
554,fest::A,бат,чӏогӏа
555,flach::A,хавтха,чӏапа
556,glatt::A,тегш,шера
557,glatt::A,тиньгр,шера
558,hart::A,хату,чӏогӏa
559,weich::A,җөөлн,кӏеда
560,weich::A,җөөлкн,кӏеда
561,rund::A,төгрг,горга
562,spitz::A,шовһр,ира
563,scharf::A,хурц,ира
564,stumpf::A,мука,аьртa
565,schwer::A,күнд,деза
566,schön::A,сәәхн,хаза
567,heiß::A,халун,довха
568,warm::A,дулан,довха
569,kalt::A,киитн,шийла
570,kühl::A,серүн,шийла
571,frisch::A,серүн,керла
572,feucht::A,чиигтә,тӏуьна
573,nass::A,чиигтә,тӏеда
574,trocken::A,хагсу,eкъа
575,voll::A,дүүрң,дуьзна
576,leer::A,сул,яьсса
577,leer::A,хоосн,яьсса
578,offen::A,секәтә,диллина
579,geschlossen::A,хаалһата,дӏакъевлина
580,geschlossen::A,хаалһата,дӏачӏагӏдина
581,sauber::A,цевр,цӏена
582,schmutzig::A,киртә,боьха
583,roh::A,түүкә,буьйда
584,reif::A,болсн,хилла
585,lecker::A,әмтәхн,чоме
586,süß::A,әмтәхн,мерза
587,bitter::A,һашун,къаьхьа
588,bitter::A,һашута,къаьхьа
589,sauer::A,ишклң,муьста
590,hell::A,герлтә,сирла
591,dunkel::A,харңһу,бодане
592,schwarz::A,хар,ӏаьржа
593,weiß::A,цаһан,кӏайн
594,rot::A,улан,цӏен
595,gelb::A,шар,можа
596,blau::A,көк,сийна
597,grün::A,көк,баьццара
598,grau::A,бор,cира
599,grau::A,бор,мокха
600,bunt::A,алг,къорза
601,bunt::A,эрәтә,къорза
602,billig::A,кимд,дораха
603,teuer::A,үнтә,деза
604,wertvoll::A,үнтә,мехала
605,wertvoll::A,эрднь,мехала
606,blind::A,сохр,бӏаьрзе
607,taub::A,дүлә,къора
608,kräftig::A,күчтә,нуьцкъала
609,stark::A,чаңһ,зоьртала
610,stark::A,чаңһ,нуьцкъала
611,schwach::A,күчн тату,гӏорасиза
612,fett::A,тарһн,дерстана
613,schlank::A,эццн,куц долу
614,hübsch::A,көркхн,хаза
615,böse::A,уурта,вон
616,dumm::A,тенг,сонта
617,faul::A,залху,мало ен
618,fleißig::A,кинән,тӏера
619,fleißig::A,кинмһә,тӏера
620,geizig::A,ховдг,пис
621,geizig::A,ховдг,сутара
622,klug::A,ухата,хьекъале
623,geschickt::A,чадмг,тӏахъаьлла
624,lieb::A,эңкр,хьоме
625,lustig::A,сергмҗтә,самукъане
626,lustig::A,җирһлтә,самукъане
627,sanft::A,номһн,кlеда
628,hungrig::A,өлн,меца
629,hungrig::A,харһнсн,меца
630,krank::A,өвчтә,цомгуш долу
631,krank::A,шалтгта,цомгуш долу
632,nackt::A,нүцкн,дерзана
633,traurig::A,һундлта,самукъане воцу
634,lebendig::A,әмд,дийна
635,gut::A,сән,дика
636,schlecht::A,му,вон
637,richtig::A,зөвтә,нийса
638,schlimm::A,җигшүртә,вон
639,wahr::A,үнн,бакъдолу
