,Concept_ID,is,ro
398,Winkel::N,krókur,colț
399,Muster::N,munstur,desen
400,Größe::N,stærð,mărime
401,Länge::N,lengd,lungime
402,Höhe::N,hæð,înălțime
403,Gewicht::N,vigt,greutate
404,Gewicht::N,þyngd,greutate
405,Menge::N,magn,cantitate
406,Haufen::N,hrúga,grămadă
407,Haufen::N,haugur,grămadă
408,Reihe::N,röð,șir
409,Reihe::N,röð,rând
410,Boot::N,bátur,barcă
411,Boot::N,bátur,luntre
412,Ruder::N,ár,vâslă
413,Ruder::N,ár,lopată
414,Schlitten::N,sleði,sanie
415,Ski::N,skíði,schi
416,Lagerfeuer::N,varðeldur,foc de tabără
417,Last::N,byrði,povară
418,Last::N,byrði,sarcină
419,Last::N,farmur,povară
420,Last::N,farmur,sarcină
421,Gang::N,ganga,mers
422,Gang::N,ganga,umblet
423,Schritt::N,skref,pas
424,Norden::N,norður,nord
425,Norden::N,norður,miazănoapte
426,Süden::N,suður,sud
427,Süden::N,suður,miazăzi
428,Westen::N,vestur,apus
429,Osten::N,austur,est
430,Osten::N,austur,răsărit
431,Holz::N,viður,lemn
432,Brett::N,fjöl,scândură
433,Platte::N,flötur,placă
434,Stütze::N,stoð,proptea
435,Stange::N,stöng,bară
436,Stange::N,stöng,prăjină
437,Stock::N,prik,băț
438,Stock::N,prik,baston
439,Stock::N,stafur,băț
440,Stock::N,stafur,baston
441,Stab::N,prik,baston
442,Stab::N,prik,prăjină
443,Stab::N,stafur,baston
444,Stab::N,stafur,prăjină
445,Rohr::N,rör,tub
446,Rohr::N,rör,țeavă
447,Rohr::N,pípa,tub
448,Rohr::N,pípa,țeavă
449,Haus::N,hús,casă
450,Heim::N,heimili,casă
451,Heim::N,heimili,cămin
452,Ofen::N,ofn,sobă
453,Fußboden::N,gólf,podea
454,Fußboden::N,gólf,dușumea
455,Tisch::N,borð,masă
456,Stuhl::N,stóll,scaun
457,Wiege::N,vagga,leagăn
458,Bett::N,rúm,pat
459,Bett::N,hvíla,pat
460,Regal::N,hilla,rafturi
461,Kiste::N,kassi,ladă
462,Kiste::N,kassi,cutie
463,Fenster::N,gluggi,fereastră
464,Tür::N,dyr,ușă
465,Tür::N,hurð,ușă
466,Tor::N,hlið,poartă
467,Zaun::N,girðing,gard
468,Zaun::N,limgarður,gard
469,Dach::N,þak,acoperiș
470,Leiter::N,stigi,scară
471,Besen::N,sópur,mătură
472,Spaten::N,spaði,cazma
473,Spaten::N,spaði,hârleț
474,Schaufel::N,skófla,lopată
475,Gabel::N,gaffall,furculiță
476,Löffel::N,skeið,lingură
477,Messer::N,hnífur,cuțit
478,Nagel::N,nögl,cui
479,Netz::N,net,plasă
480,Haken::N,krókur,cârlig
481,Griff::N,tak,mâner
482,Schloss::N,lás,lacăt
483,Bild::N,mynd,tablou
484,Bild::N,mynd,imagine
485,Figur::N,stytta,chip
486,Figur::N,stytta,figură
487,Puppe::N,brúða,păpușă
488,Beutel::N,poki,pungă
489,Beutel::N,poki,săculeț
490,Beutel::N,baggi,pungă
491,Beutel::N,baggi,săculeț
492,Bündel::N,böggull,mănunchi
493,Tasche::N,veski,geantă
494,Eimer::N,fata,găleată
495,Deckel::N,lok,capac
496,Geschirr::N,leirtau,vase
497,Geschirr::N,leirtau,tacâmuri
498,Sack::N,sekkur,sac
499,Tasse::N,bolli,ceașcă
500,Topf::N,pottur,oală
501,Kessel::N,ketill,cazan
502,Kessel::N,ketill,căldare
503,Essen::N,matur,mâncare
504,Nahrung::N,fæða,hrană
505,Nahrung::N,fæða,aliment
506,Speise::N,réttur,bucate
507,Speise::N,réttur,fel de bucate
508,Speise::N,matarréttur,bucate
509,Speise::N,matarréttur,fel de bucate
510,Fleisch::N,kjöt,carne
511,Getreide::N,korn,cereale
512,Brei::N,grautur,pireu
513,Brot::N,brauð,pâine
514,Scheibe::N,sneið,felie
515,Scheibe::N,sneið,bucată
516,Fett::N,fita,untură
517,Fett::N,fita,grăsime
518,Butter::N,smjör,unt
519,Öl::N,olía,ulei
520,Salz::N,salt,sare
521,Suppe::N,súpa,supă
522,Suppe::N,súpa,ciorbă
523,Honig::N,hunang,miere
524,Milch::N,mjólk,lapte
525,Tee::N,te,ceai
526,Leder::N,skinn,piele
527,Wolle::N,ull,lână
528,Stoff::N,dúkur,stofă
529,Nadel::N,nál,ac
530,Faden::N,þráður,ață
531,Knopf::N,tala,buton
532,Knopf::N,hnappur,buton
533,Knoten::N,hnútur,nod
534,Farbe::N,málning,vopsea
535,Kleidung::N,búningur,haine
536,Kleidung::N,búningur,îmbrăcăminte
537,Kleidung::N,klæðnaður,haine
538,Kleidung::N,klæðnaður,îmbrăcăminte
539,Hemd::N,skyrta,cămașă
540,Kragen::N,kragi,guler
541,Kragen::N,flibbi,guler
542,Ärmel::N,ermi,mânecă
543,Hose::N,buxur,pantaloni
544,Gürtel::N,belti,cordon
545,Mütze::N,húfa,șapcă
546,Schuh::N,skór,gheată
547,Stiefel::N,stígvél,cizmă
548,Ring::N,hringur,inel
549,Ring::N,hringur,verigă
550,Band::N,band,panglică
551,Band::N,band,șiret
552,Kamm::N,greiða,pieptene
553,Spiegel::N,spegill,oglindă
554,Riemen::N,ól,curea
555,Riemen::N,reim,curea
556,Schnur::N,snúra,funie
557,Schnur::N,snúra,sfoară
558,Leine::N,band,lesă
559,Leine::N,band,curea
560,Decke::N,teppi,pătură
561,Kissen::N,koddi,pernă
562,Tuch::N,klútur,batic
563,Handtuch::N,þurrka,prosop
564,Handtuch::N,þurrka,ștergar
565,Handtuch::N,handklæði,prosop
566,Handtuch::N,handklæði,ștergar
567,Kraft::N,afl,forță
568,Kraft::N,afl,putere
569,Kraft::N,kraftur,forță
570,Kraft::N,kraftur,putere
571,Stärke::N,styrkur,tărie
572,Stärke::N,styrkur,vigoare
573,Gesundheit::N,heilsa,sănătate
574,Gesundheit::N,heilbrigði,sănătate
575,Krankheit::N,sjúkdómur,boală
576,Krankheit::N,sjúkdómur,maladie
577,Schmerz::N,sársauki,durere
578,Wunde::N,sár,rană
579,Fieber::N,hitasótt,febră
580,Arznei::N,lyf,leac
581,Arznei::N,lyf,medicament
582,Brücke::N,brú,pod
583,Brücke::N,brú,punte
584,Brunnen::N,brunnur,puț
585,Weide::N,hagi,izlaz
586,Weide::N,hagi,pășune
587,Pfad::N,stígur,cărare
588,Weg::N,vegur,drum
589,Straße::N,gata,cale
590,Straße::N,gata,stradă
591,Straße::N,stræti,cale
592,Straße::N,stræti,stradă
593,Dorf::N,þorp,sat
594,Stadt::N,borg,oraș
595,Brief::N,bréf,scrisoare
596,Buch::N,bók,carte
597,Buchstabe::N,bókstafur,literă
598,Buchstabe::N,bókstafur,caracter
599,Zeitung::N,dagblað,ziar
600,Zeitung::N,dagblað,gazetă
601,Leben::N,líf,viață
602,Tod::N,dauði,moarte
603,Grab::N,gröf,groapă
604,Grab::N,gröf,mormânt
605,Kirche::N,kirkja,biserică
606,Sünde::N,synd,păcat
607,Gott::N,guð,zeu
608,Arbeiter::N,verkamaður,muncitor
609,Chef::N,yfirmaður,șef
610,Meister::N,meistari,meșter
611,Meister::N,meistari,maestru
612,Arzt::N,læknir,medic
613,Arzt::N,læknir,doctor
614,Lehrer::N,kennari,profesor
615,Lehrer::N,kennari,învățător
616,Geld::N,peningar,bani
617,Geld::N,peningar,parale
618,Geschäft::N,viðskipti,treabă
619,Geschäft::N,viðskipti,afacere
620,Laden::N,búð,magazin
621,Laden::N,búð,prăvălie
622,Laden::N,verslun,magazin
623,Laden::N,verslun,prăvălie
624,Preis::N,verð,preț
625,Ware::N,vara,marfă
626,Nutzen::N,gagn,folos
627,Nutzen::N,gagn,profit
628,Reichtum::N,auður,avuție
629,Reichtum::N,auður,bogăție
630,Welt::N,veröld,lume
631,Land::N,land,țară
632,Staat::N,ríki,stat
633,König::N,konungur,rege
634,Macht::N,vald,putere
635,Macht::N,vald,putință
636,Grenze::N,landamæri,hotar
637,Grenze::N,landamæri,graniță
638,Grenze::N,landamæri,frontieră
639,Krieg::N,stríð,război
640,Feind::N,fjandmaður,dușman
641,Gewalt::N,ofbeldi,violență
642,Kampf::N,bardagi,luptă
643,Bogen[Waffe]::N,bogi,arc
644,Pfeil::N,ör,săgeată
645,Gewehr::N,byssa,armă
646,Gewehr::N,byssa,pușcă
647,Fehler::N,villa,eroare
648,Fehler::N,villa,greșeală
649,Lüge::N,lygi,minciună
650,Schaden::N,skemmd,daună
651,Schaden::N,skemmd,pagubă
652,Unglück::N,óhamingja,nenorocire
653,Schuld::N,sök,vină
654,Alter::N,aldur,etate
655,Alter::N,aldur,vârstă
656,Schluss::N,lok,sfârșit
657,Schluss::N,endir,sfârșit
658,Zeit::N,tími,timp
659,Zeit::N,tími,vreme
660,Tag::N,dagur,zi
661,Morgen::N,morgunn,dimineață
662,Mittag::N,hádegi,prânz
663,Mittag::N,hádegi,amiază
664,Abend::N,kvöld,seară
665,Nacht::N,nótt,noapte
666,Woche::N,vika,săptămână
667,Monat::N,mánuður,lună
668,Jahr::N,ár,an
669,Frühling::N,vor,primăvară
670,Sommer::N,sumar,vară
671,Herbst::N,haust,toamnă
672,Winter::N,vetur,iarnă
673,Januar::N,janúar,ianuarie
674,Februar::N,február,februarie
675,März::N,mars,martie
676,April::N,apríl,aprilie
677,Mai::N,maí,mai
678,Juni::N,júní,iunie
679,Juli::N,júlí,iulie
680,August::N,ágúst,august
681,September::N,september,septembrie
682,Oktober::N,október,octombrie
683,November::N,nóvember,noiembrie
684,Dezember::N,desember,decembrie
685,Montag::N,mánudagur,luni
686,Dienstag::N,þriðjudagur,marți
687,Mittwoch::N,miðvikudagur,miercuri
688,Donnerstag::N,fimmtudagur,joi
689,Freitag::N,föstudagur,vineri
690,Samstag::N,laugardagur,sâmbătă
691,Sonntag::N,sunnudagur,duminică
692,groß::A,stór,mare
693,klein::A,lítill,mic
694,lang::A,langur,lung
695,kurz::A,stuttur,scurt
696,breit::A,breiður,lat
697,breit::A,breiður,larg
698,schmal::A,mjór,strâmt
699,dicht::A,þéttur,des
700,dick[Gegenstand]::A,þykkur,gros
701,dünn::A,þunnur,subțire
702,fein::A,fíngerður,fin
703,fein::A,fíngerður,subțire
704,fest::A,fastur,tare
705,fest::A,fastur,solid
706,flach::A,flatur,șes
707,flach::A,flatur,plan
708,glatt::A,háll,lins
709,glatt::A,sléttur,lins
710,hart::A,harður,dur
711,weich::A,mjúkur,moale
712,rund::A,kringlóttur,rotund
713,rund::A,kringlóttur,circular
714,spitz::A,oddhvass,ascuțit
715,scharf::A,beittur,tăios
716,scharf::A,beittur,ascuțit
717,stumpf::A,bitlaus,tocit
718,schwer::A,þungur,greu
719,schön::A,fagur,frumos
720,schön::A,fallegur,frumos
721,heiß::A,heitur,cald
722,heiß::A,heitur,fierbinte
723,warm::A,hlýr,cald
724,warm::A,hlýr,fierbinte
725,warm::A,heitur,cald
726,warm::A,heitur,fierbinte
727,kalt::A,kaldur,rece
728,kühl::A,svalur,rece
