,Concept_ID,lv,ca
397,Eule::N,сюзь,mussol
398,Eule::N,pūce,òliba
399,Eule::N,pūce,mussol
400,Kranich::N,тури,grua
401,Kranich::N,dzērve,grua
402,Krähe::N,рака,cornella
403,Krähe::N,vārna,cornella
404,Kuckuck::N,кӧк,cucut
405,Kuckuck::N,dzeguze,cucut
406,Schwan::N,юсь,cigne
407,Schwan::N,gulbis,cigne
408,Fisch::N,чери,peix
409,Fisch::N,zivs,peix
410,Barsch::N,ёкыш,perca
411,Barsch::N,asaris,perca
412,Hecht::N,сир,lluç
413,Hecht::N,līdaka,lluç
414,Schlange[Tier]::N,кый,serp
415,Schlange[Tier]::N,čūska,serp
416,Wurm::N,номыр,cuc
417,Wurm::N,tārps,cuc
418,Spinne::N,черань,aranya
419,Spinne::N,zirneklis,aranya
420,Ameise::N,кодзувкот,formiga
421,Ameise::N,skudra,formiga
422,Laus::N,той,poll
423,Laus::N,uts,poll
424,Mücke::N,ном,mosquit
425,Mücke::N,ods,mosquit
426,Fliege::N,гут,mosca
427,Fliege::N,muša,mosca
428,Schmetterling::N,бобув,papallona
429,Schmetterling::N,tauriņš,papallona
430,Beere::N,тусь,baia
431,Beere::N,вотӧс,baia
432,Beere::N,oga,baia
433,Apfel::N,яблӧг,poma
434,Apfel::N,ābols,poma
435,Pilz::N,тшак,bolet
436,Pilz::N,sēne,bolet
437,Zwiebel::N,луккок,ceba
438,Zwiebel::N,йӧнгыль,ceba
439,Zwiebel::N,sīpols,ceba
440,Saat::N,тусь,sembra
441,Saat::N,кӧйдыс,sembra
442,Saat::N,sēkla,sembra
443,Korn::N,тусь,gra
444,Korn::N,grauds,gra
445,Heu::N,турун,fenc
446,Heu::N,siens,fenc
447,Schale::N,кор,closca
448,Schale::N,čaula,closca
449,Schale::N,čaumala,closca
450,Grube::N,гу,sot
451,Grube::N,гу,clot
452,Grube::N,bedre,sot
453,Grube::N,bedre,clot
454,Falle::N,лэч,trampa
455,Falle::N,slazds,trampa
456,Falle::N,lamatas,trampa
457,Schlinge::N,лэч,baga
458,Schlinge::N,cilpa,baga
459,Spur::N,туй,traça
460,Spur::N,pēda,traça
461,Asche::N,пӧм,cendra
462,Asche::N,pelni,cendra
463,Dreck::N,няйт,llot
464,Dreck::N,dubļi,llot
465,Eisen::N,кӧрт,ferro
466,Eisen::N,dzelzs,ferro
467,Gold::N,зарни,or
468,Gold::N,zelts,or
469,Silber::N,эзысь,plata
470,Silber::N,sudrabs,plata
471,Kohle::N,шом,carbó
472,Kohle::N,ogle,carbó
473,Glas::N,стеклӧ,vidre
474,Glas::N,stikls,vidre
475,Lehm::N,сёй,fang
476,Lehm::N,сёй,argila
477,Lehm::N,māls,fang
478,Lehm::N,māls,argila
479,Sand::N,лыа,arena
480,Sand::N,smiltis,arena
481,Mensch::N,морт,humà
482,Mensch::N,морт,persona
483,Mensch::N,cilvēks,humà
484,Mensch::N,cilvēks,persona
485,Mann::N,аймӧрт,home
486,Mann::N,мужичӧй,home
487,Mann::N,vīrietis,home
488,Frau::N,ань,dona
489,Frau::N,нывбаба,dona
490,Frau::N,sieviete,dona
491,Kind::N,кага,nen
492,Kind::N,bērns,nen
493,Junge::N,пи,noi
494,Junge::N,zēns,noi
495,Junge::N,puika,noi
496,Junge::N,puisis,noi
497,Mädchen::N,ныв,noia
498,Mädchen::N,meiča,noia
499,Mädchen::N,skuķis,noia
500,Mädchen::N,meitene,noia
501,Familie::N,семья,família
502,Familie::N,ģimene,família
503,Großvater::N,пӧль,avi
504,Großvater::N,vecaistēvs,avi
505,Großmutter::N,баб,àvia
506,Großmutter::N,vecāmāte,àvia
507,Eltern::N,ай-мам,pares
508,Eltern::N,бать-мам,pares
509,Eltern::N,vecāki,pares
510,Vater::N,бать,pare
511,Vater::N,ай,pare
512,Vater::N,tēvs,pare
513,Mutter::N,мам,mare
514,Mutter::N,māte,mare
515,Sohn::N,пи,fill
516,Sohn::N,dēls,fill
517,Tochter::N,ныв,filla
518,Tochter::N,meita,filla
519,Bruder::N,вок,germà
520,Bruder::N,brālis,germà
521,Schwester::N,чой,germana
522,Schwester::N,māsa,germana
523,Onkel::N,дядь,oncle
524,Onkel::N,tēvocis,oncle
525,Tante::N,тьӧт,tia
526,Tante::N,tante,tia
527,Ehemann::N,верӧс,espòs
528,Ehemann::N,vīrs,espòs
529,Ehefrau::N,гӧтыр,muller
530,Ehefrau::N,sieva,muller
531,Freude::N,радлун,goig
532,Freude::N,радлун,alegria
533,Freude::N,prieks,goig
534,Freude::N,prieks,alegria
535,Gelächter::N,серам,riallada
536,Gelächter::N,smiekli,riallada
537,Glück::N,шуд,felicitat
538,Glück::N,laime,felicitat
539,Kummer::N,шог,pena
540,Kummer::N,bēdas,pena
541,Kummer::N,raizes,pena
542,Wunsch::N,кӧсйӧм,desig
543,Wunsch::N,vēlme,desig
544,Wunsch::N,vēlējums,desig
545,Lust::N,кыскӧм,ganes
546,Lust::N,радейтӧм,ganes
547,Lust::N,kāre,ganes
548,Geist::N,лов,ment
549,Geist::N,лов,esperit
550,Geist::N,gars,ment
551,Geist::N,gars,esperit
552,Gedanke::N,мӧвп,pensament
553,Gedanke::N,doma,pensament
554,Gedächtnis::N,паметь,memòria
555,Gedächtnis::N,atmiņa,memòria
556,Verstand::N,вежӧр,raó
557,Verstand::N,вежӧр,seny
558,Verstand::N,prāts,raó
559,Verstand::N,prāts,seny
560,Sinn::N,мог,solta
561,Sinn::N,мог,sentit
562,Sinn::N,вежӧртас,solta
563,Sinn::N,вежӧртас,sentit
564,Sinn::N,nozīme,solta
565,Sinn::N,nozīme,sentit
566,Grund::N,помка,raó
567,Grund::N,помка,causa
568,Grund::N,pamats,raó
569,Grund::N,pamats,causa
570,Grund::N,iemesls,raó
571,Grund::N,iemesls,causa
572,Wahrheit::N,збыль,veritāt
573,Wahrheit::N,збыльтор,veritāt
574,Wahrheit::N,taisnība,veritāt
575,Wahrheit::N,patiesība,veritāt
576,Gespräch::N,сёрни,conversa
577,Gespräch::N,saruna,conversa
578,Märchen::N,мойд,conte
579,Märchen::N,pasaka,conte
580,Erzählung::N,висьт,narració
581,Erzählung::N,stāsts,narració
582,Erzählung::N,nostāsts,narració
583,Nachricht::N,юӧртӧм,missatge
584,Nachricht::N,ziņa,missatge
585,Neuigkeit::N,выльтор,novetat
586,Neuigkeit::N,jaunums,novetat
587,Name::N,ним,nom
588,Name::N,vārds,nom
589,Rätsel::N,нӧдкыв,endevinalla
590,Rätsel::N,mīkla,endevinalla
591,Rede::N,сёрни,discurs
592,Rede::N,runa,discurs
593,Sprache::N,кыв,llēngua
594,Sprache::N,valoda,llēngua
595,Stimme::N,гӧлӧс,veu
596,Stimme::N,вом шы,veu
597,Stimme::N,balss,veu
598,Wort::N,кыв,mot
599,Wort::N,кыв,paraula
600,Wort::N,vārds,mot
601,Wort::N,vārds,paraula
602,Zeichen::N,пас,signe
603,Zeichen::N,пас,senyal
604,Zeichen::N,zīme,signe
605,Zeichen::N,zīme,senyal
606,Ruf::N,чукӧстчӧм,crida
607,Ruf::N,корӧм,crida
608,Ruf::N,sauciens,crida
609,Lärm::N,шы,sorōll
610,Lärm::N,зык,sorōll
611,Lärm::N,зычитӧм,sorōll
612,Lärm::N,troksnis,sorōll
613,Laut::N,шы,so
614,Laut::N,skaņa,so
615,Ton::N,шы,to
616,Ton::N,tonis,to
617,Lied::N,сьылан,cançó
618,Lied::N,сьыланкыв,cançó
619,Lied::N,dziesma,cançó
620,Ruhe::N,чӧв,calma
621,Ruhe::N,чӧв,silenci
622,Ruhe::N,miers,calma
623,Ruhe::N,miers,silenci
624,Leute::N,йӧз,gent
625,Leute::N,войтыр,gent
626,Leute::N,ļaudis,gent
627,Leute::N,cilvēki,gent
