,Concept_ID,hy,bg
484,Kleidung::N,հագուստ,дрехи
485,Kleidung::N,հագուստ,облекло
486,Hemd::N,վերնաշապիկ,риза
487,Kragen::N,օձիք,яка
488,Ärmel::N,թեւք,ръкав
489,Hose::N,շալվար,панталони
490,Gürtel::N,գոտի,пояс
491,Gürtel::N,գոտի,колан
492,Mütze::N,կեպի,каскет
493,Mütze::N,կեպի,фуражка
494,Schuh::N,կոշիկ,обувка
495,Stiefel::N,երկարաճիթ կոշիկ,ботуш
496,Ring::N,զնգալ,пръстен
497,Band::N,ժապավեն,лента
498,Band::N,ժապավեն,връзка
499,Kamm::N,սանր,гребен
500,Spiegel::N,հայելի,огледало
501,Riemen::N,փոկ,каиш
502,Riemen::N,փոկ,ремък
503,Schnur::N,լար,връв
504,Leine::N,փոկ,връв
505,Leine::N,փոկ,въже
506,Decke::N,վերմակ,покривка
507,Kissen::N,բարձ,възглавница
508,Tuch::N,թաշկինակ,сукно
509,Handtuch::N,սրբիչ,пешкир
510,Handtuch::N,սրբիչ,кърпа за лице
511,Kraft::N,ուժ,мощ
512,Kraft::N,ուժ,сила
513,Stärke::N,պնդություն,сила
514,Stärke::N,ամրություն,сила
515,Gesundheit::N,առողջություն,здраве
516,Krankheit::N,ախտ,болест
517,Krankheit::N,հիվանդություն,болест
518,Schmerz::N,ցավ,болка
519,Schmerz::N,տանջանք,болка
520,Wunde::N,վերք,рана
521,Fieber::N,տենդ,треска
522,Fieber::N,տենդ,температура
523,Arznei::N,դեղ,лек
524,Arznei::N,դեղ,лекарство
525,Brücke::N,կամուրջ,мост
526,Brunnen::N,հոր,чешма
527,Brunnen::N,հոր,кладенец
528,Brunnen::N,ջրհոր,чешма
529,Brunnen::N,ջրհոր,кладенец
530,Weide::N,արոտավայր,паша
531,Weide::N,արոտավայր,пасище
532,Pfad::N,արահետ,пътека
533,Weg::N,ուղի,път
534,Straße::N,ճանապարհ,шосе
535,Dorf::N,գյուղ,село
536,Stadt::N,քաղաք,град
537,Brief::N,նամակ,писмо
538,Buch::N,գիրք,книга
539,Buchstabe::N,տառ,буква
540,Buchstabe::N,գիր,буква
541,Zeitung::N,լրագիր,вестник
542,Leben::N,կյանք,живот
543,Tod::N,մահ,смърт
544,Grab::N,գերեզման,гроб
545,Kirche::N,եկեղեցի,църква
546,Sünde::N,մեղք,грях
547,Gott::N,աստված,бог
548,Arbeiter::N,բանվոր,работник
549,Arbeiter::N,աշխատող,работник
550,Chef::N,տեր,шеф
551,Chef::N,տեր,началник
552,Meister::N,վարպետ,майстор
553,Arzt::N,բժիշկ,лекар
554,Lehrer::N,ուսուցիչ,учител
555,Geld::N,փող,пари
556,Geschäft::N,գործ,сделка
557,Geschäft::N,աշխատանք,сделка
558,Laden::N,կրպակ,дюкян
559,Laden::N,կրպակ,магазин
560,Laden::N,խանութ,дюкян
561,Laden::N,խանութ,магазин
562,Preis::N,գին,цена
563,Ware::N,ապրանք,стока
564,Nutzen::N,օգուտ,полза
565,Nutzen::N,օգուտ,облага
566,Reichtum::N,հարստություն,богатство
567,Welt::N,աշխարհ,свят
568,Land::N,երկիր,страна
569,Staat::N,պետություն,щат
570,Staat::N,պետություն,държава
571,König::N,արքա,крал
572,König::N,թագավոր,крал
573,Macht::N,իշխանություն,мощ
574,Macht::N,իշխանություն,власт
575,Grenze::N,սահման,граница
576,Krieg::N,պատերազմ,война
577,Feind::N,թշնամի,враг
578,Feind::N,թշնամի,неприятел
579,Gewalt::N,բռնություն,сила
580,Gewalt::N,բռնություն,насилие
581,Gewalt::N,սաստկություն,сила
582,Gewalt::N,սաստկություն,насилие
583,Kampf::N,մարտ,борба
584,Kampf::N,մարտ,сражение
585,Bogen[Waffe]::N,աղեղ,лък
586,Pfeil::N,նետ,стрела
587,Gewehr::N,հրացան,пушка
588,Fehler::N,սխալ,грешка
589,Lüge::N,սուտ,лъжа
590,Schaden::N,վնաս,повреда
591,Unglück::N,դժբախտություն,нещастие
592,Schuld::N,պակասություն,вина
593,Alter::N,հասակ,възраст
594,Schluss::N,վերջ,край
595,Schluss::N,վախճան,край
596,Zeit::N,ժամանակ,време
597,Tag::N,օր,ден
598,Morgen::N,առավոտ,утро
599,Morgen::N,առավոտ,сутрин
600,Mittag::N,կեսօր,обед
601,Mittag::N,կեսօր,пладне
602,Abend::N,երեկո,вечер
603,Nacht::N,գիշեր,нощ
604,Woche::N,շաբաթ,седмица
605,Monat::N,ամիս,месец
606,Jahr::N,տարի,година
607,Frühling::N,գարուն,пролет
608,Sommer::N,ամառ,лято
