,Concept_ID,kn,he
494,Juni::N,ಮೊಮ್ಮಳೆ,יוני
495,Juli::N,ಇಮ್ಮಳೆ,יולי
496,August::N,ಮುಮ್ಮಳೆ,אוגוסט
497,September::N,ನಾಲ್ಮಳೆ,ספטמבר
498,Oktober::N,ಮೊಚ್ಚಳಿ,אוקטובר
499,November::N,ಇಚ್ಚಳಿ,נובמבר
500,Dezember::N,ಮುಚ್ಚಳಿ,דצמבר
501,Montag::N,ಸೋಮುವಾರ,יום שני
502,Dienstag::N,ಮಂಗಳವಾರ,יום שלישי
503,Mittwoch::N,ಬುಧವಾರ,יום רביעי
504,Donnerstag::N,ಗುರುವಾರ,יום חמישי
505,Freitag::N,ಶುಕ್ರವಾರ,יום ששי
506,Samstag::N,ಶನಿವಾರ,יום שבת
507,Sonntag::N,ಭಾನುವಾರ,יום ראשון
508,groß::A,ದೊಡ್ಡ,גדול
509,klein::A,ಪುಟ್ಟ,קטן
510,lang::A,ದೀರ್ಘ,ארך
511,kurz::A,ಚಕ್ಕ,קצר
512,breit::A,ಅಗಲವಾದ,רחב
513,schmal::A,ಇಕ್ಕಟ್ಟಾದ,צר
514,dicht::A,ದಟ್ಟ,צפוף
515,dick[Gegenstand]::A,ದಟ್ಟ,עבה
516,dünn::A,ತೆಳು,דק
517,fein::A,ಕೋಮಲ,מעדן
518,fest::A,ಘನ,מוצק
519,flach::A,ಚಪ್ಪಟೆ,שטוח
520,glatt::A,ನಯ,חלק
521,hart::A,ಗಟ್ಟಿ,קשיח
522,weich::A,ಮೃದುವಾದ,רך
523,rund::A,ವರ್ತುಳ,עגל
524,spitz::A,ಮೊನಚಾದ,חד
525,scharf::A,ತೀಕ್ಷ್ಣ,חד
526,stumpf::A,ಮೊಂಡು,קהה
527,schwer::A,ಭಾರಿ,כבד
528,schön::A,ಸುಂದರ,יפה
529,heiß::A,ಬಿಸಿ,חם
530,warm::A,ಬಿಸಿ,חם
531,kalt::A,ತಣ್ಣನೆಯ,קר
532,kühl::A,ತಂಪಾದ,צונן
533,frisch::A,ನಿರ್ಮಲ,טרי
534,feucht::A,ಒದ್ದೆಯಾದ,לח
535,nass::A,ಒದ್ದೆಯಾದ,רטוב
536,trocken::A,ಶುಷ್ಕ,יבש
537,voll::A,ತುಂಬಿದ,מלא
538,leer::A,ಖಾಲಿ,ריק
539,offen::A,ಮುಚ್ಚಲ್ಲದ,פתוח
540,geschlossen::A,ಮುಚ್ಚಿದ,סגור
541,sauber::A,ಶುದ್ಧ,נקי
542,schmutzig::A,ಅಶುದ್ಧ,מלכלך
543,roh::A,ಹಸಿ,חי
544,reif::A,ಹಣ್ಣಾದ,בשל
545,lecker::A,ಗುಚಿಕರ,טעים
546,süß::A,ಸಿಹಿ,מתוק
547,bitter::A,ಕಹಿ,מר
548,sauer::A,ಹುಳಿಯಾದ,חמוץ
549,hell::A,ಹೊಳೆಯುವ,בהיר
550,dunkel::A,ಮಬ್ಬಾದ,עמום
551,schwarz::A,ಕಪ್ಪು,שחר
552,weiß::A,ಬಿಳಿಯ,לבן
553,rot::A,ಕೆಂಪು,אדם
554,gelb::A,ಹಳದಯ,צהב
555,blau::A,ನೀಲ,כחל
556,grün::A,ಕಾಯಾದ,ירק
557,grau::A,ಬೂದುಬಣ್ಣದ,אפר
558,bunt::A,ವರ್ಣರಂಜಿತ,צבעוני
559,billig::A,ಅಗ್ಗ,זול
560,teuer::A,ದುಬಾರಿಯಾದ,יקר
561,wertvoll::A,ಅಮೂಲ್ಯ,יקר ערך
