,Concept_ID,kv,is
233,Eltern::N,ай-мам,foreldrar
234,Vater::N,ай,faðir
235,Mutter::N,мам,móðir
236,Sohn::N,зон,sonur
237,Tochter::N,ныв,dóttir
238,Bruder::N,вон,bróðir
239,Schwester::N,сой,systir
240,Onkel::N,дядь,föðurbróðir
241,Tante::N,айӧлӧн сой,frænka
242,Tante::N,айӧлӧн сой,móðursystir
243,Tante::N,ичинь,frænka
244,Tante::N,ичинь,móðursystir
245,Ehemann::N,жӧник,eiginmaður
246,Ehefrau::N,инь,eiginkona
247,Freude::N,гаж,gleði
248,Freude::N,радъялӧм,gleði
249,Gelächter::N,сералӧм,hlátur
250,Glück::N,мичлун,gæfa
251,Kummer::N,шог,sorg
252,Wunsch::N,мӧдӧм,ósk
253,Wunsch::N,охотитӧм,ósk
254,Lust::N,охота,fýsn
255,Lust::N,охота,löngun
256,Geist::N,лов,andi
257,Gedanke::N,дума,hugsun
258,Gedächtnis::N,тӧдвыв,minni
259,Verstand::N,вежӧр,vit
260,Sinn::N,ылӧс,merking
261,Grund::N,мог,ástæða
262,Wahrheit::N,правда,sannleikur
263,Gespräch::N,сёрни,samtal
264,Märchen::N,сказка,ævintýri
265,Erzählung::N,висьт,saga
266,Nachricht::N,юӧр,frétt
267,Nachricht::N,висьталӧм,frétt
268,Neuigkeit::N,новость,frétt
269,Name::N,ним,nafn
270,Rätsel::N,загадка,gáta
271,Rede::N,сёрни,ræða
272,Sprache::N,кыв,mál
273,Sprache::N,кыв,tungumál
274,Stimme::N,голос,rödd
275,Wort::N,кыв,orð
276,Zeichen::N,пас,tákn
277,Zeichen::N,пас,merki
278,Ruf::N,чуксӧм,kall
279,Ruf::N,чукӧстӧм,kall
280,Lärm::N,шум,hávaði
281,Laut::N,шы,hljóð
282,Ton::N,гор,tónn
283,Lied::N,сьыланкыв,ljóð
284,Lied::N,сьыланкыв,söngur
285,Ruhe::N,спокой,ró
286,Ruhe::N,спокой,kyrrð
287,Leute::N,йӧз,fólk
288,Volk::N,йӧз,þjóð
289,Volk::N,народ,þjóð
290,Arbeit::N,удж,vinna
291,Gast::N,гӧсь,gestur
292,Geschenk::N,гӧснеч,gjöf
293,Geschenk::N,подарок,gjöf
294,Spiel::N,орсӧм,leikur
295,Gesellschaft::N,компания,selskapur
296,Hilfe::N,отсӧт,hjálp
297,Freund::N,модз,vinur
298,Freund::N,дружок,vinur
299,Kamerad::N,тӧдса,félagi
300,Angelegenheit::N,дело,mál
301,Angelegenheit::N,дело,málefni
302,Anzahl::N,лыд,tala
