,Concept_ID,lt,he
637,feucht::A,drėgnas,לח
638,nass::A,šlapias,רטוב
639,trocken::A,sausas,יבש
640,voll::A,pilnas,מלא
641,leer::A,tuščias,ריק
642,offen::A,atviras,פתוח
643,geschlossen::A,uždaras,סגור
644,geschlossen::A,uždarytas,סגור
645,sauber::A,švarus,נקי
646,schmutzig::A,nešvarus,מלכלך
647,schmutzig::A,purvinas,מלכלך
648,roh::A,žalias,חי
649,reif::A,prinokęs,בשל
650,reif::A,pribrendęs,בשל
651,lecker::A,gardus,טעים
652,süß::A,saldus,מתוק
653,bitter::A,kartus,מר
654,sauer::A,gižus,חמוץ
655,sauer::A,rūgštus,חמוץ
656,hell::A,šviesus,בהיר
657,hell::A,skaistus,בהיר
658,dunkel::A,tamsus,עמום
659,schwarz::A,juodas,שחר
660,weiß::A,baltas,לבן
661,rot::A,raudonas,אדם
662,gelb::A,geltonas,צהב
663,blau::A,mėlynas,כחל
664,grün::A,žalias,ירק
665,grau::A,pilkas,אפר
666,bunt::A,margas,צבעוני
667,bunt::A,spalvotas,צבעוני
668,billig::A,pigus,זול
669,teuer::A,brangus,יקר
670,wertvoll::A,vertingas,יקר ערך
671,blind::A,aklas,עור
672,taub::A,kurčias,חרש
673,kräftig::A,stiprus,חסן
674,stark::A,stiprus,חזק
675,schwach::A,silpnas,חלש
676,fett::A,riebus,שמן
677,schlank::A,laibas,רזה
678,schlank::A,lieknas,רזה
679,hübsch::A,gražus,יפה תאר
680,böse::A,blogas,רשע
681,dumm::A,paikas,טפש
682,dumm::A,kvailas,טפש
683,faul::A,tingus,עצלן
684,fleißig::A,stropus,חרוץ
685,fleißig::A,kruopštus,חרוץ
686,geizig::A,šykštus,קמצן
687,klug::A,sumanus,נבון
688,klug::A,sumanus,פקח
689,klug::A,protingas,נבון
690,klug::A,protingas,פקח
691,geschickt::A,apsukrus,מימן
692,lieb::A,mielas,יקר
693,lieb::A,mielas,אהוב
694,lustig::A,smagus,עליז
695,lustig::A,linksmas,עליז
696,sanft::A,švelnus,עדין
697,sanft::A,minkštas,עדין
698,hungrig::A,alkanas,רעב
699,krank::A,ligotas,חולה
700,krank::A,sergantis,חולה
701,nackt::A,nuogas,ערום
702,traurig::A,liūdnas,עצוב
703,lebendig::A,gyvas,חי
704,gut::A,geras,טוב
705,schlecht::A,blogas,גרוע
706,schlecht::A,prastas,גרוע
707,richtig::A,tikras,נכון
708,richtig::A,teisingas,נכון
709,schlimm::A,blogas,רע
710,schlimm::A,prastas,רע
711,wahr::A,tikras,אמתי
712,alt::A,senas,ישן
713,neu::A,naujas,חדש
714,ehemalig::A,buvęs,לשעבר
715,alt[Lebewesen]::A,pagyvenęs,זקן
716,jung::A,jaunas,צעיר
717,arm::A,neturtingas,עני
718,reich::A,turtingas,עשיר
719,bekannt::A,žinomas,ידוע
720,bekannt::A,pažįstamas,ידוע
721,berühmt::A,žymus,מפרסם
722,berühmt::A,garsus,מפרסם
723,fremd::A,svetimas,זר
724,verschieden::A,įvairus,שונה
725,nah::A,artimas,קרוב
726,fern::A,tolimas,רחוק
727,linker::A,kairys,שמאלי
728,rechter::A,dešinys,ימין
729,anderer::A,kitas,אחר
730,erster::A,pirmas,ראשון
731,zweiter::A,antras,שני
732,dritter::A,trečias,שלישי
733,letzter::A,paskutinis,אחרון
734,allein::ADV,vienas,לבד
735,auf einmal::ADV,iš karto,בו-זמנית
736,zusammen::ADV,kartu,ביחד
737,zusammen::ADV,drauge,ביחד
738,lange::ADV,ilgai,הרבה זמן
739,plötzlich::ADV,staiga,לפתע
740,plötzlich::ADV,staiga,פתאום
741,sofort::ADV,tuojau,מיד
742,später::ADV,vėliau,לאחר זמן
743,später::ADV,vėliau,יותר מאחר
744,später::ADV,paskiau,לאחר זמן
745,später::ADV,paskiau,יותר מאחר
746,jetzt::ADV,dabãr,עכשיו
747,heute::ADV,šiandien,היום
748,morgen::ADV,rytoj,מחר
749,bald::ADV,greitai,בקרוב
750,bald::ADV,netrukus,בקרוב
751,dann::ADV,po to,אחר-כך
752,gestern::ADV,vakar,אתמול
753,einst::ADV,kadaise,לפנים
754,einst::ADV,kitą kartą,לפנים
755,damals::ADV,anuomet,אז
756,damals::ADV,anuokart,אז
757,danach::ADV,po to,אחר-כך
758,danach::ADV,paskui,אחר-כך
759,vorher::ADV,anksčiau,לפני זה
760,zuerst::ADV,pirma,קדם
761,zuerst::ADV,iš pradžių̃,קדם
762,einmal::ADV,kartą,פעם
763,einmal::ADV,vieną kartą,פעם
764,manchmal::ADV,kai kada,לפעמים
765,oft::ADV,dažnai,לעתים קרובות
766,immer::ADV,visada,תמיד
767,immer::ADV,visuomet,תמיד
768,niemals::ADV,niekada,אף פעם
769,niemals::ADV,niekuomet,אף פעם
770,hier::ADV,čia,כאן
771,hierhin::ADV,šen,פה
772,hierhin::ADV,čionai,פה
773,von hier::ADV,iš čia,מפה
774,dort::ADV,ten,שם
775,dort::ADV,tenai,שם
776,dorthin::ADV,ten,שם
777,dorthin::ADV,ten link,שם
778,geradeaus::ADV,tiesiai,ישר
779,vorwärts::ADV,pirmyn,קדימה
780,rückwärts::ADV,atbulai,לאחור
781,zurück::ADV,atgal,בחזרה
782,zurück::ADV,atgal,אחורנית
