,Concept_ID,et,ru
513,Woche::N,nädal,неделя
514,Monat::N,kuu,месяц
515,Jahr::N,aasta,год
516,Frühling::N,kevad,весна
517,Sommer::N,suvi,лето
518,Herbst::N,sügis,осень
519,Winter::N,talv,зима
520,Januar::N,jaanuar,январь
521,Februar::N,veebruar,февраль
522,März::N,märts,март
523,April::N,aprill,апрель
524,Mai::N,mai,май
525,Juni::N,juuni,июнь
526,Juli::N,juuli,июль
527,August::N,august,август
528,September::N,september,сентябрь
529,Oktober::N,oktoober,октябрь
530,November::N,november,ноябрь
531,Dezember::N,detsember,декабрь
532,Montag::N,esmaspäev,понедельник
533,Dienstag::N,teisipäev,вторник
534,Mittwoch::N,kesknädal,среда
535,Donnerstag::N,neljapäev,четверг
536,Freitag::N,reede,пятница
537,Samstag::N,laupäev,суббота
538,Sonntag::N,pühapäev,воскресенье
539,groß::A,suur,большой
540,klein::A,väike,маленький
541,klein::A,pisike,маленький
542,lang::A,pikk,длинный
543,kurz::A,lühike,короткий
544,breit::A,lai,широкий
545,schmal::A,kitsas,узкий
546,dicht::A,tihe,густой
547,dick[Gegenstand]::A,jäme,толстый
548,dünn::A,õhuke,тонкий
549,dünn::A,peenike,тонкий
550,fein::A,peen,тонкий
551,fein::A,õhuke,тонкий
552,fest::A,püsiv,крепкий
553,fest::A,kindel,крепкий
554,flach::A,lame,плоский
555,flach::A,tasane,плоский
556,glatt::A,sile,гладкий
557,hart::A,kõva,твердый
558,weich::A,pehme,мягкий
559,rund::A,ümar,круглый
560,spitz::A,torkav,остроконечный
561,scharf::A,terav,острый
562,stumpf::A,nüri,тупой
563,schwer::A,raske,тяжелый
564,schön::A,kena,красивый
565,heiß::A,kuum,жаркий
566,heiß::A,palav,жаркий
567,warm::A,soe,теплый
568,kalt::A,külm,холодный
569,kühl::A,jahe,прохладный
570,frisch::A,värske,свежий
571,feucht::A,niiske,влажный
572,nass::A,märg,мокрый
573,trocken::A,kuiv,сухой
574,voll::A,täis,полный
575,voll::A,täis,наполненный
576,leer::A,tühi,пустой
577,offen::A,avatud,открытый
578,offen::A,lahtine,открытый
579,geschlossen::A,suletud,закрытый
580,sauber::A,puhas,чистый
581,schmutzig::A,räpane,грязный
582,schmutzig::A,määrdunud,грязный
583,roh::A,toores,сырой
584,reif::A,küps,зрелый
585,lecker::A,hõrk,вкусный
586,lecker::A,maitsev,вкусный
587,süß::A,magus,сладкий
588,bitter::A,mõru,горький
589,sauer::A,hapu,кислый
590,hell::A,hele,светлый
591,dunkel::A,pime,темный
592,schwarz::A,must,черный
593,weiß::A,valge,белый
594,rot::A,punane,красный
595,gelb::A,kollane,желтый
596,blau::A,sinine,синий
597,grün::A,roheline,зеленый
598,grau::A,hall,серый
599,bunt::A,kirju,пестрый
600,bunt::A,värviline,пестрый
601,billig::A,odav,дешевый
602,teuer::A,kallis,дорогой
603,wertvoll::A,väärtuslik,ценный
604,blind::A,pime,слепой
605,taub::A,kurt,глухой
606,kräftig::A,jõuline,могучий
607,stark::A,tugev,сильный
608,schwach::A,nõrk,слабый
609,schwach::A,jõuetu,слабый
610,fett::A,rasvane,жирный
611,schlank::A,sale,стройный
612,hübsch::A,kena,прелестный
613,böse::A,tige,злой
614,dumm::A,juhm,глупый
615,dumm::A,rumal,глупый
616,faul::A,laisk,ленивый
617,fleißig::A,virk,прилежный
618,fleißig::A,hoolas,прилежный
619,geizig::A,ihne,жадный
620,klug::A,tark,умный
621,klug::A,arukas,умный
622,klug::A,mõistlik,умный
623,geschickt::A,osav,искусный
624,lieb::A,armas,милый
625,lustig::A,lõbus,веселый
626,sanft::A,õrn,нежный
627,hungrig::A,näljane,голодный
628,krank::A,haige,больной
629,nackt::A,alasti,голый
630,traurig::A,kurb,грустный
631,lebendig::A,elus,живой
632,gut::A,hea,хороший
633,schlecht::A,halb,плохой
634,richtig::A,õige,правильный
635,schlimm::A,paha,отвратительный
636,schlimm::A,paha,мерзкий
637,wahr::A,tõene,настоящий
638,alt::A,vana,старый
639,neu::A,uus,новый
640,ehemalig::A,endine,бывший
641,alt[Lebewesen]::A,vana,пожилой
642,jung::A,noor,молодой
643,arm::A,vaene,бедный
644,reich::A,rikas,богатый
645,bekannt::A,teada,знакомый
646,bekannt::A,tuttav,знакомый
647,berühmt::A,tuntud,знаменитый
648,fremd::A,võõras,чужой
649,verschieden::A,erinev,разный
650,nah::A,lähedane,близкий
651,fern::A,kauge,далекий
652,linker::A,vasak,левый
653,rechter::A,parem,правый
654,anderer::A,muu,другой
655,anderer::A,teine,другой
656,erster::A,esimene,первый
657,zweiter::A,teine,второй
658,dritter::A,kolmas,третий
659,letzter::A,viimane,последний
660,allein::ADV,üksi,один
661,auf einmal::ADV,korraga,сразу
662,auf einmal::ADV,ühekorraga,сразу
663,zusammen::ADV,koos,вместе
