,Concept_ID,ps,et
339,Entfernung::N,واټن,vahemaa
340,Gegend::N,سیمه,ümbrus
341,Gegend::N,منطقه,ümbrus
342,Platz::N,ځای,ruum
343,Ort::N,ځای,paik
344,Seite::N,مخ,pool
345,Seite::N,اړخ,pool
346,Mitte::N,وسط,keskpaik
347,Mitte::N,مینځ,keskpaik
348,Gegenstand::N,شی,ese
349,Sache::N,شی,ese
350,Sache::N,څيز,ese
351,Rand::N,څنډه,äär
352,Rand::N,څنډه,serv
353,Rand::N,کناره,äär
354,Rand::N,کناره,serv
355,Kante::N,اړخ,kant
356,Ecke::N,ګوټ,nurk
357,Spitze::N,څوکه,teravik
358,Ende::N,څوکه,ots
359,Ende::N,څوکه,jupp
360,Loch::N,سوری,auk
361,Winkel::N,کنج,nurk
362,Winkel::N,کوتی,nurk
363,Muster::N,نمونه,muster
364,Größe::N,قد,suurus
365,Größe::N,لويوالی,suurus
366,Länge::N,طول,pikkus
367,Länge::N,اوږد والی,pikkus
368,Höhe::N,جګوالی,kõrgus
369,Gewicht::N,وزن,kaal
370,Gewicht::N,وزن,raskus
371,Menge::N,اندازه,arv
372,Menge::N,اندازه,hulk
373,Haufen::N,کوټه,hunnik
374,Reihe::N,صف,rivi
375,Reihe::N,کتار,rivi
376,Boot::N,قايق,paat
377,Ruder::N,چپه,aer
378,Schlitten::N,ښویېدونی,saan
379,Ski::N,سکي,suusk
380,Lagerfeuer::N,اور,lõke
381,Last::N,بار,koorem
382,Last::N,پېټی,koorem
383,Gang::N,تګ,käik
384,Schritt::N,ګام,samm
385,Norden::N,شمال,põhi
386,Süden::N,سوېل,lõuna
387,Westen::N,لوېدېځ,lääs
388,Osten::N,شرق,ida
389,Osten::N,ختیځ,ida
390,Holz::N,لرګی,puu
391,Brett::N,تخته,saelaud
392,Platte::N,تخته,plaat
393,Stütze::N,تکیوان,tugi
394,Stange::N,ډاګه,latt
395,Stange::N,ډاګه,teivas
396,Stock::N,لرګی,kepp
397,Stab::N,چيخله,varras
398,Rohr::N,نل,toru
399,Haus::N,کور,maja
400,Heim::N,کور,kodu
401,Ofen::N,تودنۍ,ahi
402,Fußboden::N,غولی,põrand
403,Tisch::N,مېز,laud
404,Stuhl::N,چوکۍ,tool
405,Wiege::N,زانګو,häll
406,Wiege::N,زانګو,kätki
407,Bett::N,کټ,voodi
408,Bett::N,چپرکټ,voodi
409,Regal::N,تاخچۍ,riiul
410,Kiste::N,صندوق,kast
411,Fenster::N,کړکۍ,aken
412,Tür::N,دروازه,uks
413,Tor::N,دروازه,värav
414,Zaun::N,کټاره,aed
415,Zaun::N,کټاره,tara
416,Dach::N,بام,katus
417,Leiter::N,زينه,redel
418,Besen::N,جارو,luud
419,Spaten::N,یوم,labidas
420,Schaufel::N,بېلچه,kühvel
421,Gabel::N,پنجه,kahvel
422,Löffel::N,کاشوغه,lusikas
423,Messer::N,چاقو,nuga
424,Nagel::N,ميخ,nael
425,Netz::N,جال,võrk
426,Haken::N,څنګک,haak
427,Haken::N,څنګک,konks
428,Griff::N,لاستی,sang
429,Griff::N,لاستی,käepide
430,Schloss::N,کلپ,lukk
431,Bild::N,رسم,pilt
432,Figur::N,قدوقامت,kuju
433,Figur::N,قدوقامت,kujund
434,Puppe::N,ګوډۍ,nukk
435,Beutel::N,کڅوړه,paun
436,Bündel::N,دسته,kimp
437,Tasche::N,بکس,kott
438,Tasche::N,توبره,kott
439,Eimer::N,سطل,pang
440,Eimer::N,سطل,ämber
441,Deckel::N,سرپوښ,kaas
442,Geschirr::N,لوښی,nõud
443,Sack::N,جوال,kott
444,Tasse::N,پیاله,tass
