,Concept_ID,ba,ml
469,König::N,король,രാജാവ്
470,Macht::N,власть,അധികാരം
471,Grenze::N,сик,അതിർത്തി
472,Krieg::N,һуғыш,യുദ്ധം
473,Feind::N,йылан,ശത്രു
474,Gewalt::N,көслөк,അക്രമം
475,Kampf::N,көрәш,പോരാട്ടം
476,Bogen[Waffe]::N,йәйә,വില്ല്
477,Pfeil::N,уҡ,അമ്പ്
478,Gewehr::N,мылтыҡ,തോക്ക്
479,Fehler::N,хата,പിശക്
480,Lüge::N,ялған,കള്ളം
481,Schaden::N,зыян,കേടുപാട്
482,Schaden::N,зарар,കേടുപാട്
483,Unglück::N,ҡаза,ദൌർഭാഗ്യം
484,Schuld::N,ғәйеп,തെറ്റ്
485,Alter::N,йәш,വയസ്സ്
486,Schluss::N,һуң,നിഗമനം
487,Schluss::N,аҙаҡ,നിഗമനം
488,Zeit::N,мәл,സമയം
489,Zeit::N,заман,സമയം
490,Tag::N,көн,ദിവസം
491,Morgen::N,иртә,പ്രഭാതം
492,Morgen::N,иртәнсәк,പ്രഭാതം
493,Mittag::N,төш,ഉച്ച
494,Abend::N,кис,സായാഹ്നം
495,Nacht::N,төн,രാത്രി
496,Woche::N,аҙна,ആഴ്ച
497,Monat::N,ай,മാസം
498,Jahr::N,йыл,വർഷം
499,Frühling::N,яҙ,വസന്തം
500,Sommer::N,йәй,വേനൽ
501,Herbst::N,көз,ശരത്കാലം
502,Winter::N,ҡыш,ശൈത്യം
503,Januar::N,ғинуар,ജനുവരി
504,Februar::N,февраль,ഫെബ്രുവരി
505,März::N,март,മാർച്ച്
506,April::N,апрель,ഏപ്രിൾ മാസം
507,Mai::N,май,മെയ് മാസം
508,Juni::N,июнь,ജൂൺ
509,Juli::N,июль,ജൂലൈ
510,August::N,август,ആഗസ്റ്റ്
511,September::N,сентябрь,സെപ്തംബർ
512,Oktober::N,октябрь,ഒക്ടോബർ
513,November::N,ноябрь,നവംബർ
514,Dezember::N,декабрь,ഡിസംബർ
515,Montag::N,дүшәмбе,തിങ്കളാഴ്ച
516,Dienstag::N,шишәмбе,ചൊവ്വ
517,Mittwoch::N,шаршамбы,ബുധനാഴ്ച
518,Donnerstag::N,кесаҙна,വ്യാഴാഴ്ച
519,Freitag::N,йома,വെള്ളിയാഴ്ച
520,Samstag::N,шәмбе,ശനിയാഴ്ച
521,Sonntag::N,йәкшәмбе,ഞായറാഴ്ച
522,groß::A,ҙур,വലിയ
523,klein::A,бәләкәс,ചെറിയ
524,lang::A,оҙон,നീണ്ട
525,kurz::A,ҡыҫҡа,ഹ്രസ്വമായ
526,breit::A,киң,വിശാലമായ
527,schmal::A,тар,ഇടുങ്ങിയ
528,dicht::A,йыш,നിബിഡമായ
529,dicht::A,ҡуйы,നിബിഡമായ
530,dick[Gegenstand]::A,ҡалын,തടിച്ച
531,dünn::A,йоҡа,മെലിഞ്ഞ
532,dünn::A,нәҙек,മെലിഞ്ഞ
533,fein::A,нескә,നേർത്ത
534,fest::A,ныҡ,ഉറപ്പുള്ള
535,flach::A,яҫы,പരന്ന
536,flach::A,ялпаҡ,പരന്ന
537,glatt::A,шыма,മിനുസമുള്ള
