,Concept_ID,nl,pt
1308,lehren::V,leren,ensinar
1309,unterrichten::V,onderwijzen,instruir
1310,aufziehen::V,grootbrengen,criar
1311,leiten::V,leiden,dirigir
1312,leiten::V,leiden,conduzir
1313,antreiben::V,aandrijven,impelir
1314,lassen::V,laten,fazer
1315,einladen::V,uitnodigen,convidar
1316,vereinigen::V,verenigen,unir
1317,vereinigen::V,verenigen,reunir
1318,besuchen::V,bezoeken,ir ver
1319,besuchen::V,bezoeken,visitar
1320,treffen::V,treffen,encontrar
1321,treffen::V,ontmoeten,encontrar
1322,sich versammeln::V,zich verzamelen,reunir-se
1323,spielen::V,spelen,jogar
1324,spielen::V,spelen,brincar
1325,singen::V,zingen,cantar
1326,tanzen::V,dansen,bailar
1327,sich trennen::V,van elkaar gaan,apartar-se
1328,verlassen::V,verlaten,deixar
1329,verlassen::V,verlaten,abandonar
1330,retten::V,redden,salvar
1331,bewachen::V,bewaken,vigiar
1332,bewachen::V,bewaken,guardar
1333,schützen::V,beschermen,proteger
1334,verteidigen::V,verdedigen,defender
1335,sich schlagen::V,knokken,brigar
1336,sich schlagen::V,knokken,bater-se
1337,schießen::V,schieten,disparar
1338,siegen::V,overwinnen,vencer
1339,ärgern::V,ergeren,irritar
1340,ärgern::V,ergeren,aborrecer
1341,schlagen::V,slaan,bater
1342,treten::V,trappen,pisar
1343,treten::V,schoppen,pisar
1344,stechen::V,steken,picar
1345,stechen::V,prikken,picar
1346,stoßen::V,stoten,empurrar
1347,stehlen::V,stelen,furtar
1348,stören::V,storen,perturbar
1349,stören::V,verstoren,perturbar
1350,belästigen::V,lastig vallen,incomodar
1351,belästigen::V,lastig vallen,importunar
1352,verbergen::V,verbergen,ocultar
1353,verbergen::V,verbergen,esconder
1354,täuschen::V,misleiden,iludir
1355,täuschen::V,misleiden,enganar
1356,betrügen::V,bedriegen,burlar
1357,betrügen::V,bedriegen,enganar
1358,töten::V,doden,matar
1359,wohnen::V,wonen,morar
1360,arbeiten::V,werken,trabalhar
1361,sammeln::V,inzamelen,recolher
1362,sammeln::V,inzamelen,coleccionar
1363,sammeln::V,verzamelen,recolher
1364,sammeln::V,verzamelen,coleccionar
1365,pflücken::V,plukken,colher
1366,jagen::V,jagen,caçar
1367,fischen::V,vissen,pescar
1368,fassen::V,vangen,apanhar
1369,hüten::V,hoeden,guardar
1370,treiben::V,drijven,conduzir
1371,anbinden::V,vastbinden,atar
1372,füttern::V,voeren,dar de comer a
1373,melken::V,melken,ordenhar
1374,hacken::V,hakken,rachar
1375,gießen::V,gieten,regar
1376,reifen::V,rijpen,amadurecer
1377,zubereiten::V,klaarmaken,preparar
1378,zubereiten::V,toebereiden,preparar
1379,kochen::V,koken,cozer
1380,backen::V,bakken,cozer
1381,braten::V,braden,assar
1382,braten::V,braden,fritar
1383,umrühren::V,omroeren,remexer
1384,stricken::V,breien,tricotar
1385,stricken::V,breien,fazer malha
1386,nähen::V,naaien,coser
1387,nähen::V,naaien,costurar
1388,färben::V,verven,tingir
