,Concept_ID,ka,fa
329,Gast::N,სტუმარი,مهمان
330,Geschenk::N,საჩუქარი,هدیه
331,Spiel::N,თამაში,بازی
332,Gesellschaft::N,საზოგადოება,جمعیت
333,Hilfe::N,შველა,کمک
334,Hilfe::N,დახმარება,کمک
335,Freund::N,მეგობარი,دوست
336,Kamerad::N,ამხანაგი,رفیق
337,Angelegenheit::N,საქმე,امر
338,Angelegenheit::N,საქმე,قضیه
339,Anzahl::N,ოდენობა,عده
340,Anzahl::N,ოდენობა,شمار
341,Art::N,სახეობა,نوع
342,Stück::N,ნატეხი,تکه
343,Stück::N,ნატეხი,قطعه
344,Teil::N,წილი,بخش
345,Teil::N,წილი,قسمت
346,Hälfte::N,ნახევარი,نیم
347,Kreis::N,წრე,حلقه
348,Kreis::N,წრე,دایره
349,Kreuz::N,ჯვარი,صلیب
350,Linie::N,ხაზი,خط
351,Linie::N,ხაზი,سطر
352,Strich::N,შტრიხი,خط
353,Abstand::N,მანძილი,فاصله
354,Entfernung::N,სიშორე,مسافت
355,Gegend::N,არე,منطقه
356,Gegend::N,მხარე,منطقه
357,Platz::N,ფართობი,گنجایش
358,Ort::N,ადგილი,جا
359,Ort::N,ადგილი,محل
360,Ort::N,ადგილი,مکان
361,Seite::N,მხარე,طرف
362,Mitte::N,შუა,وسط
363,Mitte::N,შუა,میان
364,Gegenstand::N,საგანი,چیز
365,Sache::N,ნივთი,چیز
366,Rand::N,კიდე,کنار
367,Rand::N,კიდე,حاشیه
368,Kante::N,ნაწიბული,لبه
369,Ecke::N,კუთხე,گوشه
370,Spitze::N,წვეტი,سر
371,Spitze::N,წვეტი,نوک
372,Ende::N,ბოლო,ته
373,Ende::N,ბოლო,آخر
374,Loch::N,ხვრელი,سوراخ
375,Winkel::N,კუთხე,کنج
376,Muster::N,მოხატულობა,نقش
377,Größe::N,ზომა,قد
378,Größe::N,ზომა,بزرگی
379,Größe::N,სიდიდე,قد
380,Größe::N,სიდიდე,بزرگی
381,Länge::N,სიგრძე,طول
382,Höhe::N,სიმაღლე,بلندی
383,Gewicht::N,წონა,وزن
384,Menge::N,რაოდენობა,مقدار
385,Menge::N,რაოდენობა,اندازه
386,Haufen::N,გროვა,توده
387,Reihe::N,რიგი,ردیف
388,Reihe::N,წყება,ردیف
389,Boot::N,გემი,قایق
390,Ruder::N,ხოფი,پارو
391,Ruder::N,ნიჩაბი,پارو
392,Schlitten::N,მარხილი,سورتمه
393,Ski::N,თხილამური,اسکی
394,Lagerfeuer::N,კოცონი,آتش
395,Last::N,ტვირთი,بار
396,Last::N,ტვირთი,سنگینی
397,Gang::N,სვლა,راه رفتن
398,Schritt::N,ბიჯი,قدم
399,Norden::N,ჩრდილოეთი,شمال
400,Süden::N,სამხრეთი,جنوب
401,Westen::N,დასავლეთი,غرب
402,Osten::N,აღმოსავლეთი,شرق
403,Holz::N,ხე,چوب
404,Brett::N,დაფა,تخته
405,Brett::N,ფიცარი,تخته
406,Platte::N,თლილი ქვა,صفحه
407,Stütze::N,საყრდენი,تکیه
408,Stange::N,ჭოკი,میله
409,Stock::N,კეტი,چوب
410,Stab::N,ლატანი,عصا
411,Rohr::N,მილაკი,لوله
412,Haus::N,სახლი,منزل
413,Heim::N,ოჯახის კერა,خانه
414,Heim::N,ოჯახის კერა,کاشانه
415,Ofen::N,ღუმელი,بخاری
416,Fußboden::N,იატაკი,کف اتاق
417,Tisch::N,სუფრა,میز
418,Tisch::N,მაგიდა,میز
419,Stuhl::N,სკამი,صندلی
420,Wiege::N,აკვანი,گهواره
421,Bett::N,საწოლი,تختخواب
422,Bett::N,სარეცელი,تختخواب
423,Regal::N,თაროები,قفسه
424,Kiste::N,ყუთი,صندوق
425,Kiste::N,სკივრი,صندوق
426,Fenster::N,ფანჯარა,پنجره
427,Fenster::N,სარკმელი,پنجره
428,Tür::N,ბჭე,در
429,Tür::N,ბჭე,درب
430,Tür::N,კარი,در
431,Tür::N,კარი,درب
432,Tor::N,ჭიშკარი,دروازه
433,Zaun::N,ღობე,حصار
434,Zaun::N,გალავანი,حصار
435,Dach::N,სახურავი,بام
436,Leiter::N,კიბე,نردبان
437,Besen::N,ცოცხი,جارو
438,Spaten::N,ნიჩაბი,بیل
439,Schaufel::N,ბარი,بیل
440,Schaufel::N,ბარი,پارو
441,Gabel::N,ჩანგალი,چنگال
442,Löffel::N,კოვზი,قاشق
443,Messer::N,დანა,کارد
444,Nagel::N,ლურსმანი,میخ
445,Netz::N,ბადე,تور
446,Netz::N,ბადე,شبکه
447,Haken::N,კავი,قلاب
448,Haken::N,კაუჭი,قلاب
449,Griff::N,ტარი,دسته
450,Schloss::N,კლიტე,قفل
451,Schloss::N,საკეტი,قفل
452,Bild::N,სურათი,عکس
453,Bild::N,სურათი,تصویر
454,Figur::N,ფიგურა,تندیس
455,Puppe::N,თოჯინა,عروسک
456,Beutel::N,პარკი,کیسه
457,Bündel::N,გალა,بسته
458,Bündel::N,ასხმა,بسته
459,Tasche::N,ჩანთა,کیف
460,Eimer::N,ჩამჩა,سطل
461,Deckel::N,ხუფი,در
