,Concept_ID,cs,myv
423,Besen::N,smeták,тенсть
424,Spaten::N,rýč,койме
425,Schaufel::N,lopata,кече
426,Schaufel::N,lopata,келей койме
427,Gabel::N,vidlička,сянгине
428,Löffel::N,lžíce,пенч
429,Messer::N,nůž,пеель
430,Nagel::N,hřebík,эске
431,Netz::N,síť,алтыма
432,Haken::N,hák,кечказ
433,Griff::N,držadlo,кедне
434,Schloss::N,zámek,замок
435,Schloss::N,zámek,панжома
436,Bild::N,obraz,картина
437,Figur::N,figura,рунго
438,Puppe::N,panenka,няка
439,Beutel::N,pytlík,кескав
440,Bündel::N,svazek,керькс
441,Tasche::N,taška,юдма
442,Tasche::N,brašna,юдма
443,Eimer::N,kýbl,ведра
444,Eimer::N,vědro,ведра
445,Deckel::N,víko,велькс
446,Deckel::N,příklop,велькс
447,Geschirr::N,nádobí,кедьге
448,Sack::N,pytel,кескав
449,Tasse::N,šálek,чакш
450,Topf::N,hrnec,кастрюля
451,Kessel::N,kotel,котёл
452,Essen::N,jídlo,ярсамо
453,Nahrung::N,strava,ярсамопель
454,Nahrung::N,potrava,ярсамопель
455,Speise::N,jídlo,ярсамопель
456,Fleisch::N,maso,сывель
457,Getreide::N,obilí,сюро
458,Brei::N,kaše,каша
459,Brot::N,chléb,кши
460,Scheibe::N,krajíc,кочом
461,Scheibe::N,krajíc,сускомо
462,Fett::N,tuk,куя
463,Fett::N,omastek,куя
464,Butter::N,máslo,ой
465,Öl::N,olej,ой
466,Salz::N,sůl,сал
467,Suppe::N,polévka,ям
468,Honig::N,med,медь
469,Milch::N,mléko,ловсо
470,Tee::N,čaj,чай
471,Leder::N,kůže,киське
472,Wolle::N,vlna,пона
473,Stoff::N,látka,коцт
474,Nadel::N,jehla,салмукс
475,Faden::N,nit,суре
476,Knopf::N,knoflík,пов
477,Knoten::N,uzel,сюлмо
478,Farbe::N,barva,артомапель
479,Kleidung::N,šaty,оршамот
480,Kleidung::N,šatstvo,оршамот
481,Hemd::N,košile,панар
482,Kragen::N,límec,сиве
483,Ärmel::N,rukáv,ожа
484,Hose::N,kalhoty,понкст
485,Gürtel::N,pás,каркс
486,Gürtel::N,opasek,каркс
487,Mütze::N,čepice,чапка
488,Schuh::N,bota,туфля
489,Stiefel::N,holínka,кем
490,Ring::N,prsten,суркс
491,Band::N,pásek,лента
492,Kamm::N,hřeben,сурсеме
493,Spiegel::N,zrcadlo,чавачамо
494,Riemen::N,řemen,кшнань каркс
495,Schnur::N,šňůra,пикс
496,Leine::N,vodítko,ведьме
497,Decke::N,pokrývka,вельтямо
498,Decke::N,přikrývka,вельтямо
499,Kissen::N,polštář,тодов
500,Tuch::N,šátek,паця
501,Handtuch::N,ručník,нардамо
502,Kraft::N,síla,вий
503,Stärke::N,síla,виевчи
504,Gesundheit::N,zdraví,шумбрачи
505,Krankheit::N,nemoc,орма
506,Krankheit::N,nemoc,сэредема
507,Krankheit::N,choroba,орма
508,Krankheit::N,choroba,сэредема
509,Schmerz::N,bolest,сэредькс
510,Wunde::N,rána,керявкс
511,Fieber::N,horečka,маштыкс
512,Arznei::N,lék,ормаменькс
513,Brücke::N,most,сэдь
514,Brücke::N,most,мадамо
515,Brunnen::N,studna,лисьма
516,Weide::N,pastva,ракшань ванома тарка
517,Weide::N,pastvina,ракшань ванома тарка
518,Pfad::N,pěšina,ян
519,Weg::N,cesta,ки
520,Straße::N,silnice,ки
521,Dorf::N,vesnice,веле
522,Stadt::N,město,ош
523,Brief::N,dopis,сёрма
524,Buch::N,kniha,книга
525,Buchstabe::N,písmeno,буква
526,Zeitung::N,noviny,газета
527,Leben::N,život,эрямо
528,Tod::N,smrt,кулома
529,Grab::N,hrob,калмо
530,Kirche::N,kostel,церькова
531,Sünde::N,hřích,чумочи
532,Gott::N,bůh,паз
533,Arbeiter::N,dělník,робочей
534,Arbeiter::N,pracovník,робочей
535,Chef::N,šéf,прявт
536,Chef::N,vedoucí,прявт
537,Meister::N,mistr,кол тевень тенця
538,Arzt::N,lékař,врач
539,Lehrer::N,učitel,учитель
540,Lehrer::N,učitel,тонавтыця
541,Geld::N,peníze,ярмак
542,Geschäft::N,obchod,ладязь тев
543,Laden::N,krám,лавка
544,Preis::N,cena,питне
545,Ware::N,zboží,миевкс
546,Ware::N,zboží,рамавкс
547,Nutzen::N,užitek,паро
548,Nutzen::N,užitek,лезэ
549,Reichtum::N,bohatství,сюпавчи
550,Welt::N,svět,мир
551,Welt::N,svět,мастор ланго
552,Land::N,země,мастор
553,Staat::N,stát,государства
554,König::N,král,король
555,Macht::N,moc,азорксчи
556,Macht::N,mocnost,азорксчи
557,Grenze::N,hranice,буен тешкс
558,Krieg::N,válka,война
559,Feind::N,nepřítel,душман
560,Gewalt::N,násilí,нарьгамо
561,Kampf::N,boj,тюрема
562,Bogen[Waffe]::N,luk,нал
563,Pfeil::N,šíp,нал
564,Gewehr::N,puška,ружия
565,Gewehr::N,puška,винтовка
566,Gewehr::N,ručnice,ружия
567,Gewehr::N,ručnice,винтовка
568,Fehler::N,chyba,ильведькс
569,Fehler::N,chyba,ильведевкс
570,Lüge::N,lež,манчема
571,Lüge::N,lež,кенгелема
572,Schaden::N,škoda,зыян
573,Unglück::N,neštěstí,зыян
574,Schuld::N,vina,чумочи
575,Alter::N,věk,шка
576,Schluss::N,konec,пе
577,Zeit::N,čas,шка
578,Zeit::N,čas,пинге
579,Tag::N,den,чи
580,Morgen::N,ráno,валске
581,Morgen::N,jitro,валске
582,Mittag::N,poledne,чикуншка
583,Abend::N,večer,чокшнэ
584,Nacht::N,noc,ве
585,Woche::N,týden,недля
586,Monat::N,měsíc,ков
587,Jahr::N,rok,ие
588,Frühling::N,jaro,тундо
589,Sommer::N,léto,кизэ
590,Herbst::N,podzim,сёксь
591,Winter::N,zima,теле
592,Januar::N,leden,якшамков
593,Februar::N,únor,февраль
594,März::N,březen,март
595,April::N,duben,апрель
596,Mai::N,květen,май
597,Juni::N,červen,июнь
598,Juli::N,červenec,июль
599,August::N,srpen,август
600,September::N,září,сентября
601,Oktober::N,říjen,октября
602,November::N,listopad,ноября
603,Dezember::N,prosinec,декабря
604,Montag::N,pondělí,пондельник
605,Montag::N,pondělek,пондельник
606,Dienstag::N,úterý,овторник
607,Mittwoch::N,středa,серёда
608,Donnerstag::N,čtvrtek,цетьверьг
609,Freitag::N,pátek,пеця
610,Samstag::N,sobota,субута
611,Samstag::N,sobota,шлямочи
612,Sonntag::N,neděle,недлячи
613,groß::A,velký,ине
614,groß::A,velký,покш
615,klein::A,malý,вишка
616,lang::A,dlouhý,кувака
617,kurz::A,krátký,нурькине
618,breit::A,široký,келей
619,schmal::A,úzký,теине
620,dicht::A,hustý,тусто
621,dick[Gegenstand]::A,tlustý,эчке
622,dünn::A,tenký,човине
623,fein::A,jemný,човине
624,fest::A,pevný,кеме
625,flach::A,plochý,лапужа
626,flach::A,placatý,лапужа
627,glatt::A,hladký,валаня
628,hart::A,tvrdý,калгодо
629,weich::A,měkký,чевте
630,rund::A,kulatý,кеверь
631,rund::A,okrouhlý,кеверь
632,spitz::A,špičatý,пшти
633,scharf::A,ostrý,пшти
634,stumpf::A,tupý,ношка
635,schwer::A,těžký,стака
636,schön::A,pěkný,мазый
637,schön::A,krásný,мазый
638,heiß::A,horký,пси
639,warm::A,teplý,лембе
640,kalt::A,studený,якшамо
641,kühl::A,chladný,экше
642,frisch::A,svěží,свежа
643,feucht::A,vlhký,летьке
644,nass::A,mokrý,начко
645,trocken::A,suchý,коське
646,voll::A,plný,пешксе
647,leer::A,prázdný,чаво
648,offen::A,otevřený,панжадо
649,offen::A,otevřený,виде
650,geschlossen::A,zavřený,пекстазь
651,geschlossen::A,zavřený,сёлгозь
652,sauber::A,čistý,ванькс
653,schmutzig::A,špinavý,ливезев
654,roh::A,syrový,верек
655,reif::A,zralý,кенерезь
656,lecker::A,chutný,тантей
657,süß::A,sladký,ламбамо
658,bitter::A,hořký,сэпей
659,sauer::A,kyselý,чапамо
660,hell::A,světlý,валдо
661,dunkel::A,temný,чопода
662,schwarz::A,černý,раужо
663,weiß::A,bílý,ашо
664,rot::A,rudý,якстере
665,rot::A,červený,якстере
666,gelb::A,žlutý,ожо
667,blau::A,modrý,сэнь
668,grün::A,zelený,пиже
669,grau::A,šedý,шержев
670,grau::A,šedivý,шержев
671,bunt::A,pestrý,сёрмав
672,billig::A,levný,аволь питней
673,billig::A,laciný,аволь питней
674,teuer::A,drahý,питней
675,wertvoll::A,cenný,питней
676,blind::A,slepý,сокор
677,taub::A,hluchý,амариця
678,kräftig::A,silný,пек виев
679,stark::A,silný,виев
680,schwach::A,slabý,лавшо
681,fett::A,tučný,куя
682,fett::A,tlustý,куя
683,schlank::A,štíhlý,виде ронга
684,hübsch::A,hezký,мазый
685,böse::A,zlý,кежей
686,dumm::A,hloupý,чавола
687,dumm::A,hloupý,превтеме
688,faul::A,líný,нузякс
689,fleißig::A,pilný,мелень путыця
690,geizig::A,lakomý,скупой
691,klug::A,chytrý,превей
692,geschickt::A,šikovný,маштозь теезь
693,lieb::A,milý,вадря
694,lustig::A,veselý,весёла
695,sanft::A,mírný,сэтьме
696,hungrig::A,hladový,вачо
697,krank::A,nemocný,сэредиця
698,nackt::A,nahý,штапо
699,traurig::A,smutný,нусманя
700,traurig::A,truchlivý,нусманя
701,lebendig::A,živý,эриця
702,gut::A,dobrý,паро
703,schlecht::A,špatný,берянь
704,richtig::A,pravý,виде
705,richtig::A,správný,виде
706,schlimm::A,zlý,берянь
707,wahr::A,pravdivý,алкуксонь
708,alt::A,starý,ташто
709,neu::A,nový,од
710,ehemalig::A,bývalý,икелень
711,alt[Lebewesen]::A,starý,сыре
712,jung::A,mladý,од
713,arm::A,chudý,кажов
714,reich::A,bohatý,сюпав
715,bekannt::A,známý,содавикс
716,berühmt::A,slavný,содавикс
717,fremd::A,cizí,лия
718,fremd::A,cizí,асодавикс
719,verschieden::A,různý,эрьва
720,verschieden::A,rozličný,эрьва
721,nah::A,blízký,а васолонь
722,fern::A,daleký,умонь
723,fern::A,daleký,кезэрень
724,linker::A,levý,керш
725,rechter::A,pravý,вить
726,anderer::A,jiný,лия
727,erster::A,první,васень
728,erster::A,první,васенце
729,zweiter::A,druhý,омбоце
730,dritter::A,třetí,колмоце
731,letzter::A,poslední,меельце
732,allein::ADV,sám,башка
733,allein::ADV,sám,ськамонзо
734,auf einmal::ADV,najednou,вейсэ
735,zusammen::ADV,spolu,вейс
736,zusammen::ADV,spolu,вейсэ
737,zusammen::ADV,dohromady,вейс
738,zusammen::ADV,dohromady,вейсэ
739,lange::ADV,dlouho,кувать
740,plötzlich::ADV,vtom,апак учо
741,plötzlich::ADV,náhle,апак учо
742,sofort::ADV,hned,курок
743,sofort::ADV,hned,нейке
744,sofort::ADV,ihned,курок
745,sofort::ADV,ihned,нейке
746,später::ADV,později,мейле
747,jetzt::ADV,teď,ней
748,jetzt::ADV,nyní,ней
749,heute::ADV,dnes,течи
750,heute::ADV,dneska,течи
751,morgen::ADV,zítra,ванды
752,bald::ADV,brzo,курок
753,dann::ADV,pak,мейле
754,dann::ADV,pak,седе мейле
755,dann::ADV,potom,мейле
756,dann::ADV,potom,седе мейле
757,gestern::ADV,včera,исяк
758,einst::ADV,kdysi,весть
759,einst::ADV,kdysi,зярдо-бути
760,damals::ADV,tehdy,сестэ
761,damals::ADV,tenkrát,сестэ
762,danach::ADV,podle toho,мейле
763,danach::ADV,podle toho,седе мейле
764,vorher::ADV,dříve,васняяк
765,vorher::ADV,napřed,васняяк
766,zuerst::ADV,nejprve,васня
767,zuerst::ADV,nejdříve,васня
768,einmal::ADV,jednou,весть
769,manchmal::ADV,někdy,лиясто
770,oft::ADV,často,сеетьстэ
771,immer::ADV,vždy,свал
772,immer::ADV,stále,свал
773,niemals::ADV,nikdy,а зярдояк
774,hier::ADV,zde,тесэ
775,hier::ADV,tady,тесэ
776,hierhin::ADV,sem,тей
777,von hier::ADV,odtud,тестэ
778,dort::ADV,tam,тосо
779,dorthin::ADV,tam,тов
780,geradeaus::ADV,rovně,витьстэ
781,vorwärts::ADV,kupředu,икелев
782,rückwärts::ADV,zpět,мекев
783,zurück::ADV,zpět,мекев
784,zurück::ADV,nazpět,мекев
785,unten::ADV,dole,ало
786,hinab::ADV,dolů,алов
787,oben::ADV,nahoře,вере
788,oben::ADV,navrchu,вере
789,hinauf::ADV,nahoru,верев
790,überall::ADV,všude,эрьва косо
