,Concept_ID,ga,ko
1235,füttern::V,beathaigh,사료를주다
1236,melken::V,bligh,젖을짜다
1237,melken::V,crúigh,젖을짜다
1238,hacken::V,gearr,자르다
1239,gießen::V,uiscigh,물을대다
1240,reifen::V,aibigh,성숙하다
1241,zubereiten::V,cócaráil,조제하다
1242,kochen::V,bruith,요리하다
1243,kochen::V,beirigh,요리하다
1244,backen::V,bácáil,쿱다
1245,braten::V,róst,굽다
1246,braten::V,frioch,굽다
1247,umrühren::V,measc,교반하다
1248,stricken::V,cniotáil,뜨개질하다
1249,nähen::V,fuaigh,꿰매다
1250,färben::V,dathaigh,채색하다
1251,reinigen::V,glan,청소하다
1252,waschen::V,nigh,씻다
1253,abwischen::V,glan,닦다
1254,spülen::V,sruthlaigh,씻다
1255,fegen::V,scuab,소체하다
1256,kehren::V,scuab,청소하다
1257,baden::V,folc,감다
1258,sich waschen::V,nigh é féin,모믈 씻다
1259,ausziehen::V,bain de,벗다
1260,anziehen::V,cuir ar,끌어움직이다
1261,sich anziehen::V,gléas é féin,
1262,kämmen::V,cíor,빗다
1263,schmücken::V,maisigh,치레하다
1264,sagen::V,abair,말하다
1265,sprechen::V,labhair,말하다
1266,reden::V,caintigh,이야기하다
1267,sich unterhalten::V,caintigh,
1268,sich unterhalten::V,tá ag comhrá,
1269,fragen::V,fiafraigh,질문하다
1270,fragen::V,cuir ceist,질문하다
1271,bitten::V,iarr,원하다
1272,erzählen::V,inis,이야기하다
1273,erzählen::V,eachtraigh,이야기하다
1274,mitteilen::V,aithris,이야기하다
1275,mitteilen::V,cuir in iúl,이야기하다
1276,nennen::V,ainmnigh,부르다
1277,rufen::V,glaoigh,불러내다
1278,prahlen::V,maígh,자랑하다
1279,übersetzen::V,aistrigh,번역하다
1280,denken::V,síl,생각하다
1281,denken::V,ceap,생각하다
1282,glauben::V,creid,믿다
1283,bemerken::V,tabhair faoi deara,인자하다
1284,erkennen::V,aithin,인식하다
1285,begreifen::V,tuig,파악하다
1286,verstehen::V,tuig,이해하다
1287,lernen::V,foghlaim,배우다
1288,wissen::V,tá a fhios ag,알다
1289,sich erinnern an::V,cuimhnigh ar,상기하다
1290,sich erinnern an::V,is cuimhne ar,상기하다
1291,vergessen::V,dearmad,잊다
1292,messen::V,tomhais,측정하다
1293,zählen::V,cuntais,세다
1294,rechnen::V,ríomh,게산하다
1295,rechnen::V,áirigh,게산하다
1296,lesen::V,léigh,읽다
1297,malen::V,péinteáil,그리다
1298,zeichnen::V,línigh,소묘하다
1299,zeichnen::V,tarraing,소묘하다
1300,schreiben::V,scríobh,쓰다
1301,besitzen::V,is le,소유하다
1302,kaufen::V,ceannaigh,사다
1303,verkaufen::V,díol,팔다
1304,bezahlen::V,íoc as,지불하다
1305,zahlen::V,íoc,치르다
1306,beherrschen::V,rialaigh,지배하다
1307,ertragen::V,seas,참다
1308,ertragen::V,fulaing,참다
1309,ertragen::V,foighnigh,참다
1310,Ader::N,,정맥
1311,vorwärts::ADV,,앞으로
