,Concept_ID,en,sk
631,taub::A,deaf,hluchý
632,kräftig::A,powerful,silný
633,stark::A,strong,silný
634,schwach::A,weak,slabý
635,schwach::A,weak,bezvládny
636,fett::A,fat,tučný
637,schlank::A,slim,štíhly
638,hübsch::A,pretty,šumný
639,hübsch::A,pretty,švárny
640,böse::A,evil,zlý
641,dumm::A,stupid,hlúpy
642,faul::A,lazy,lenivý
643,fleißig::A,diligent,snaživý
644,fleißig::A,diligent,usilovný
645,geizig::A,stingy,skupý
646,geizig::A,stingy,lakomý
647,klug::A,clever,múdry
648,klug::A,clever,bystrý
649,geschickt::A,skilful,zručný
650,geschickt::A,skilful,šikovný
651,geschickt::A,skillful,zručný
652,geschickt::A,skillful,šikovný
653,lieb::A,dear,milý
654,lustig::A,merry,veselý
655,sanft::A,gentle,nežný
656,hungrig::A,hungry,lačný
657,hungrig::A,hungry,hladný
658,krank::A,sick,chorý
659,krank::A,sick,nemocný
660,nackt::A,naked,nahý
661,traurig::A,sad,smutný
662,lebendig::A,living,živý
663,gut::A,good,dobrý
664,schlecht::A,bad,zlý
665,richtig::A,correct,správny
666,schlimm::A,nasty,zlý
667,schlimm::A,nasty,nepríjemný
668,wahr::A,true,pravý
669,wahr::A,true,pravdivý
670,alt::A,old,starý
671,neu::A,new,nový
672,ehemalig::A,former,bývalý
673,alt[Lebewesen]::A,aged,starý
674,jung::A,young,mladý
675,arm::A,poor,chudobný
676,reich::A,rich,bohatý
677,bekannt::A,familiar,známy
678,berühmt::A,famous,slávny
679,berühmt::A,famous,povestný
680,fremd::A,foreign,cudzí
681,verschieden::A,different,rôzny
682,verschieden::A,different,rozličný
683,nah::A,near,blízky
684,fern::A,far,ďaleký
685,linker::A,left,ľavý
686,rechter::A,right,pravý
687,anderer::A,other,iný
688,anderer::A,other,druhý
689,erster::A,first,prvý
690,zweiter::A,second,druhý
691,dritter::A,third,tretí
692,letzter::A,last,ostatný
693,letzter::A,last,posledný
694,allein::ADV,alone,sám
695,auf einmal::ADV,at once,zároveň
696,zusammen::ADV,together,spolu
697,zusammen::ADV,together,spoločne
698,lange::ADV,long,dlho
699,plötzlich::ADV,suddenly,náhle
700,sofort::ADV,instantly,hneď
701,sofort::ADV,instantly,ihneď
702,später::ADV,later,neskoršie
703,jetzt::ADV,now,teraz
704,heute::ADV,today,dnes
705,morgen::ADV,tomorrow,zajtra
706,bald::ADV,soon,skoro
707,dann::ADV,then,nato
708,dann::ADV,then,potom
709,gestern::ADV,yesterday,včera
710,einst::ADV,once,kedysi
711,einst::ADV,once,niekedy
712,damals::ADV,at that time,vtedy
713,danach::ADV,afterwards,potom
714,danach::ADV,afterwards,podľa toho
715,vorher::ADV,before,napred
716,vorher::ADV,before,predtým
717,zuerst::ADV,at first,najprv
718,einmal::ADV,once,raz
719,einmal::ADV,once,jedenkrát
720,manchmal::ADV,sometimes,občas
721,manchmal::ADV,sometimes,niekedy
722,oft::ADV,often,často
723,immer::ADV,always,vždy
724,immer::ADV,always,ustavične
725,niemals::ADV,never,nikdy
726,hier::ADV,here,tu
727,hierhin::ADV,hither,sem
728,hierhin::ADV,hither,tade
729,hierhin::ADV,to here,sem
730,hierhin::ADV,to here,tade
731,hierhin::ADV,here,sem
732,hierhin::ADV,here,tade
733,von hier::ADV,hence,odtiaľto
734,dort::ADV,there,tam
735,dorthin::ADV,thither,ta
736,dorthin::ADV,thither,tam
737,dorthin::ADV,there,ta
738,dorthin::ADV,there,tam
739,dorthin::ADV,to there,ta
740,dorthin::ADV,to there,tam
741,geradeaus::ADV,ahead,rovno
742,geradeaus::ADV,ahead,priamo
743,vorwärts::ADV,forward,napred
744,rückwärts::ADV,backward,nazad
745,zurück::ADV,back,späť
746,zurück::ADV,back,naspäť
747,unten::ADV,below,dolu
748,unten::ADV,below,naspodku
749,hinab::ADV,down,dolu
750,oben::ADV,above,hore
751,oben::ADV,above,navrchu
752,hinauf::ADV,up,hore
753,hinauf::ADV,up,navrch
754,überall::ADV,everywhere,všade
755,nicht::ADV,not,nie
756,ein wenig::ADV,a little,trocha
757,kaum::ADV,hardly,ledva
758,sehr::ADV,very,veľmi
759,so::ADV,so,tak
760,so::ADV,so,takto
761,noch::ADV,still,ešte
762,nur::ADV,only,len
763,schon::ADV,already,už
764,wieder::ADV,again,zasa
765,vergebens::ADV,in vain,márne
766,vergebens::ADV,in vain,nadarmo
767,vor::PRP,in front of,pred
768,hinter::PRP,behind,za
769,unter::PRP,under,pod
770,durch::PRP,through,cez
771,neben::PRP,next to,pri
772,neben::PRP,next to,vedľa
773,zwischen::PRP,between,medzi
774,wegen::PRP,because of,pre
775,wegen::PRP,because of,kvôli
776,dies::PRN,this,to
777,dies::PRN,this,táto
778,das::PRN,that,to
779,alles::PRN,everything,všetko
780,ich::PRN,I,ja
781,du::PRN,you,ty
782,du::PRN,thou,ty
783,er::PRN,he,on
784,wir::PRN,we,my
785,ihr::PRN,you,vy
786,sie::PRN,they,oni
787,was::FPRN,what,čo
788,wer::FPRN,who,kto
789,wo::FADV,where,kde
790,wohin::FADV,where ... to,kam
791,wohin::FADV,where to,kam
792,wohin::FADV,where,kam
793,wie::FADV,how,ako
794,warum::FADV,why,prečo
795,wieviel::FNUM,how much,koľko
796,eins::NUM,one,jeden
797,zwei::NUM,two,dva
798,drei::NUM,three,tri
799,vier::NUM,four,štyri
800,fünf::NUM,five,päť
801,sechs::NUM,six,šesť
802,sieben::NUM,seven,sedem
803,acht::NUM,eight,osem
804,neun::NUM,nine,deväť
805,zehn::NUM,ten,desať
806,elf::NUM,eleven,jedenásť
807,zwölf::NUM,twelve,dvanásť
808,zwanzig::NUM,twenty,dvadsať
809,dreißig::NUM,thirty,tridsať
810,vierzig::NUM,forty,štyridsať
811,fünfzig::NUM,fifty,päťdesiat
812,sechzig::NUM,sixty,šesťdesiat
813,siebzig::NUM,seventy,sedemdesiat
814,achtzig::NUM,eighty,osemdesiat
815,neunzig::NUM,ninety,deväťdesiat
816,hundert::NUM,a hundred,sto
817,tausend::NUM,a thousand,tisíc
818,und::CNJ,and,i
819,oder::CNJ,or,alebo
820,stehen::V,stand,stáť
821,sitzen::V,sit,sedieť
822,liegen::V,lie,ležať
823,hängen::V,hang,visieť
824,werden::V,become,stať sa
825,passieren::V,happen,stať sa
826,beginnen::V,begin,začať sa
827,enden::V,end,končiť sa
828,wechseln::V,change,meniť sa
829,aufgehen[Sonne]::V,rise,vychádzať
830,untergehen[Sonne]::V,set,zapadnúť
831,scheinen[Sonne]::V,shine,svietiť
832,donnern::V,thunder,hrmieť
833,wehen::V,blow,viať
834,strömen::V,stream,prúdiť
835,fließen::V,flow,tiecť
836,sich drehen::V,revolve,točiť sa
837,sich drehen::V,revolve,krútiť sa
838,schwanken::V,sway,kolísať
839,schwanken::V,sway,klátiť sa
840,schwingen::V,swing,kývať sa
841,schwingen::V,swing,chvieť sa
842,fallen::V,fall,padať
843,brennen::V,burn,páliť
844,brennen::V,burn,horieť
845,rauchen::V,smoke,dymiť sa
846,regnen::V,rain,pršať
847,gefrieren::V,freeze,zamrznút
848,tauen::V,thaw,taviť sa
849,schmelzen::V,melt,taviť sa
850,trocknen::V,dry,schnúť
851,sieden::V,boil,vrieť
852,faulen::V,rot,hniť
853,verfaulen::V,decay,zhniť
854,reißen::V,snap,pretrhnúť sa
855,versinken::V,sink,zapadnúť
856,versinken::V,sink,potopiť sa
857,vergehen::V,pass,plynúť
858,erscheinen::V,appear,objaviť sa
859,verschwinden::V,disappear,zmiznúť
860,sinken::V,drop,klesať
861,abnehmen::V,decrease,ubúdať
862,zunehmen::V,increase,pribúdať
863,steigen::V,rise,stúpať
864,wachsen::V,grow,rásť
865,glänzen::V,shine,jagať sa
866,glänzen::V,shine,lesknúť sa
867,funkeln::V,sparkle,iskriť sa
868,lärmen::V,be noisy,lomoziť
