,Concept_ID,mn,lbe
651,April::N,дөрөвдүгээр сар,мукьилчинмур барз
652,Mai::N,тавдугаар сар,май
653,Mai::N,тавдугаар сар,ххюлчинмур барз
654,Juni::N,зургаадугаар сар,июнь
655,Juni::N,зургаадугаар сар,ряххилчинмур барз
656,Juli::N,долдугаар сар,июль
657,Juli::N,долдугаар сар,Арулчинмур барз
658,August::N,наймдугаар сар,мяйлчинмур барз
659,September::N,есдүгээр сар,урчӏилчинмур барз
660,Oktober::N,аравдугаар сар,ацӏилчинмур барз
661,November::N,арван нэгдүгээр сар,ацӏния цалчинмур барз
662,Dezember::N,арван хоёрдугаар сар,ацӏния кӏилчинмур барз
663,Montag::N,даваа,итин
664,Montag::N,даваа,итин кьини
665,Dienstag::N,мягмар,тталат
666,Dienstag::N,мягмар,тталат кьини
667,Mittwoch::N,лхагва,арвахӏ
668,Donnerstag::N,пүрэв,хамис
669,Freitag::N,баасан,нюжмар
670,Freitag::N,баасан,нюжмар кьини
671,Samstag::N,бямба,ххуллун
672,Samstag::N,бямба,ххуллун кьини
673,Sonntag::N,ням,алхӏат
674,Sonntag::N,ням,алхӏат кьини
675,groß::A,их,бугъарасса
676,groß::A,том,бугъарасса
677,klein::A,бага,чӏивисса
678,klein::A,жаахан,чӏивисса
679,lang::A,урт,лахъисса
680,kurz::A,охор,кутӏасса
681,kurz::A,богино,кутӏасса
682,breit::A,өргөн,уттасса
683,schmal::A,уйтан,уттакӏюласса
684,schmal::A,нарийн,уттакӏюласса
685,dicht::A,нягт,ццунсса
686,dicht::A,чигжүү,ццунсса
687,dick[Gegenstand]::A,зузаан,ганзсса
688,dünn::A,нимгэн,кӏюласса
689,fein::A,нарийн,
690,fest::A,бөх,цӏакьсса
691,fest::A,бөх,кьянкьасса
692,fest::A,хатуу,цӏакьсса
693,fest::A,хатуу,кьянкьасса
694,flach::A,хавтгай,баягъисса
695,flach::A,хавтгай,цӏубакъасса
696,flach::A,хавтгай,куртӏ дакъасса
697,glatt::A,цагаан,дюрчӏусса
698,hart::A,хатуу,кьянкьасса
699,weich::A,зөөлөн,кӏукӏлусса
700,rund::A,дугуй,ккурккисса
701,rund::A,дугариг,ккурккисса
702,spitz::A,шовх,ярксса
703,spitz::A,шовх,дайлсса
704,spitz::A,шовх,мицӏ бусса
705,spitz::A,шовгор,ярксса
706,spitz::A,шовгор,дайлсса
707,spitz::A,шовгор,мицӏ бусса
708,scharf::A,хурц,ярксса
709,scharf::A,хурц,дайлсса
710,scharf::A,хурц,мицӏ бусса
711,scharf::A,иртэй,ярксса
712,scharf::A,иртэй,дайлсса
713,scharf::A,иртэй,мицӏ бусса
714,stumpf::A,мохоо,къуркъасса
715,schwer::A,хүнд,кӏусса
716,schön::A,гуа,аьнтӏикӏасса
717,schön::A,сайхан,аьнтӏикӏасса
718,heiß::A,халуун,кӏирисса
719,warm::A,дулаан,гъелисса
720,kalt::A,хүйтэн,дяркъусса
721,kühl::A,сэрүүн,дюхлулсса
722,frisch::A,эрүүл,цӏусса
723,frisch::A,жихүүн,цӏусса
724,feucht::A,чийгтэй,атилсса
725,feucht::A,чийгтэй,хъавтусса
726,nass::A,нойтон,атилсса
727,nass::A,нойтон,хъавтусса
728,trocken::A,хатсан,кьавкьсса
729,trocken::A,хатсан,кьакьан бувсса
