,Concept_ID,ar,no
624,lecker::A,لذيذ,lekker
625,süß::A,حلو,søt
626,bitter::A,مر,besk
627,bitter::A,مر,bitter
628,sauer::A,حامض,sur
629,hell::A,نير,lys
630,dunkel::A,مظلم,mørk
631,schwarz::A,أسود,svart
632,weiß::A,أبيض,hvit
633,rot::A,أحمر,rød
634,gelb::A,أصفر,gul
635,blau::A,أزرق,blå
636,grün::A,أخضر,grønn
637,grau::A,رمادي,grå
638,bunt::A,ملوب,broket
639,billig::A,رخيص,billig
640,teuer::A,غال,dyr
641,wertvoll::A,ثمين,verdifull
642,blind::A,أعمى,blind
643,taub::A,أصم,døv
644,taub::A,أطرش,døv
645,kräftig::A,قوي,kraftig
646,stark::A,قوي,sterk
647,schwach::A,ضعيف,svak
648,fett::A,سمين,fet
649,schlank::A,أهيف,slank
650,hübsch::A,جميل,pen
651,böse::A,رديء,slem
652,dumm::A,أبله,dum
653,dumm::A,أحمق,dum
654,faul::A,كسلان,lat
655,faul::A,كسلان,doven
656,fleißig::A,مجتهد,flittig
657,geizig::A,بخيل,gjerrig
658,klug::A,ذكي,klok
659,klug::A,عاقل,klok
660,geschickt::A,ماهر,hendig
661,geschickt::A,ماهر,skikket
662,lieb::A,عزيز,kjær
663,lieb::A,عزيز,snill
664,lustig::A,مرح,morsom
665,sanft::A,حليم,blid
666,hungrig::A,جائع,sulten
667,krank::A,مريض,syk
668,nackt::A,عار,naken
669,traurig::A,حزين,sørgmodig
670,lebendig::A,حي,levende
671,gut::A,جيد,god
672,schlecht::A,سيء,dårlig
673,richtig::A,صحيح,riktig
674,schlimm::A,خبيث,slem
675,wahr::A,حق,sann
676,alt::A,قديم,gammel
677,neu::A,جديد,ny
678,ehemalig::A,سابق,forhenværende
679,alt[Lebewesen]::A,مسن,gammel
680,jung::A,شاب,ung
681,jung::A,صغير,ung
682,arm::A,فقير,fattig
683,reich::A,غني,rik
684,bekannt::A,معلوم,kjent
685,berühmt::A,مشهور,berømt
686,fremd::A,أجنبي,fremmed
687,verschieden::A,مختلف,forskjellig
688,nah::A,قريب,nær
689,fern::A,بعيد,fjern
690,linker::A,يسار,venstre
691,rechter::A,يمين,høyre
692,anderer::A,آخر,annen
693,erster::A,أول,første
694,zweiter::A,ثان,annen
695,dritter::A,ثالث,tredje
696,letzter::A,أخير,sist
697,allein::ADV,وحده,alene
698,auf einmal::ADV,بالمرة,med ett
699,zusammen::ADV,معا,sammen
700,lange::ADV,مدة طويلة,lenge
701,plötzlich::ADV,فجأة,plutselig
702,sofort::ADV,حالا,straks
703,sofort::ADV,فورا,straks
704,später::ADV,فيما بعد,senere
705,jetzt::ADV,الآن,nå
706,jetzt::ADV,حاليا,nå
707,heute::ADV,اليوم,i dag
708,morgen::ADV,غدا,i morgen
709,bald::ADV,قريبا,snart
710,dann::ADV,ثم,så
711,gestern::ADV,أمس,i går
712,gestern::ADV,البارحة,i går
713,einst::ADV,قديما,engang
714,damals::ADV,حينئذ,den gang
715,danach::ADV,ثم,deretter
716,danach::ADV,بعد ذلك,deretter
717,vorher::ADV,من قبل,før
718,vorher::ADV,من قبل,i forveien
719,vorher::ADV,قبل ذلك,før
720,vorher::ADV,قبل ذلك,i forveien
721,zuerst::ADV,أولا,først
722,einmal::ADV,مرة,en gang
723,manchmal::ADV,أحيانا,somme tider
724,oft::ADV,كثيرا,ofte
725,immer::ADV,دائما,alltid
726,niemals::ADV,لا أبدا,aldri
727,hier::ADV,هنا,her
728,hierhin::ADV,إلى هنا,hit
729,von hier::ADV,من هنا,herfra
730,dort::ADV,هناك,der
731,dorthin::ADV,إلى هناك,dit
732,geradeaus::ADV,إلى الأمام,rett fram
733,vorwärts::ADV,إلى الأمام,fram
734,vorwärts::ADV,إلى الأمام,framover
735,rückwärts::ADV,إلى الوراء,baklengs
736,zurück::ADV,عودا,tilbake
737,zurück::ADV,إلى الخلف,tilbake
738,unten::ADV,تحت,nede
739,unten::ADV,في الأسفل,nede
740,hinab::ADV,إلى تحت,ned
741,hinab::ADV,إلى تحت,nedover
742,oben::ADV,فوق,oppe
743,oben::ADV,فوق,ovenpå
744,oben::ADV,في الأعلى,oppe
745,oben::ADV,في الأعلى,ovenpå
746,hinauf::ADV,إلى فوق,opp
747,hinauf::ADV,إلى فوق,oppover
748,hinauf::ADV,إلى الأعلى,opp
749,hinauf::ADV,إلى الأعلى,oppover
750,überall::ADV,في كل مكان,overalt
751,nicht::ADV,لا,ikke
752,nicht::ADV,لم,ikke
753,ein wenig::ADV,قليلا,litt
754,kaum::ADV,كاد لا,neppe
755,sehr::ADV,جدا,svært
756,sehr::ADV,كثيرا,svært
757,so::ADV,كذا,så
758,so::ADV,كذلك,så
759,noch::ADV,ما زال,enda
760,nur::ADV,فقط,bare
761,schon::ADV,قد,alt
762,schon::ADV,قد,allerede
763,wieder::ADV,من جديد,igjen
764,wieder::ADV,مرة أخرى,igjen
765,vergebens::ADV,عبثا,forgjeves
766,vor::PRP,أمام,foran
767,vor::PRP,أمام,utenfor
768,hinter::PRP,خلف,bak
769,hinter::PRP,خلف,bakom
770,hinter::PRP,وراء,bak
771,hinter::PRP,وراء,bakom
772,unter::PRP,تحت,under
773,durch::PRP,عبر,gjennom
774,durch::PRP,عبر,igjennom
775,durch::PRP,خلال,gjennom
776,durch::PRP,خلال,igjennom
777,neben::PRP,جنب,ved siden av
778,neben::PRP,بجانب,ved siden av
779,zwischen::PRP,بين,mellom
780,wegen::PRP,بسبب,på grunn av
781,dies::PRN,هذا,dette
782,das::PRN,ذلك,det
783,alles::PRN,الكل,alt
784,ich::PRN,أنا,jeg
785,du::PRN,أنت,du
786,er::PRN,هو,han
787,wir::PRN,نحن,vi
788,ihr::PRN,أنتم,dere
789,ihr::PRN,أنتن,dere
790,sie::PRN,هم,de
791,sie::PRN,هن,de
792,was::FPRN,ما,hva
793,wer::FPRN,من,hvem
794,wo::FADV,أين,hvor
795,wohin::FADV,إلى أين,hvor ... hen
796,wie::FADV,كيف,hvordan
797,warum::FADV,لماذا,hvorfor
798,wieviel::FNUM,كم,hvor mye
799,eins::NUM,واحد,en
800,eins::NUM,واحد,ett
801,zwei::NUM,اثنين,to
802,drei::NUM,ثلاثة,tre
803,vier::NUM,أربعة,fire
804,fünf::NUM,خمسة,fem
805,sechs::NUM,ستة,seks
806,sieben::NUM,سبعة,sju
807,acht::NUM,ثمانية,åtte
808,neun::NUM,تسعة,ni
809,zehn::NUM,عشرة,ti
810,elf::NUM,أحد عشر,elleve
811,zwölf::NUM,اثنا عشر,tolv
812,zwanzig::NUM,عشرون,tjue
813,dreißig::NUM,ثلاثون,tretti
814,vierzig::NUM,أربعون,førti
815,fünfzig::NUM,خمسون,femti
816,sechzig::NUM,ستون,seksti
817,siebzig::NUM,سبعون,sytti
818,achtzig::NUM,ثمانون,åtti
