,Concept_ID,ku,mdf
359,Last::N,bar,сталма
360,Gang::N,fîtêz,молема
361,Schritt::N,gav,аськолкс
362,Norden::N,bakur,якшама шире
363,Süden::N,başur,ля́мбе ши́ре
364,Westen::N,rojava,ши валгома шире
365,Osten::N,rojhilat,шинь стяма шире
366,Holz::N,dep,вирь
367,Holz::N,dep,шуфта
368,Brett::N,dep,лавця
369,Platte::N,dep,плита́
370,Stütze::N,destek,неже
371,Stange::N,sing,олга
372,Stock::N,çam,байдек
373,Stab::N,qat,олгоня
374,Rohr::N,borî,турама
375,Haus::N,mal,куд
376,Haus::N,xanî,куд
377,Heim::N,mal,куд
378,Ofen::N,sobe,пянакуд
379,Fußboden::N,binpê,кия́кс
380,Tisch::N,mase,шра
381,Tisch::N,mase,моркш
382,Stuhl::N,kursî,стул
383,Wiege::N,derguş,нюря́м
384,Bett::N,qerewêle,ацам
385,Regal::N,rêbaz,лавцяланга
386,Kiste::N,sindoq,парга
387,Fenster::N,çam,валмья
388,Fenster::N,şibeke,валмья
389,Tür::N,derî,кенкш
390,Tor::N,derge,ортат
391,Zaun::N,hejik,перяфкс
392,Dach::N,sere xanî,кудпря
393,Leiter::N,pêling,куцема
394,Besen::N,melkes,тяльме
395,Spaten::N,mer,ка́йме
396,Schaufel::N,bêr,ко́поня
397,Schaufel::N,bêr,ця́рдом
398,Gabel::N,çetel,ця́нгоня
399,Löffel::N,kevçî,куцю
400,Messer::N,kêr,пеель
401,Nagel::N,bizmar,эска
402,Netz::N,tor,
403,Haken::N,çenqel,кя́чказ
404,Griff::N,destî,недь
405,Griff::N,destî,кунда́мка
406,Schloss::N,qonax,замо́к
407,Bild::N,dimen,карти́на
408,Figur::N,figûr,ронга-понда
409,Puppe::N,bûk,ня́ка
410,Beutel::N,kîsik,кяскав
411,Bündel::N,pêçek,кярьме
412,Tasche::N,bêrîk,кошяльня
413,Eimer::N,dewl,ве́дарка
414,Deckel::N,devik,тавадкс
415,Deckel::N,devik,вельхкс
416,Geschirr::N,ferax,кядьге
