,Concept_ID,te,ko
372,Getreide::N,ధాన్యము,곡물
373,Brei::N,గుజ్జు,젤리
374,Brot::N,రొట్టె,빵
375,Scheibe::N,బద్ద,원반
376,Fett::N,క్రొవ్వు,기름
377,Butter::N,వెన్న,버터
378,Öl::N,నూనె,올리브유
379,Salz::N,ఉప్పు,소금
380,Suppe::N,చారు,국
381,Suppe::N,చారు,수프
382,Honig::N,తెనె,감미
383,Milch::N,పాలు,유즙
384,Tee::N,తేనీరు,차
385,Leder::N,బాగుచేసివతోలు,가죽
386,Wolle::N,ఉన్ని,양털
387,Stoff::N,బట్ట,패료
388,Nadel::N,సూది,바늘
389,Faden::N,దారము,콘실
390,Knopf::N,బొత్తాము,단추
391,Knoten::N,ముడి,곁절
392,Farbe::N,రంగు,색
393,Kleidung::N,బట్టలు,옷입기
394,Hemd::N,చొక్కాయ,속옷
395,Kragen::N,మాల,깃
396,Ärmel::N,చొక్కాయచెయ్యి,소매
397,Hose::N,ఇజారు,바지
398,Gürtel::N,పటకా,밴드
399,Mütze::N,టోపి,모자
400,Schuh::N,పాదరక్ష,구두
401,Stiefel::N,బూటు,장화
402,Ring::N,ఉంగరము,고리
403,Band::N,నాడా,리본
404,Kamm::N,దువ్వెన,빗
405,Spiegel::N,అద్దము,거울
406,Riemen::N,వాడా,가죽끈
407,Schnur::N,దారము,밧줄
408,Leine::N,వారు,고삐줄
409,Decke::N,కంబళి,이부자리
410,Kissen::N,తలగడ,깔개
411,Tuch::N,బట్ట,천
412,Handtuch::N,తువాలు,수건
413,Kraft::N,బలము,세력
414,Stärke::N,శక్తి,힘
415,Gesundheit::N,ఆరోగ్యము,위생
416,Krankheit::N,రోగము,병
417,Schmerz::N,నొప్పి,아픔고통
418,Wunde::N,గాయము,상처
419,Fieber::N,జ్వరము,열별
420,Arznei::N,మందు,약
421,Brücke::N,వంతెన,교량
422,Brunnen::N,బావి,원천
423,Brunnen::N,కూపము,원천
424,Brunnen::N,నుయ్యి,원천
425,Weide::N,పచ్చికబయలు,목장
426,Pfad::N,కాలిత్రోవ,좁은길
427,Weg::N,మార్గము,길
428,Straße::N,బాట,길
429,Dorf::N,గ్రామము,촌
430,Dorf::N,గ్రామము,촌락
431,Stadt::N,పట్టణము,도시
432,Brief::N,జాబు,서한
433,Buch::N,పుస్తకము,책
434,Buchstabe::N,అక్షరము,문자
435,Zeitung::N,వార్తాపత్రిక,신문
436,Leben::N,ప్రాణము,삶
437,Tod::N,మరణము,죽음
438,Grab::N,సమాధి,무덤
439,Kirche::N,క్రెస్తవులగుడి,교회
440,Sünde::N,పాపము,부정
441,Gott::N,దేవుడు,하느님
442,Arbeiter::N,పనిపాటుచేశేవాడు,일하는사람
443,Chef::N,యజమానుడు,사장
444,Meister::N,కళాకారుడు,명인
445,Meister::N,కళాకారుడు,대가
446,Arzt::N,వైద్యుడు,의사
447,Lehrer::N,ఉపాధ్యాయుడు,교사
448,Geld::N,ద్రవ్యము,돈
449,Geschäft::N,వ్యాపారము,일
450,Laden::N,అంగడి,가게
451,Preis::N,వెల,가격
452,Ware::N,సరకులు,상품
453,Nutzen::N,ప్రయోజనము,이익
454,Reichtum::N,ధనము,많음
455,Welt::N,ప్రపంచము,세상
456,Land::N,దేశము,지방
457,Staat::N,రాజ్యము,국가
458,König::N,రాజు,국왕
459,Macht::N,అధికారము,힘
460,Grenze::N,సరిహద్దు,국경
461,Krieg::N,యుద్ధము,전쟁
462,Feind::N,శత్రువు,적
463,Gewalt::N,దౌర్జన్యము,권력
464,Kampf::N,పోట్లాట,전투
465,Bogen[Waffe]::N,విల్లు,활
466,Pfeil::N,బాణము,화살
467,Gewehr::N,తుపాకి,무기
468,Fehler::N,తప్ప,오류
469,Lüge::N,అసత్యము,거짓말
470,Schaden::N,నష్టము,손상
471,Unglück::N,దురదృష్టము,불행
472,Schuld::N,తప్పు,부채
473,Alter::N,వయస్సు,연령
