,Concept_ID,lt,sk
669,Dienstag::N,antradienis,utorok
670,Mittwoch::N,trečiadienis,streda
671,Donnerstag::N,ketvirtadienis,štvrtok
672,Freitag::N,penktadienis,piatok
673,Samstag::N,šeštadienis,sobota
674,Sonntag::N,sekmadienis,nedeľa
675,groß::A,didis,veľký
676,groß::A,didelis,veľký
677,klein::A,mažas,malý
678,lang::A,ilgas,dlhý
679,kurz::A,trumpas,krátky
680,breit::A,platus,široký
681,schmal::A,smulkus,úzky
682,dicht::A,tankus,hustý
683,dick[Gegenstand]::A,storas,tlstý
684,dünn::A,plonas,tenký
685,fein::A,smulkus,jemný
686,fest::A,kietas,pevný
687,fest::A,tvirtas,pevný
688,flach::A,lėkštas,rovný
689,flach::A,lėkštas,plochý
690,flach::A,plokščias,rovný
691,flach::A,plokščias,plochý
692,glatt::A,slidus,hladký
693,hart::A,kietas,tvrdý
694,weich::A,minkštas,mäkký
695,rund::A,apvalus,guľatý
696,rund::A,apvalus,okrúhly
697,rund::A,apskritas,guľatý
698,rund::A,apskritas,okrúhly
699,spitz::A,aštrus,končitý
700,spitz::A,smailus,končitý
701,scharf::A,aštrus,ostrý
702,stumpf::A,bukas,tupý
703,stumpf::A,atšipęs,tupý
704,schwer::A,sunkus,ťažký
705,schön::A,gražus,pekný
706,schön::A,gražus,krásny
707,heiß::A,karštas,horúci
708,warm::A,šiltas,teplý
709,kalt::A,šaltas,studený
710,kühl::A,vėsus,chladný
711,kühl::A,bejausmis,chladný
712,frisch::A,šviežias,svieži
713,feucht::A,drėgnas,vlhký
714,feucht::A,drėgnas,zvlhnutý
715,nass::A,šlapias,mokrý
716,trocken::A,sausas,suchý
717,voll::A,pilnas,plný
718,leer::A,tuščias,prázdny
719,offen::A,atviras,otvorený
720,geschlossen::A,uždaras,zavretý
721,geschlossen::A,uždarytas,zavretý
722,sauber::A,švarus,čistý
723,schmutzig::A,nešvarus,špinavý
724,schmutzig::A,purvinas,špinavý
725,roh::A,žalias,surový
726,reif::A,prinokęs,zrelý
727,reif::A,pribrendęs,zrelý
728,lecker::A,gardus,chutný
729,süß::A,saldus,sladký
730,bitter::A,kartus,horký
731,sauer::A,gižus,kyslý
732,sauer::A,rūgštus,kyslý
733,hell::A,šviesus,jasný
734,hell::A,šviesus,svetlý
735,hell::A,skaistus,jasný
736,hell::A,skaistus,svetlý
737,dunkel::A,tamsus,temný
738,schwarz::A,juodas,čierny
739,weiß::A,baltas,biely
740,rot::A,raudonas,červený
741,gelb::A,geltonas,žltý
742,blau::A,mėlynas,modrý
743,blau::A,mėlynas,belasý
744,grün::A,žalias,zelený
745,grau::A,pilkas,šedý
746,bunt::A,margas,pestrý
747,bunt::A,spalvotas,pestrý
748,billig::A,pigus,lacný
749,teuer::A,brangus,drahý
750,wertvoll::A,vertingas,cenný
751,blind::A,aklas,slepý
752,taub::A,kurčias,hluchý
753,kräftig::A,stiprus,silný
754,stark::A,stiprus,silný
755,schwach::A,silpnas,slabý
756,schwach::A,silpnas,bezvládny
757,fett::A,riebus,tučný
758,schlank::A,laibas,štíhly
759,schlank::A,lieknas,štíhly
760,hübsch::A,gražus,šumný
761,hübsch::A,gražus,švárny
762,böse::A,blogas,zlý
763,dumm::A,paikas,hlúpy
764,dumm::A,kvailas,hlúpy
765,faul::A,tingus,lenivý
766,fleißig::A,stropus,snaživý
767,fleißig::A,stropus,usilovný
768,fleißig::A,kruopštus,snaživý
769,fleißig::A,kruopštus,usilovný
770,geizig::A,šykštus,skupý
771,geizig::A,šykštus,lakomý
772,klug::A,sumanus,múdry
773,klug::A,sumanus,bystrý
774,klug::A,protingas,múdry
775,klug::A,protingas,bystrý
776,geschickt::A,apsukrus,zručný
777,geschickt::A,apsukrus,šikovný
778,lieb::A,mielas,milý
779,lustig::A,smagus,veselý
780,lustig::A,linksmas,veselý
781,sanft::A,švelnus,nežný
782,sanft::A,minkštas,nežný
783,hungrig::A,alkanas,lačný
784,hungrig::A,alkanas,hladný
785,krank::A,ligotas,chorý
786,krank::A,ligotas,nemocný
787,krank::A,sergantis,chorý
788,krank::A,sergantis,nemocný
789,nackt::A,nuogas,nahý
790,traurig::A,liūdnas,smutný
791,lebendig::A,gyvas,živý
792,gut::A,geras,dobrý
793,schlecht::A,blogas,zlý
794,schlecht::A,prastas,zlý
795,richtig::A,tikras,správny
796,richtig::A,teisingas,správny
797,schlimm::A,blogas,zlý
