,Concept_ID,lez,tr
1186,zerstören::V,барбатӏун,tahrip etmek
1187,verbrennen::V,ккун,yakmak
1188,geben::V,гун,vermek
1189,reichen::V,вугун,uzatmak
1190,reichen::V,гун,uzatmak
1191,schenken::V,пишкеш авун,hediye etmek
1192,versprechen::V,гаф гун,vaat etmek
1193,wünschen::V,дуьа авун,kutlamak
1194,loben::V,тариф авун,övmek
1195,küssen::V,темен гун,öpmek
1196,wiegen::V,эчӏягъун,sallamak
1197,zudecken::V,гьалдун,örtmek
1198,wecken::V,ахварай авудун,uyandırmak
1199,zeigen::V,къалурун,göstermek
1200,führen::V,тухун,gezdirmek
1201,führen::V,тухун,yol göstermek
1202,lehren::V,кӏелиз тун,okutmak
1203,lehren::V,кӏелиз тун,öğretmek
1204,unterrichten::V,тарс гун,öğretmek
1205,aufziehen::V,тербия гун,yetiştirmek
1206,aufziehen::V,тербияламишун,yetiştirmek
1207,leiten::V,идара авун,yönetmek
1208,leiten::V,идара авун,idare etmek
1209,antreiben::V,тади кутун,teşvik etmek
1210,einladen::V,теклиф авун,davet etmek
1211,vereinigen::V,сад авун,birleştirmek
1212,besuchen::V,кьилив атун,uğramak
1213,besuchen::V,кьилив атун,ziyaret etmek
1214,besuchen::V,кьилив атун,görmeye gitmek
1215,treffen::V,гьалтун,rastlamak
1216,treffen::V,гьалтун,isabet etmek
1217,sich versammeln::V,алтӏушун,toplanmak
1218,spielen::V,къугъун,oynamak
1219,singen::V,лугьун,söylemek
1220,singen::V,лугьун,şarkı söylemek
1221,singen::V,мани лугьун,söylemek
1222,singen::V,мани лугьун,şarkı söylemek
1223,tanzen::V,кьуьл авун,oynamak
1224,tanzen::V,кьуьл авун,dans etmek
1225,sich trennen::V,къакъатун,ayrılmak
1226,verlassen::V,гъил къачун,bırakmak
1227,verlassen::V,гъил къачун,terk etmek
1228,retten::V,къутармишун,kurtarmak
1229,bewachen::V,хуьн,gözetmek
1230,schützen::V,хуьн,korumak
1231,verteidigen::V,хуьн,savunmak
1232,sich schlagen::V,кукӏун,dövüşmek
1233,schießen::V,акъатун,ateş etmek
1234,siegen::V,гъалиб хьун,yenmek
1235,ärgern::V,хъел гъун,kızdırmak
1236,ärgern::V,хъел кутун,kızdırmak
1237,schlagen::V,ягъун,dövmek
1238,schlagen::V,галукьарун,dövmek
1239,treten::V,кьуьл къекъягъун,tepmek
1240,treten::V,кьуьл эцягъун,tepmek
1241,stechen::V,акьадарун,sokmak
1242,stechen::V,акьадарун,batırmak
1243,stoßen::V,эцягъун,itmek
1244,stehlen::V,чуьнуьхун,çalmak
1245,stören::V,хкуьрун,bozmak
1246,stören::V,хкуьрун,etkilemek
1247,belästigen::V,хкуьрун,rahatsız etmek
1248,belästigen::V,азият гун,rahatsız etmek
1249,verbergen::V,далдаламишун,saklamak
1250,täuschen::V,алцурарун,aldatmak
1251,täuschen::V,алцуррун,aldatmak
1252,betrügen::V,алцурарун,aldatmak
1253,betrügen::V,алцурарун,dolandırmak
1254,betrügen::V,гьарамзадавал авун,aldatmak
1255,betrügen::V,гьарамзадавал авун,dolandırmak
1256,töten::V,яна кьин,öldürmek
1257,wohnen::V,дуланмиш хьун,oturmak
1258,arbeiten::V,кӏвалахун,çalışmak
1259,arbeiten::V,кӏвалах авун,çalışmak
1260,sammeln::V,кӏватӏун,toplamak
1261,pflücken::V,атӏун,koparmak
1262,jagen::V,гъуьрч авун,avlanmak
1263,fischen::V,гъетер кьун,balık tutmak
1264,fassen::V,кьун,tutmak
1265,fassen::V,кьун,yakalamak
1266,hüten::V,чӏура хуьн,otlatmak
1267,treiben::V,гьалун,gütmek
1268,anbinden::V,акалун,bağlamak
1269,füttern::V,ем гун,beslemek
1270,melken::V,ацун,sağmak
1271,hacken::V,куьткуьнун,yarmak
1272,gießen::V,яд гун,sulamak
