,Concept_ID,br,os
354,Heim::N,kêr,къона
355,Ofen::N,forn,пец
356,Fußboden::N,plañchod,астӕрд
357,Tisch::N,taol,стъол
358,Stuhl::N,kador,бандон
359,Wiege::N,kavell,авдæн
360,Bett::N,gwele,сынтӕг
361,Regal::N,estajerenn,тӕрхӕг
362,Regal::N,estajerenn,уӕлвӕйнӕг
363,Kiste::N,kased,асыкк
364,Fenster::N,prenestr,рудзынг
365,Fenster::N,prenestr,фæрссаг
366,Tür::N,dor,дуар
367,Tor::N,portal,кулдуар
368,Zaun::N,sklotur,æмбонд
369,Zaun::N,sklotur,быру
370,Zaun::N,sklotur,гæрæн
371,Dach::N,toenn,уӕлхӕдзар
372,Leiter::N,skeul,асин
373,Besen::N,skubell,уисой
374,Spaten::N,pal,бел
375,Schaufel::N,pal,æвгæнæн
376,Schaufel::N,pal,кæфой
377,Gabel::N,fourchetez,вилкæ
378,Löffel::N,loa,уидыг
379,Messer::N,kontell,кард
380,Nagel::N,tach,зӕгӕл
381,Netz::N,roued,хыз
382,Haken::N,krog,хæдз
383,Haken::N,krog,хæбырæгъ
384,Griff::N,kemer,фистон
385,Schloss::N,potenn,гуыдыр
386,Bild::N,skeudenn,ныв
387,Figur::N,skeud,кæрдгæныв
388,Figur::N,figur,кæрдгæныв
389,Puppe::N,merc'hodenn,чындз
390,Beutel::N,sac'h,дзӕкъул
391,Bündel::N,feskenn,баст
392,Tasche::N,sac'h,хызын
393,Tasche::N,sac'h,дзæкъул
394,Eimer::N,sailh,къæрта
395,Eimer::N,sailh,чъыбыла
396,Eimer::N,sailh,ведра
397,Deckel::N,pallenn,сæр
398,Deckel::N,pallenn,æмбæрзæн
399,Geschirr::N,listriaj,мигæнæн
400,Geschirr::N,listriaj,мигæнæнтæ
401,Sack::N,sac'h,голлаг
402,Tasse::N,tas,пиала
403,Tasse::N,tas,къус
404,Topf::N,pod,аг
405,Topf::N,pod,чысыл аг
406,Kessel::N,chaodouron,аг
407,Essen::N,pred,хӕрд
408,Nahrung::N,boued,хойраг
409,Speise::N,meuz,хӕринаг
410,Fleisch::N,kig,дзидза
411,Fleisch::N,kig,фыдызгъӕл
412,Getreide::N,ed,халсар
413,Brei::N,yod,кас
414,Brot::N,bara,дзул
415,Scheibe::N,tailhenn,къӕбӕр
416,Fett::N,lard,сой
417,Butter::N,amann,нӕлхӕ
418,Öl::N,eoul,зети
419,Salz::N,holen,цӕхх
420,Suppe::N,soubenn,бас
421,Honig::N,mel,мыд
422,Milch::N,laezh,ӕхсыр
423,Tee::N,te,цай
424,Leder::N,lêr,мæскуы
425,Wolle::N,gloan,фӕсмын
426,Stoff::N,danvez,хъуымац
427,Nadel::N,nadoz,судзин
428,Faden::N,neudenn,ӕндах
429,Knopf::N,bouton,цӕппӕр
430,Knoten::N,skoulm,ӕлхынцъ
431,Farbe::N,liv,ахорæн
432,Kleidung::N,dilhad,дарӕс
433,Hemd::N,roc'hed,хӕдон
434,Kragen::N,gouzoug,æфцæггот
435,Ärmel::N,milgin,дыс
436,Hose::N,bragoù,хæлаф
437,Hose::N,bragoù,æддаг хæлаф
438,Hose::N,bragoù,салбар
439,Gürtel::N,gouriz,рон
440,Mütze::N,boned,худ
441,Schuh::N,botez,басмахъ
442,Stiefel::N,botez,цырыхъхъ
443,Ring::N,gwalenn,къухдарӕн
444,Band::N,bagad,лент
445,Kamm::N,krib,сӕрвасӕн
446,Spiegel::N,melezour,айдæн
447,Spiegel::N,melezour,кæсæн
448,Riemen::N,lerenn,гӕрз
449,Schnur::N,kordenn,бӕндӕн
450,Leine::N,roll,
451,Decke::N,golo,хъӕццул
452,Kissen::N,goubenner,баз
453,Tuch::N,mezher,кæлмæрзæн
454,Tuch::N,mezher,кæрдæн
455,Handtuch::N,toailhon,хисæрфæн
