,Concept_ID,te,mhr
297,Platz::N,ఎడము,ку́мдык
298,Ort::N,స్థలము,вер
299,Ort::N,స్థలము,о́лмо
300,Seite::N,ప్రక్క,ӧ́рдыж
301,Mitte::N,నడిమి,покше́л
302,Gegenstand::N,పద్దు,наста́
303,Sache::N,వస్తువు,наста́
304,Rand::N,అంచు,тӱр
305,Kante::N,అంచు,тӱр
306,Ecke::N,మూల,лук
307,Spitze::N,మొన,вуй
308,Ende::N,కొన,муча́ш
309,Loch::N,రంధ్రము,рож
310,Winkel::N,కోణము,лук
311,Muster::N,మాదిరి,пеза́к
312,Muster::N,మాదిరి,узо́р
313,Muster::N,మాదిరి,ӱ́лгӧ
314,Größe::N,పరిమాణము,кӱ́кшыт
315,Länge::N,పొడుగు,ку́тыш
316,Höhe::N,పొడుగు,кӱ́кшыт
317,Gewicht::N,భారము,не́лыт
318,Menge::N,మొత్తము,чот
319,Haufen::N,రాశి,кы́шыл
320,Reihe::N,వరుస,рада́м
321,Boot::N,పడవ,пуш
322,Ruder::N,అడక,эшка́к
323,Schlitten::N,సరవండ్లు,тер
324,Schlitten::N,సరవండ్లు,изде́р
325,Ski::N,స్కీ,е́че
326,Lagerfeuer::N,నెగడు,туло́то
327,Last::N,బరువు,нӧ́лтыш
328,Gang::N,నడక,ошкылма́ш
329,Schritt::N,అడుగు,о́шкыл
330,Norden::N,ఉత్తరదిక్కు,йӱдйыма́л
331,Süden::N,దక్షిణము,кечывалве́л
332,Westen::N,పడమర,касве́л
333,Osten::N,తూర్పు,эрве́л
334,Holz::N,కొయ్య,пу
335,Brett::N,పలక,оҥа́
336,Platte::N,పలక,аста́р
337,Stütze::N,వాల్సేడ్లు,чара́к
338,Stange::N,స్తంభము,лома́ш
339,Stock::N,కఱ్ఱ,тоя́
340,Stab::N,కఱ్ఱ,вара́
341,Stab::N,కఱ్ఱ,кашта́
342,Rohr::N,గొట్టము,пуч
343,Haus::N,ఇల్లు,пӧрт
344,Heim::N,స్వగృహము,мӧ́ҥгӧ
345,Ofen::N,పొయ్యి,комака́
346,Fußboden::N,నేల,кӱва́р
347,Tisch::N,మేజా,ӱсте́л
348,Stuhl::N,కుర్చీ,пӱке́н
349,Wiege::N,ఉయ్యాల,шепка́
350,Bett::N,పడక,ва́кшыш
351,Bett::N,మంచం,ва́кшыш
352,Regal::N,అటక,шӧ́рлык
353,Kiste::N,వెట్టె,шо́ндык
354,Kiste::N,వెట్టె,я́шлык
355,Fenster::N,కిటికి,окна́
356,Tür::N,ద్వారము,омса́
357,Tor::N,ద్వారము,капка́
358,Zaun::N,కంచె,сава́р
359,Dach::N,ఇంటివైకప్పు,леве́дыш
360,Leiter::N,నిచ్చెన,тошка́лтыш
361,Besen::N,చీపురుకట్ట,ӱштерво́штыр
362,Spaten::N,పాఱ,ко́льмо
363,Schaufel::N,పాఱ,сово́к
364,Schaufel::N,పాఱ,су́ско
365,Gabel::N,ముండ్లగరిటె,ви́лке
366,Löffel::N,గరిటె,па́не
367,Löffel::N,గరిటె,совла́
368,Messer::N,కత్తి,кӱ́зӧ
369,Nagel::N,మేకు,пуда́
370,Netz::N,వల,вапш
371,Haken::N,కొక్కెము,са́гыле
372,Griff::N,పిడి,кыл
373,Schloss::N,తాళము,кӧгӧ́н
374,Bild::N,చిత్రము,сӱре́т
375,Figur::N,రూపము,фигу́р
376,Puppe::N,బొమ్మ,курча́к
377,Beutel::N,సంచి,меша́к
378,Bündel::N,మూట,арша́ш
379,Tasche::N,సంచి,сумка́
380,Eimer::N,చేద,ведра́
381,Deckel::N,మూత,ко́мдыш
382,Geschirr::N,వంటకాలు,а́те
383,Sack::N,గోనెసంచి,куль
384,Sack::N,గోనెసంచి,меша́к
385,Tasse::N,గిన్నె,чу́кыр
386,Tasse::N,గిన్నె,чашка́
387,Topf::N,కుండ,ми́ске
388,Kessel::N,నీరుకాచుపాత్ర,под
389,Essen::N,ఆహారము,ко́чкыш
390,Nahrung::N,ఆహారము,ку́рго
391,Speise::N,ఆహారము,ко́чкыш
392,Fleisch::N,మాంసము,шыл
393,Getreide::N,ధాన్యము,шу́рно
394,Brei::N,గుజ్జు,пу́чымыш
395,Brot::N,రొట్టె,ки́нде
396,Scheibe::N,బద్ద,ка́тыш
397,Fett::N,క్రొవ్వు,коя́
398,Butter::N,వెన్న,ӱй
399,Öl::N,నూనె,ӱй
400,Salz::N,ఉప్పు,шинча́л
401,Suppe::N,చారు,шӱр
402,Honig::N,తెనె,мӱй
403,Milch::N,పాలు,шӧр
404,Tee::N,తేనీరు,чай
405,Leder::N,బాగుచేసివతోలు,сура́н
406,Leder::N,బాగుచేసివతోలు,шӱ́штӧ
407,Wolle::N,ఉన్ని,пун
408,Stoff::N,బట్ట,куэ́м
409,Stoff::N,బట్ట,посто́
410,Nadel::N,సూది,и́ме
411,Faden::N,దారము,шӱ́ртӧ
412,Knopf::N,బొత్తాము,по́лдыш
413,Knoten::N,ముడి,пышке́м
414,Farbe::N,రంగు,чия́
415,Kleidung::N,బట్టలు,чие́м
416,Kleidung::N,బట్టలు,вурге́м
417,Hemd::N,చొక్కాయ,ту́выр
418,Kragen::N,మాల,сога́
419,Ärmel::N,చొక్కాయచెయ్యి,шокш
420,Hose::N,ఇజారు,йола́ш
421,Gürtel::N,పటకా,ӱ́штӧ
422,Mütze::N,టోపి,упш
423,Schuh::N,పాదరక్ష,боти́нке
424,Stiefel::N,బూటు,кем
425,Ring::N,ఉంగరము,шерга́ш
426,Band::N,నాడా,тасма́
427,Band::N,నాడా,ле́нте
428,Kamm::N,దువ్వెన,шерге́
429,Spiegel::N,అద్దము,вошто́нчыш
430,Riemen::N,వాడా,кӱзанӱ́штӧ
431,Schnur::N,దారము,кере́м
432,Schnur::N,దారము,кандыра́
433,Leine::N,వారు,вӱра́ҥ
434,Decke::N,కంబళి,леве́дыш
435,Decke::N,కంబళి,одея́л
436,Kissen::N,తలగడ,кӱ́пчык
437,Tuch::N,బట్ట,шо́выч
438,Handtuch::N,తువాలు,со́лык
