,Concept_ID,sk,ca
439,Schaufel::N,lopata,pala
440,Gabel::N,vidlička,forquilla
441,Löffel::N,lyžica,cullera
442,Messer::N,nôž,coltell
443,Nagel::N,klinec,clau
444,Netz::N,sieť,filat
445,Haken::N,hák,ganxo
446,Haken::N,háčik,ganxo
447,Griff::N,rukoväť,puny
448,Griff::N,rukoväť,mànec
449,Schloss::N,zámka,pany
450,Bild::N,obraz,imatge
451,Figur::N,figúra,figura
452,Puppe::N,bábka,nina
453,Puppe::N,bábika,nina
454,Beutel::N,vrece,bossa
455,Beutel::N,vrecko,bossa
456,Bündel::N,uzlík,feix
457,Bündel::N,uzlík,paquet
458,Bündel::N,zväzok,feix
459,Bündel::N,zväzok,paquet
460,Tasche::N,taška,bossa
461,Tasche::N,kabelka,bossa
462,Eimer::N,vedro,galleda
463,Deckel::N,vrchnák,tapa
464,Deckel::N,vrchnák,tapadora
465,Deckel::N,pokrývka,tapa
466,Deckel::N,pokrývka,tapadora
467,Geschirr::N,nádoba,vaixella
468,Sack::N,mech,sac
469,Sack::N,mech,saca
470,Sack::N,vrece,sac
471,Sack::N,vrece,saca
472,Tasse::N,šálka,tassa
473,Topf::N,hrniec,pot
474,Topf::N,hrniec,olla
475,Kessel::N,kotol,caldera
476,Essen::N,jedlo,àpat
477,Essen::N,jedlo,menjada
478,Nahrung::N,strava,aliment
479,Nahrung::N,potrava,aliment
480,Speise::N,jedlo,plat
481,Fleisch::N,mäso,carn
482,Getreide::N,obilie,cereals
483,Brei::N,kaša,puré
484,Brot::N,chlieb,pa
485,Scheibe::N,kotúč,tall
486,Scheibe::N,kotúč,llesca
487,Scheibe::N,krajec,tall
488,Scheibe::N,krajec,llesca
489,Fett::N,tuk,greix
490,Fett::N,masť,greix
491,Butter::N,maslo,mantega
492,Öl::N,olej,oli
493,Salz::N,soľ,sal
494,Suppe::N,polievka,sopa
495,Honig::N,med,mel
496,Milch::N,mlieko,llet
497,Tee::N,čaj,te
498,Leder::N,koža,cuir
499,Wolle::N,vlna,llana
500,Stoff::N,súkno,tela
501,Nadel::N,ihla,agulla
502,Faden::N,niť,fil
503,Faden::N,vlákno,fil
504,Knopf::N,gombík,botó
505,Knoten::N,uzol,nus
506,Farbe::N,farba,pintura
507,Kleidung::N,šaty,roba
508,Kleidung::N,šaty,vestits
509,Kleidung::N,šatstvo,roba
510,Kleidung::N,šatstvo,vestits
511,Hemd::N,košeľa,camisa
512,Kragen::N,golier,coll
513,Ärmel::N,rukáv,màniga
514,Hose::N,nohavice,pantalōns
515,Gürtel::N,pás,cinturó
516,Gürtel::N,opasok,cinturó
517,Mütze::N,čiapka,gorra
518,Schuh::N,obuv,sabata
519,Schuh::N,topánka,sabata
520,Stiefel::N,čižma,bota
521,Ring::N,prsteň,anell
522,Band::N,stuha,veta
523,Band::N,stuha,cinta
524,Kamm::N,hrebeň,pinta
525,Spiegel::N,zrkadlo,mirāll
526,Riemen::N,remeň,corretja
527,Schnur::N,šnúra,corda
528,Leine::N,vodidlo,corretja
529,Decke::N,deka,manta
530,Decke::N,deka,flassada
531,Decke::N,prikrývka,manta
532,Decke::N,prikrývka,flassada
533,Kissen::N,poduška,coixí
534,Tuch::N,šatka,mocador
535,Handtuch::N,uterák,tovallola
536,Kraft::N,moc,força
537,Stärke::N,sila,vigor
538,Gesundheit::N,zdravie,salut
539,Krankheit::N,nemoc,malaltia
540,Krankheit::N,choroba,malaltia
541,Schmerz::N,bolesť,dolor
542,Wunde::N,rana,ferida
543,Fieber::N,horúčka,febre
544,Arznei::N,liek,medicament
545,Brücke::N,most,pont
546,Brunnen::N,studňa,pou
547,Weide::N,pastva,pastura
548,Pfad::N,chodník,senda
549,Pfad::N,chodník,sender
550,Weg::N,cesta,camí
551,Straße::N,hradská,carretera
552,Dorf::N,dedina,poble
553,Stadt::N,mesto,ciutāt
554,Brief::N,list,carta
555,Buch::N,kniha,llibre
556,Buchstabe::N,litera,lletra
557,Buchstabe::N,písmeno,lletra
558,Zeitung::N,noviny,diāri
559,Leben::N,život,vida
560,Tod::N,smrť,mort
561,Grab::N,hrob,tomba
562,Kirche::N,kostol,església
563,Sünde::N,hriech,pecat
564,Gott::N,boh,déu
565,Arbeiter::N,robotník,obrer
566,Arbeiter::N,pracnovík,obrer
567,Chef::N,šéf,cap
568,Chef::N,riaditeľ,cap
569,Meister::N,majster,mestre
570,Arzt::N,lekár,metge
571,Lehrer::N,učiteľ,mestre
572,Geld::N,peniaze,dinērs
573,Geschäft::N,obchod,negoci
574,Laden::N,obchod,tenda
575,Laden::N,obchod,botiga
576,Preis::N,cena,preu
577,Ware::N,tovar,mercaderia
578,Nutzen::N,osoh,profit
579,Nutzen::N,úžitok,profit
580,Reichtum::N,bohatstvo,riquesa
581,Welt::N,svet,món
582,Land::N,územie,país
583,Land::N,krajina,país
584,Staat::N,štát,estat
585,König::N,kráľ,rei
586,Macht::N,moc,poder
587,Macht::N,moc,potència
588,Macht::N,mocnosť,poder
589,Macht::N,mocnosť,potència
590,Grenze::N,hranica,frontera
591,Krieg::N,vojna,guerra
592,Feind::N,nepriateľ,enemic
593,Gewalt::N,násilie,violència
594,Kampf::N,boj,lluita
595,Bogen[Waffe]::N,luk,arc
596,Pfeil::N,šíp,fletxa
597,Pfeil::N,strela,fletxa
598,Gewehr::N,puška,fusell
