,Concept_ID,ce,fi
680,berühmt::A,цӏеяхана,kuuluisa
681,fremd::A,нехан,vieras
682,verschieden::A,тайп-тайпанара,eri
683,verschieden::A,тайп-тайпанара,erilainen
684,nah::A,гергара,läheinen
685,fern::A,гена,etäinen
686,fern::A,генара,etäinen
687,linker::A,аьрру,vasen
688,rechter::A,аьтту,oikea
689,anderer::A,кхин,muu
690,anderer::A,кхин,toinen
691,erster::A,хьалхара,ensimmäinen
692,zweiter::A,шолгIа,toinen
693,dritter::A,кхоалгӏа,kolmas
694,letzter::A,тӏаьххьара,viimeinen
695,allein::ADV,цхьаъ,yksin
696,auf einmal::ADV,цу сохьтта,yhdellä kertaa
697,zusammen::ADV,цхьана,yhdessä
698,lange::ADV,дукха,kauan
699,lange::ADV,дукха,pitkään
700,plötzlich::ADV,цIеххьана,äkkiä
701,sofort::ADV,цу сохьтта,heti
702,später::ADV,тӏаьхьо,myöhemmin
703,jetzt::ADV,хӏинца,nyt
704,heute::ADV,тахана,tänään
705,morgen::ADV,кхана,huomenna
706,bald::ADV,кеста,pian
707,dann::ADV,тӏаккха,sitten
708,gestern::ADV,селхана,eilen
709,einst::ADV,цкъа,aikanaan
710,damals::ADV,хӏетахьь,silloin
711,damals::ADV,хӏетахьь,siihen aikaan
712,danach::ADV,тӏаккха,sen jälkeen
713,vorher::ADV,хьалхa,ennen
714,zuerst::ADV,хьалха,ensin
715,zuerst::ADV,хьалха,ensiksi
716,einmal::ADV,цкъа,kerran
717,manchmal::ADV,цкъаццкъа,joskus
718,oft::ADV,кест-кеста,usein
719,immer::ADV,даим,aina
720,niemals::ADV,цкъа а,ei koskaan
721,hier::ADV,кхузахь,tässä
722,hier::ADV,кхузахь,täällä
723,hierhin::ADV,кхуза,tähän
724,von hier::ADV,кхузара,tästä
725,von hier::ADV,кхузара,täältä
726,dort::ADV,цигахь,siinä
727,dort::ADV,цигахь,siellä
728,dorthin::ADV,цига,sinne
729,dorthin::ADV,цига,tuonne
730,geradeaus::ADV,нийса дӏа,suoraan
731,vorwärts::ADV,хьалха,eteenpäin
732,rückwärts::ADV,юха,taaksepäin
733,zurück::ADV,юха,takaisin
734,unten::ADV,лахахь,alhaalla
735,hinab::ADV,охьа,alas
736,oben::ADV,лакхахь,ylhäällä
737,hinauf::ADV,хьала,ylös
738,überall::ADV,массанхьа,kaikkialla
739,nicht::ADV,ца,ei
