,Concept_ID,az,lt
392,Norden::N,şimal,žiemiai
393,Süden::N,cənub,pietūs
394,Westen::N,qərb,vakarai
395,Osten::N,şərq,rytai
396,Holz::N,ağac,mediena
397,Holz::N,taxta,mediena
398,Brett::N,taxta,lenta
399,Platte::N,lövhə,plokštė
400,Stütze::N,dayaq,atrama
401,Stütze::N,dayaq,atspara
402,Stütze::N,dəstək,atrama
403,Stütze::N,dəstək,atspara
404,Stange::N,şüvül,lazda
405,Stange::N,şüvül,kartis
406,Stock::N,dəyənək,lazda
407,Stab::N,əsa,kartis
408,Stab::N,şüvül,kartis
409,Rohr::N,boru,vamzdis
410,Rohr::N,truba,vamzdis
411,Haus::N,ev,namas
412,Heim::N,ev,namai
413,Ofen::N,peç,krosnis
414,Ofen::N,soba,krosnis
415,Fußboden::N,döşəmə,grindys
416,Tisch::N,masa,stalas
417,Stuhl::N,stul,kėdė
418,Wiege::N,beşik,lopšys
419,Bett::N,yataq,lova
420,Bett::N,yataq,patalai
421,Regal::N,rəf,lentyna
422,Kiste::N,yeşik,dėžė
423,Kiste::N,sandıq,dėžė
424,Fenster::N,pəncərə,langas
425,Tür::N,qapı,durys
426,Tor::N,darvaza,vartai
427,Zaun::N,çəpər,tvora
428,Dach::N,dam,stogas
429,Leiter::N,nərdivan,kopėčios
430,Besen::N,süpürgə,šluota
431,Spaten::N,kürək,lopeta
432,Spaten::N,kürək,kastuvas
433,Schaufel::N,kürək,semtuvas
434,Gabel::N,çəngəl,šakutė
435,Löffel::N,qaşıq,šaukštas
436,Messer::N,bıçaq,peilis
437,Nagel::N,mıx,vinis
438,Netz::N,tor,tinklas
439,Haken::N,çəngəl,vagis
440,Haken::N,çəngəl,kablys
441,Griff::N,qulp,kotas
442,Griff::N,qulp,rankena
443,Griff::N,tutacaq,kotas
444,Griff::N,tutacaq,rankena
445,Schloss::N,qıfıl,spyna
446,Schloss::N,qıfıl,užraktas
447,Bild::N,rəsm,paveikslas
448,Figur::N,şəkil,figūra
449,Figur::N,heykəl,figūra
450,Puppe::N,kukla,lėlė
451,Puppe::N,gəlincik,lėlė
452,Beutel::N,kisə,krepšys
453,Beutel::N,kisə,maišelis
454,Beutel::N,torba,krepšys
455,Beutel::N,torba,maišelis
456,Bündel::N,bağlama,ryšulys
457,Tasche::N,çanta,krepšelis
458,Eimer::N,vedrə,kibiras
459,Eimer::N,çəllək,kibiras
460,Deckel::N,qapaq,dangtis
461,Geschirr::N,qab-qazan,indai
462,Sack::N,çuval,maišas
463,Tasse::N,fincan,puodukas
464,Topf::N,qazan,puodas
465,Kessel::N,qazan,katilas
466,Essen::N,yemək,valgis
467,Nahrung::N,qida,penas
468,Nahrung::N,qida,maistas
469,Speise::N,xörək,patiekalas
470,Fleisch::N,ət,mėsa
471,Getreide::N,taxıl,javai
472,Brei::N,aş,košė
473,Brei::N,sıyıq,košė
474,Brot::N,çörək,duona
475,Scheibe::N,dilim,riekė
476,Fett::N,yağ,taukai
477,Fett::N,yağ,riebalai
478,Butter::N,kərə yağı,sviestas
479,Öl::N,yağ,aliejus
480,Salz::N,duz,druska
481,Suppe::N,şorba,sriuba
482,Honig::N,bal,medus
483,Milch::N,süd,pienas
484,Tee::N,çay,arbata
485,Leder::N,dəri,oda
486,Wolle::N,yun,vilna
487,Stoff::N,qumaş,audeklas
488,Nadel::N,iynə,adata
489,Faden::N,sap,gija
490,Faden::N,sap,siūlas
491,Knopf::N,düymə,saga
492,Knoten::N,düyün,mazgas
493,Farbe::N,boya,dažai
494,Kleidung::N,geyim,rūbai
495,Kleidung::N,geyim,drabužiai
496,Hemd::N,köynək,marškiniai
497,Kragen::N,yaxa,apykaklė
498,Ärmel::N,qol,rankovė
499,Hose::N,şalvar,kelnės
500,Gürtel::N,kəmər,juosta
501,Gürtel::N,kəmər,diržas
502,Mütze::N,şapka,kepurė
503,Schuh::N,tufli,batas
504,Schuh::N,ayaqqabı,batas
505,Stiefel::N,çəkmə,auliniai batai
506,Ring::N,üzük,žiedas
507,Band::N,lent,kaspinas
508,Kamm::N,daraq,šukos
509,Spiegel::N,güzgü,veidrodis
510,Riemen::N,qayış,diržas
511,Schnur::N,ip,virvė
512,Leine::N,kəmsik,pavadėlis
513,Decke::N,ədyal,antklodė
514,Decke::N,yorğan,antklodė
515,Kissen::N,yastıq,pagalvė
516,Kissen::N,yastıq,priegalvis
517,Tuch::N,şarf,skarelė
518,Tuch::N,kaşne,skarelė
519,Handtuch::N,dəsmal,rankšluostis
520,Kraft::N,güc,jėga
521,Stärke::N,qüvvət,stiprumas
522,Gesundheit::N,sağlamlıq,sveikata
523,Krankheit::N,xəstəlik,liga
524,Schmerz::N,ağrı,skausmas
525,Schmerz::N,sancı,skausmas
526,Wunde::N,yara,žaizda
527,Fieber::N,isitmə,karštis
528,Fieber::N,qızdırma,karštis
529,Arznei::N,ilaç,vaistas
530,Arznei::N,dərman,vaistas
531,Brücke::N,körpü,tiltas
532,Brunnen::N,quyu,šulinys
533,Weide::N,otlaq,ganykla
534,Weide::N,otlaq,gluosnis
535,Pfad::N,cığır,takas
536,Weg::N,yol,kelias
537,Straße::N,küçə,gatvė
538,Dorf::N,kənd,kaimas
539,Dorf::N,kənd,sodžius
540,Stadt::N,şəhər,miestas
541,Brief::N,məktub,laiškas
542,Buch::N,kitab,knyga
543,Buchstabe::N,hərf,raidė
544,Zeitung::N,qəzet,laikraštis
545,Leben::N,həyat,gyvybė
546,Leben::N,həyat,gyvenimas
547,Tod::N,ölüm,mirtis
548,Grab::N,qəbir,kapas
549,Kirche::N,kilsə,bažnyčia
550,Sünde::N,günah,nuodėmė
551,Sünde::N,günah,nusidėjimas
552,Gott::N,tanrı,dievas
553,Arbeiter::N,işçi,darbininkas
554,Chef::N,şef,šefas
555,Chef::N,şef,vadovas
556,Chef::N,şef,viršininkas
557,Chef::N,rəis,šefas
558,Chef::N,rəis,vadovas
559,Chef::N,rəis,viršininkas
560,Meister::N,usta,meistras
561,Arzt::N,həkim,gydytojas
562,Arzt::N,doktor,gydytojas
563,Lehrer::N,müəllim,mokytojas
564,Geld::N,pul,pinigai
565,Geschäft::N,ticarət,biznis
566,Laden::N,dükan,krautuvė
567,Laden::N,dükan,parduotuvė
568,Preis::N,qiymət,kaina
569,Ware::N,mal,prekė
570,Nutzen::N,fayda,nauda
571,Nutzen::N,fayda,pelnas
572,Reichtum::N,zənginlik,turtas
573,Welt::N,aləm,pasaulis
574,Welt::N,dünya,pasaulis
575,Land::N,ölkə,žemė
576,Land::N,ölkə,šalis
577,Staat::N,dövlət,valstija
578,König::N,kral,karalius
579,König::N,məlik,karalius
580,Macht::N,qüdrət,galia
581,Macht::N,qüdrət,valdžia
582,Grenze::N,hüdud,riba
583,Grenze::N,hüdud,siena
584,Grenze::N,sərhət,riba
585,Grenze::N,sərhət,siena
586,Krieg::N,hərb,karas
587,Krieg::N,müharibə,karas
588,Feind::N,düşmən,priešas
589,Gewalt::N,cəbr,jėga
590,Gewalt::N,cəbr,smurtas
591,Gewalt::N,cəbr,prievarta
592,Kampf::N,savaş,kova
593,Bogen[Waffe]::N,yay,lankas
594,Pfeil::N,ox,strėlė
595,Gewehr::N,tüfəng,šautuvas
596,Fehler::N,xəta,klaida
597,Lüge::N,yalan,melas
598,Schaden::N,ziyan,nuostolis
599,Schaden::N,ziyan,apgadinimas
600,Unglück::N,bəla,nelaimė
601,Schuld::N,təqsir,kaltė
602,Alter::N,yaş,amžius
603,Schluss::N,son,pabaiga
604,Zeit::N,vaxt,laikas
605,Zeit::N,zaman,laikas
606,Tag::N,gün,diena
607,Morgen::N,sabah,rytas
608,Mittag::N,günorta,vidurdienis
609,Abend::N,axşam,vakaras
610,Nacht::N,gecə,naktis
611,Woche::N,həftə,savaitė
612,Monat::N,ay,mėnuo
613,Jahr::N,il,metai
614,Frühling::N,yaz,pavasaris
615,Frühling::N,bahar,pavasaris
616,Sommer::N,yay,vasara
617,Herbst::N,payız,ruduo
618,Winter::N,qış,žiema
619,Januar::N,Janvar,sausis
620,Februar::N,Fevral,vasaris
621,März::N,Mart,kovas
622,April::N,Aprel,balandis
623,Mai::N,May,gegužė
624,Juni::N,İyun,birželis
625,Juli::N,İyul,liepa
626,August::N,Avqust,rugpjūtis
627,September::N,Sentyabr,rugsėjis
628,Oktober::N,Oktyabr,spalis
629,November::N,Noyabr,lapkritis
630,Dezember::N,Dekabr,gruodis
631,Montag::N,bazar ertəsi,pirmadienis
632,Dienstag::N,çərşənbə axşamı,antradienis
633,Mittwoch::N,çərşənbə,trečiadienis
634,Donnerstag::N,cüme axşamı,ketvirtadienis
635,Freitag::N,cüme,penktadienis
636,Samstag::N,şənbə,šeštadienis
637,Sonntag::N,bazar,sekmadienis
638,groß::A,böyük,didis
639,groß::A,böyük,didelis
640,klein::A,kiçik,mažas
641,lang::A,uzun,ilgas
642,kurz::A,qısa,trumpas
643,breit::A,enli,platus
644,breit::A,geniş,platus
645,schmal::A,dar,smulkus
646,dicht::A,sıx,tankus
647,dick[Gegenstand]::A,qalın,storas
648,dünn::A,nazik,plonas
649,fein::A,incə,smulkus
650,fest::A,bərk,kietas
651,fest::A,bərk,tvirtas
652,fest::A,möhkəm,kietas
653,fest::A,möhkəm,tvirtas
654,flach::A,düz,lėkštas
655,flach::A,düz,plokščias
656,glatt::A,hamar,slidus
657,hart::A,sərt,kietas
658,weich::A,yumşaq,minkštas
659,rund::A,yuvarlaq,apvalus
660,rund::A,yuvarlaq,apskritas
661,spitz::A,uclu,aštrus
662,spitz::A,uclu,smailus
663,spitz::A,sivri,aštrus
664,spitz::A,sivri,smailus
665,scharf::A,kəskin,aštrus
666,stumpf::A,küt,bukas
667,stumpf::A,küt,atšipęs
668,schwer::A,ağır,sunkus
669,schön::A,gözəl,gražus
670,schön::A,gəşəng,gražus
671,heiß::A,isti,karštas
672,warm::A,ilıq,šiltas
673,kalt::A,soyuq,šaltas
674,kühl::A,sərin,vėsus
675,kühl::A,sərin,bejausmis
676,frisch::A,təzə,šviežias
677,feucht::A,nəm,drėgnas
678,nass::A,yaş,šlapias
679,trocken::A,quru,sausas
680,voll::A,dolu,pilnas
681,leer::A,boş,tuščias
682,offen::A,açıq,atviras
