,Concept_ID,eu,cs
239,Asche::N,errauts,popel
240,Dreck::N,satsukeria,špína
241,Eisen::N,burdina,železo
242,Gold::N,urre,zlato
243,Gold::N,urregorri,zlato
244,Silber::N,zilar,stříbro
245,Silber::N,urrezuri,stříbro
246,Kohle::N,ikatz,uhlí
247,Glas::N,beira,sklo
248,Lehm::N,buztin,jíl
249,Lehm::N,buztin,hlína
250,Sand::N,harea,písek
251,Sand::N,hondar,písek
252,Mensch::N,gizaki,člověk
253,Mann::N,gizon,muž
254,Frau::N,andere,žena
255,Frau::N,emakume,žena
256,Kind::N,haur,dítě
257,Junge::N,mutil,hoch
258,Junge::N,mutil,chlapec
259,Mädchen::N,neska,děvče
260,Familie::N,sendi,rodina
261,Familie::N,familia,rodina
262,Großvater::N,aitona,děd
263,Großvater::N,aitona,dědeček
264,Großvater::N,aitatxi,děd
265,Großvater::N,aitatxi,dědeček
266,Großmutter::N,amona,babička
267,Großmutter::N,amatxi,babička
268,Eltern::N,gurasoak,rodiče
269,Vater::N,aita,otec
270,Mutter::N,ama,matka
271,Sohn::N,seme,syn
272,Tochter::N,alaba,dcera
273,Bruder::N,neba,bratr
274,Bruder::N,anaia,bratr
275,Schwester::N,ahizpa,sestra
276,Onkel::N,osaba,strýc
277,Tante::N,izeba,teta
278,Ehemann::N,senar,choť
279,Ehemann::N,senar,manžel
280,Ehefrau::N,emazte,choť
281,Ehefrau::N,emazte,manželka
282,Freude::N,poz,radost
283,Freude::N,pozkari,radost
284,Gelächter::N,barre,smích
285,Gelächter::N,karkara,smích
286,Glück::N,zori,štěstí
287,Kummer::N,xangrin,žal
288,Kummer::N,xangrin,trápení
289,Kummer::N,atsekabe,žal
290,Kummer::N,atsekabe,trápení
291,Wunsch::N,nahi,přání
292,Wunsch::N,nahikunde,přání
293,Lust::N,gogo,chuť
294,Geist::N,gogo,duch
295,Gedanke::N,gogoeta,myšlenka
296,Gedächtnis::N,oroimen,paměť
297,Gedächtnis::N,gogoramen,paměť
298,Verstand::N,adimen,rozum
299,Verstand::N,ulermen,rozum
300,Sinn::N,zentzu,smysl
301,Grund::N,zergati,důvod
302,Wahrheit::N,egia,pravda
303,Gespräch::N,hizketa,rozhovor
304,Gespräch::N,elkarrizketa,rozhovor
305,Märchen::N,ipuin,pohádka
306,Erzählung::N,edesti,povídka
307,Erzählung::N,kontakizun,povídka
308,Nachricht::N,albiste,zpráva
309,Neuigkeit::N,berri,novina
310,Neuigkeit::N,berri,novinka
311,Name::N,izen,jméno
312,Rätsel::N,asmakizun,hádanka
313,Rede::N,hitzaldi,řeč
314,Rede::N,hitzaldi,proslov
315,Rede::N,mintzaldi,řeč
316,Rede::N,mintzaldi,proslov
317,Sprache::N,hizkuntza,řeč
318,Sprache::N,hizkuntza,jazyk
319,Stimme::N,ahots,hlas
320,Wort::N,hitz,slovo
321,Zeichen::N,agerbide,znamení
322,Zeichen::N,agergarri,znamení
323,Ruf::N,dei,zavolání
324,Lärm::N,zarata,hluk
325,Lärm::N,harrabots,hluk
326,Laut::N,hots,zvuk
327,Ton::N,tonu,tón
328,Ton::N,soinu,tón
329,Lied::N,abesti,píseň
330,Ruhe::N,nasaitasun,klid
331,Ruhe::N,nasaitasun,pokoj
332,Leute::N,jende,lidé
333,Volk::N,herri,národ
334,Volk::N,populu,národ
335,Arbeit::N,lan,práce
336,Gast::N,arrotz,host
337,Gast::N,apopilo,host
338,Geschenk::N,opari,dar
339,Spiel::N,jolas,hra
340,Gesellschaft::N,gizarte,společnost
341,Hilfe::N,helpide,pomoc
342,Hilfe::N,laguntza,pomoc
343,Freund::N,lagun,přítel
344,Kamerad::N,adiskide,kamarád
345,Kamerad::N,lagunkide,kamarád
346,Angelegenheit::N,afera,záležitost
347,Anzahl::N,kopuru,počet
348,Art::N,mota,druh
349,Stück::N,puska,kus
350,Stück::N,puska,kousek
351,Teil::N,atal,díl
352,Teil::N,atal,část
353,Hälfte::N,erdi,půl
354,Kreis::N,biribilki,kruh
355,Kreuz::N,gurutze,kříž
356,Linie::N,linea,linka
357,Strich::N,marra,čára
358,Strich::N,marra,čárka
359,Abstand::N,tarte,vzdálenost
360,Entfernung::N,urrunera,vzdálenost
361,Gegend::N,alderdi,krajina
362,Gegend::N,eskualde,krajina
363,Platz::N,leku,prostor
364,Ort::N,toki,místo
365,Seite::N,albo,strana
366,Mitte::N,erdi,střed
367,Mitte::N,erdi,prostředek
368,Gegenstand::N,gauzaki,předmět
369,Sache::N,gauza,věc
370,Rand::N,ertz,kraj
371,Rand::N,ertz,okraj
372,Kante::N,ertz,hrana
373,Ecke::N,kantoi,roh
374,Spitze::N,punta,hrot
375,Spitze::N,punta,špička
376,Ende::N,buru,konec
377,Ende::N,mutur,konec
378,Loch::N,zulo,díra
379,Winkel::N,zoko,kout
380,Winkel::N,bazter,kout
381,Muster::N,eredu,vzor
382,Muster::N,marrazki,vzor
383,Größe::N,kaizu,velikost
384,Größe::N,tamaina,velikost
385,Länge::N,luzera,délka
386,Höhe::N,goiera,výška
387,Höhe::N,garaiera,výška
388,Gewicht::N,hazta,váha
389,Menge::N,kopuru,množství
390,Haufen::N,pila,kupa
391,Haufen::N,pila,hromada
392,Haufen::N,mendoi,kupa
393,Haufen::N,mendoi,hromada
394,Reihe::N,ilara,řada
395,Reihe::N,ilara,řádek
396,Reihe::N,errenkada,řada
397,Reihe::N,errenkada,řádek
398,Boot::N,potin,člun
399,Boot::N,txalupa,člun
400,Ruder::N,arraun,veslo
401,Schlitten::N,lera,sáně
402,Schlitten::N,narra,sáně
403,Ski::N,eski,lyže
404,Lagerfeuer::N,su,táborák
405,Last::N,zama,náklad
406,Last::N,zama,břemeno
407,Last::N,karga,náklad
408,Last::N,karga,břemeno
409,Gang::N,ibilera,chůze
410,Gang::N,ibilera,chodba
411,Schritt::N,pauso,krok
412,Schritt::N,urrats,krok
413,Norden::N,ipar,sever
414,Norden::N,iparralde,sever
415,Süden::N,hego,jih
416,Süden::N,hegoalde,jih
417,Westen::N,sartalde,západ
418,Westen::N,mendebalde,západ
419,Osten::N,ekialde,východ
420,Osten::N,sortalde,východ
421,Holz::N,zur,dřevo
422,Brett::N,ohol,prkno
423,Platte::N,lauza,deska
424,Stütze::N,irozgarri,opěra
425,Stütze::N,bermagailu,opěra
426,Stange::N,haga,tyč
427,Stange::N,haga,tyčka
428,Stock::N,makila,hůlka
429,Stab::N,makila,hůl
430,Rohr::N,hodi,trubka
431,Haus::N,etxe,dům
432,Heim::N,etxe,domov
433,Heim::N,etxaleku,domov
434,Ofen::N,berogailu,kamna
435,Fußboden::N,zoru,podlaha
436,Tisch::N,mahai,stůl
437,Stuhl::N,aulki,židle
438,Wiege::N,kuma,kolébka
439,Wiege::N,sehaska,kolébka
440,Bett::N,ohe,postel
441,Bett::N,ohatze,postel
442,Regal::N,apalategi,regál
443,Regal::N,apalategi,police
444,Kiste::N,kutxa,bedna
445,Fenster::N,leiho,okno
446,Tür::N,ate,dveře
447,Tor::N,atari,vrata
448,Zaun::N,hesi,plot
449,Dach::N,teilatu,střecha
450,Leiter::N,zurubi,žebřík
451,Besen::N,erratz,koště
452,Besen::N,erratz,smeták
453,Spaten::N,burdinpala,rýč
454,Schaufel::N,pala,lopata
455,Gabel::N,sardexka,vidlička
456,Löffel::N,koilara,lžíce
457,Messer::N,aizto,nůž
458,Nagel::N,iltze,hřebík
459,Netz::N,sare,síť
460,Haken::N,mako,hák
