,Concept_ID,en,hi
1046,wohin::FADV,where to,किधर
1047,wohin::FADV,where,किधर
1048,wie::FADV,how,कैसे
1049,warum::FADV,why,क्यों
1050,wieviel::FNUM,how much,कितना
1051,eins::NUM,one,एक
1052,zwei::NUM,two,दो
1053,drei::NUM,three,तीन
1054,vier::NUM,four,चार
1055,fünf::NUM,five,पाँच
1056,sechs::NUM,six,छह
1057,sieben::NUM,seven,सात
1058,acht::NUM,eight,आठ
1059,neun::NUM,nine,नौ
1060,zehn::NUM,ten,दस
1061,elf::NUM,eleven,ग्यारह
1062,zwölf::NUM,twelve,बारह
1063,zwanzig::NUM,twenty,बीस
1064,dreißig::NUM,thirty,तीस
1065,vierzig::NUM,forty,चालीस
1066,fünfzig::NUM,fifty,पचास
1067,sechzig::NUM,sixty,साठ
1068,siebzig::NUM,seventy,सत्तर
1069,achtzig::NUM,eighty,अस्सी
1070,neunzig::NUM,ninety,नव्वे
1071,hundert::NUM,a hundred,सौ
1072,tausend::NUM,a thousand,हज़ार
1073,und::CNJ,and,और
1074,oder::CNJ,or,या
1075,stehen::V,stand,खड़ा होना
1076,sitzen::V,sit,बैठना
1077,liegen::V,lie,लेटना
1078,hängen::V,hang,लटकना
1079,werden::V,become,बनना
1080,passieren::V,happen,होना
1081,beginnen::V,begin,आरंभ होना
1082,beginnen::V,begin,प्रारंभ होना
1083,enden::V,end,अंत होना
1084,enden::V,end,ख़तम होना
1085,wechseln::V,change,बदलना
1086,aufgehen[Sonne]::V,rise,चढ़ना
1087,aufgehen[Sonne]::V,rise,उदित होना
1088,untergehen[Sonne]::V,set,अस्त हो जाना
1089,scheinen[Sonne]::V,shine,रोशनी देना
1090,donnern::V,thunder,गरजना
1091,wehen::V,blow,चलना
1092,strömen::V,stream,बहना
1093,strömen::V,stream,प्रवाहित होना
1094,fließen::V,flow,बहना
1095,fließen::V,flow,प्रवाहित होना
1096,sich drehen::V,revolve,घूमना
1097,schwanken::V,sway,हिलना
1098,schwingen::V,swing,हिलना
1099,fallen::V,fall,गिरना
1100,brennen::V,burn,जलना
1101,rauchen::V,smoke,धुआँ उड़ाना
1102,regnen::V,rain,बरसना
1103,gefrieren::V,freeze,जमना
1104,tauen::V,thaw,गलना
1105,tauen::V,thaw,पिघलना
1106,schmelzen::V,melt,गलना
1107,schmelzen::V,melt,पिघलना
1108,trocknen::V,dry,सूखना
1109,sieden::V,boil,उबलना
1110,faulen::V,rot,गलना
1111,faulen::V,rot,सड़ना
1112,verfaulen::V,decay,गलना
1113,verfaulen::V,decay,सड़ना
1114,reißen::V,snap,फटना
1115,versinken::V,sink,डूबना
1116,vergehen::V,pass,बीतना
1117,vergehen::V,pass,गुज़रना
1118,erscheinen::V,appear,दिखाई देना
1119,verschwinden::V,disappear,ग़ायब होना
1120,sinken::V,drop,घटना
1121,sinken::V,drop,उतरना
1122,abnehmen::V,decrease,घटना
1123,zunehmen::V,increase,बढ़ना
1124,steigen::V,rise,बढ़ना
1125,wachsen::V,grow,उगना
1126,glänzen::V,shine,चमकना
1127,funkeln::V,sparkle,जगमगाना
1128,funkeln::V,sparkle,टिमटिमाना
1129,lärmen::V,be noisy,शोर मचाना
1130,läuten::V,chime,बजना
1131,klingeln::V,ring,बजना
1132,klirren::V,tinkle,झनझनाना
1133,brausen::V,roar,साँय-साँय करना
1134,rauschen::V,rustle,सरसराना
1135,klingen::V,sound,बजना
1136,bellen::V,bark,भौंकना
1137,heulen::V,howl,गुर्राना
1138,blasen::V,blow,फूँकना
1139,pfeifen::V,whistle,सीटी देना
1140,schreien::V,shout,चिल्लाना
1141,stöhnen::V,groan,कराहना
1142,stöhnen::V,groan,आहें भरना
1143,zittern::V,tremble,काँपना
1144,leben::V,be alive,जीना
1145,geboren werden::V,be born,पैदा होना
1146,atmen::V,breathe,साँस लेना
1147,trinken::V,drink,पीना
1148,essen::V,eat,खाना
1149,schlucken::V,swallow,निगलना
1150,müde werden::V,get tired,थकना
1151,müde werden::V,get tired,उकताना
1152,einschlafen::V,fall asleep,सो जाना
1153,schlafen::V,sleep,सोना
1154,aufwachen::V,wake up,जागना
1155,aufstehen::V,get up,उठना
1156,sich erholen::V,relax,सुस्ताना
1157,sich erholen::V,relax,आराम करना
1158,krank werden::V,fall ill,बीमार पड़ना
1159,krank sein::V,be ill,बीमार होना
1160,schmerzen::V,ache,दुखना
1161,schmerzen::V,ache,दर्द करना
1162,husten::V,cough,खाँसना
1163,genesen::V,recover,ठीक हो जाना
1164,genesen::V,recover,स्वस्थ हो जाना
1165,sterben::V,die,मरना
1166,umkommen::V,perish,मरना
1167,sich bewegen::V,move,चलना
1168,sich bewegen::V,move,हिलना
1169,sich rühren::V,budge,हिलना
1170,sich erheben::V,stand up,उठना
1171,sich setzen::V,sit down,बैठना
1172,hinfallen::V,tumble,गिरना
1173,laufen::V,walk,चलना
1174,schreiten::V,pace,क़दम जाना
1175,spazierengehen::V,go for a walk,सैर करना
1176,eilen::V,rush,तेज़ी से जाना
1177,eilen::V,rush,शीघ्रता से चलना
1178,sich beeilen::V,hurry,जल्दी करना
1179,sich beeilen::V,hurry,शीघ्रता करना
1180,sausen::V,dash,बड़ी तेज़ी से चलना
1181,rennen::V,run,भागना
1182,rennen::V,run,दौड़ना
1183,springen::V,jump,उछलना
1184,klettern::V,climb,चढ़ना
1185,schaukeln::V,seesaw,झूलना
1186,kriechen::V,creep,रेंगना
1187,schwimmen::V,swim,तैरना
1188,tauchen::V,dive,डूबना
1189,rudern::V,row,खेना
1190,rudern::V,row,चप्पू चलाना
1191,fahren::V,drive,चलना
1192,fahren::V,drive,यात्रा करना
1193,fliegen::V,fly,उड़ना
1194,gehen::V,go,जाना
1195,weggehen::V,go away,चला जाना
1196,weggehen::V,go away,बाहर जाना
1197,abfahren::V,depart,छूटना
1198,abfahren::V,depart,रवाना होना
1199,anhalten::V,stop,रुकना
1200,anhalten::V,stop,खड़ा होना
1201,hineingehen::V,go in,घुसना
1202,hineingehen::V,go in,अंदर जाना
1203,eintreten::V,enter,प्रवेश करना
1204,kommen::V,come,आना
1205,ankommen::V,arrive,पहुँचना
1206,zurückkommen::V,come back,लौटना
1207,zurückkommen::V,come back,वापस आना
1208,bleiben::V,stay,रहना
1209,bleiben::V,stay,रुकना
1210,warten::V,wait,इंतज़ार करना
1211,erwarten::V,wait for,प्रतीक्षा करना
1212,suchen::V,seek,ढूँढ़ना
1213,suchen::V,look for,ढूँढ़ना
1214,finden::V,find,पाना
1215,finden::V,find,ढूँढ़ निकालना
1216,versuchen::V,try,कोशिश करना
1217,vorbereiten::V,prepare,तैयार करना
1218,lieben::V,love,प्यार करना
1219,mögen::V,like,पसंद होना
1220,lachen::V,laugh,हँसना
1221,rühren::V,move,छूना
1222,weinen::V,weep,रोना
1223,schimpfen::V,grumble,गाली देना
1224,sich ärgern::V,be annoyed,चिढ़ना
1225,sich ärgern::V,be annoyed,नाराज़ होना
1226,sich fürchten::V,be afraid,डरना
1227,sich fürchten::V,be afraid,भय खाना
1228,fürchten::V,be afraid of,डरना से
1229,fürchten::V,be afraid of,भय खाना से
1230,fliehen::V,flee,भागना
1231,flüchten::V,escape,निकल भागना
1232,sehen::V,see,देखना
1233,anschauen::V,look at,देखना
1234,ansehen::V,watch,दृष्टि डालना पर
1235,hören::V,hear,सुनना
1236,zuhören::V,listen,सुनना
1237,probieren::V,taste,चखना
1238,riechen::V,smell,सूँघना
1239,fühlen::V,feel,महसूस करना
1240,scheinen::V,seem,लगना
1241,zu sehen sein::V,show,दिखाई देना
1242,vernehmen::V,hear,सुनना
1243,frieren::V,be cold,ठंड लगना
1244,frieren::V,be cold,सर्दी लगना
1245,tun::V,do,करना
1246,können::V,can,सकना
1247,können::V,can,जानना
1248,wollen::V,want,चाहना
1249,anfangen::V,start,शुरू करना
1250,beenden::V,finish,ख़त्म करना
1251,beenden::V,finish,समाप्त करना
1252,aufhören::V,stop,बंद जाना
1253,aufhören::V,stop,समाप्त जाना
1254,gelingen::V,succeed,बनना
1255,gelingen::V,succeed,अच्छा होना
1256,geraten::V,turn out,बन पड़ना
1257,öffnen::V,open,खोलना
1258,schließen::V,close,बंद करना
1259,stellen::V,put,रखना
1260,setzen::V,place,रखना
1261,setzen::V,place,बिठाना
1262,legen::V,lay,रखना
1263,legen::V,lay,लिटाना
1264,berühren::V,touch,छूना
1265,berühren::V,touch,स्पर्श करना
1266,verbinden::V,connect,बाँधना
1267,bedecken::V,cover,ढकना
1268,aufhängen::V,hang up,लटकाना
1269,anzünden::V,light,जलाना
1270,aufheben::V,pick up,उठाना
1271,zurücklassen::V,leave,पीछे छोड़ना
1272,verlieren::V,lose,खोना
1273,verlieren::V,lose,गँवाना
1274,fallen lassen::V,drop,गिराना
1275,machen::V,make,करना
