,Concept_ID,myv,lbe
707,gut::A,паро,ххуйсса
708,schlecht::A,берянь,оьккисса
709,richtig::A,виде,саргъунсса
710,schlimm::A,берянь,оьккисса
711,wahr::A,алкуксонь,хӏакьсса
712,alt::A,ташто,кугьнасса
713,neu::A,од,цӏусса
714,ehemalig::A,икелень,хъхъичӏвасса
715,alt[Lebewesen]::A,сыре,агьилсса
716,jung::A,од,чӏавасса
717,jung::A,од,жагьилсса
718,arm::A,кажов,мискинсса
719,reich::A,сюпав,авадансса
720,bekannt::A,содавикс,дусъсса
721,berühmt::A,содавикс,машгьурсса
722,fremd::A,лия,чил
723,fremd::A,асодавикс,чил
724,verschieden::A,эрьва,личӏи-личӏисса
725,nah::A,а васолонь,гъансса
726,fern::A,умонь,архсса
727,fern::A,кезэрень,архсса
728,linker::A,керш,кияхсса
729,linker::A,керш,кюччахсса
730,rechter::A,вить,урчӏахсса
731,anderer::A,лия,цамур
732,erster::A,васень,цалчинмур
733,erster::A,васень,цалчиннсса
734,erster::A,васенце,цалчинмур
735,erster::A,васенце,цалчиннсса
736,zweiter::A,омбоце,кӏилчиимур
737,dritter::A,колмоце,шамулчинмур
738,letzter::A,меельце,махъва-махъмур
739,allein::ADV,башка,ялгъузну
740,allein::ADV,ськамонзо,ялгъузну
741,auf einmal::ADV,вейсэ,
742,zusammen::ADV,вейс,цачӏу
743,zusammen::ADV,вейс,архӏал
