,Concept_ID,uk,vep
539,Herbst::N,осінь,sügüz'
540,Winter::N,зима,tal'v
541,Januar::N,січень,viluku
542,Februar::N,лютий,uhoku
543,März::N,березень,keväz'ku
544,April::N,квітень,sulaku
545,Mai::N,травень,semendku
546,Juni::N,червень,kezaku
547,Juli::N,липень,heinku
548,August::N,серпень,eloku
549,September::N,вересень,sügüz'ku
550,Oktober::N,жовтень,reduku
551,November::N,листопад,kül'mku
552,Dezember::N,грудень,tal'vku
553,Montag::N,понеділок,ezmärg
554,Dienstag::N,вівторок,tožnarg
555,Mittwoch::N,середа,koumanz'päiv
556,Donnerstag::N,четвер,nellänz'päiv
557,Freitag::N,п’ятниця,pätnič
558,Freitag::N,п’ятниця,videnz'päiv
559,Samstag::N,субота,sobat
560,Sonntag::N,неділя,pühäpäiv
561,groß::A,великий,sur'
562,groß::A,великий,järed
563,klein::A,малий,pen'
564,klein::A,малий,pičuine
565,klein::A,маленький,pen'
566,klein::A,маленький,pičuine
567,lang::A,довгий,pit'k
568,kurz::A,короткий,lühüd
569,breit::A,широкий,leved
570,schmal::A,вузький,kaid
571,dicht::A,густий,tihed
572,dick[Gegenstand]::A,товстий,paks
573,dünn::A,тонкий,hoik
574,fein::A,дрібний,hen
575,fest::A,міцний,luja
576,fest::A,міцний,ninev
577,flach::A,плоский,lapak
578,glatt::A,рівний,siled
579,glatt::A,гладенький,siled
580,hart::A,твердий,kova
581,weich::A,м’який,pehmed
582,rund::A,круглий,kehker
583,spitz::A,гострокінцевий,nügu
584,spitz::A,гострокінцевий,terav
585,scharf::A,гострий,terav
586,stumpf::A,тупий,tül'c
587,schwer::A,важкий,jüged
588,schön::A,вродливий,čoma
589,heiß::A,жаркий,räk
590,heiß::A,гарячий,räk
591,warm::A,теплий,läm'
592,kalt::A,холодний,vilu
593,kühl::A,прохолодний,raibak
594,kühl::A,прохолодний,viluhk
595,frisch::A,свіжий,lahed
596,feucht::A,вогкий,neps
597,feucht::A,вогкий,toreh
598,nass::A,мокрий,märg
599,trocken::A,сухий,kuiv
600,voll::A,повний,täuz'
601,leer::A,пустий,joudai
602,offen::A,відкритий,avoin
603,offen::A,відкритий,avol'jaine
604,geschlossen::A,закритий,saubaline
605,geschlossen::A,зачинений,saubaline
606,sauber::A,чистий,puhtaz
607,sauber::A,охайний,puhtaz
608,schmutzig::A,брудний,redukaz
609,roh::A,сирий,rohk
610,roh::A,сирий,toreh
611,reif::A,зрілий,küps
612,lecker::A,смачний,magukaz
613,süß::A,солодкий,maged
614,bitter::A,гіркий,karged
615,sauer::A,кислий,muiged
616,hell::A,світлий,kirkas
617,hell::A,світлий,valgei
618,dunkel::A,темний,pimed
619,schwarz::A,чорний,must
620,weiß::A,сивий,vauged
621,rot::A,червоний,rusked
622,gelb::A,жовтий,pakuine
623,blau::A,синій,sinine
624,grün::A,зелений,vihand
625,grau::A,сірий,hahk
626,bunt::A,барвистий,kirjav
627,billig::A,дешевий,odav
628,teuer::A,дорогий,kalliž
629,wertvoll::A,цінний,arvokas
630,blind::A,сліпий,soged
631,taub::A,глухий,kurdiž
