,Concept_ID,hi,mdf
762,Sünde::N,पाप,муворкс
763,Sünde::N,गुनाह,пежеть
764,Sünde::N,गुनाह,муворкс
765,Gott::N,देव,шкай
766,Gott::N,ईश्वर,шкай
767,Arbeiter::N,मज़दूर,трудендай
768,Arbeiter::N,मज़दूर,работник
769,Chef::N,अध्यक्ष,азор
770,Chef::N,अध्यक्ष,оцюня
771,Meister::N,शिल्पज्ञ,мастяр
772,Arzt::N,वैद्य,врач
773,Arzt::N,वैद्य,доктор
774,Arzt::N,डॉक्टर,врач
775,Arzt::N,डॉक्टर,доктор
776,Arzt::N,चिकित्सक,врач
777,Arzt::N,चिकित्सक,доктор
778,Lehrer::N,शिक्षक,учи́тель
779,Lehrer::N,अध्यापक,учи́тель
780,Geld::N,धन,ярмакт
781,Geld::N,पैसा,ярмакт
782,Geschäft::N,सौदा,ладяфкс
783,Geschäft::N,सौदा,ладяф тев
784,Geschäft::N,व्यापार,ладяфкс
785,Geschäft::N,व्यापार,ладяф тев
786,Laden::N,दुकान,ла́вка
787,Preis::N,दाम,питне
788,Preis::N,मूल्य,питне
789,Ware::N,माल,миф
790,Ware::N,माल,ра́маф
791,Ware::N,पण्य,миф
792,Ware::N,पण्य,ра́маф
793,Nutzen::N,लाभ,пара
794,Nutzen::N,लाभ,лезкс
795,Nutzen::N,फ़ायदा,пара
796,Nutzen::N,फ़ायदा,лезкс
797,Reichtum::N,धन,ко́зяши
798,Reichtum::N,दौलत,ко́зяши
799,Welt::N,विश्व,свет
800,Welt::N,दुनिया,свет
801,Land::N,देश,мастор
802,Land::N,मुल्क,мастор
803,Staat::N,राज्य,государства
804,Staat::N,राष्ट्र,государства
805,König::N,राजा,король
806,König::N,बादशाह,король
807,Macht::N,शासन,азорондама
808,Macht::N,शासन,азорксши
809,Macht::N,सत्ता,азорондама
810,Macht::N,सत्ता,азорксши
811,Grenze::N,सरहद,ёткаян
812,Krieg::N,जंग,война́
813,Krieg::N,युद्ध,война́
814,Feind::N,शत्रु,душман
815,Feind::N,शत्रु,каршек тюри
816,Feind::N,दुश्मन,душман
817,Feind::N,दुश्मन,каршек тюри
818,Gewalt::N,हिंसा,наругама
819,Kampf::N,लड़ाई,тюрема́
820,Kampf::N,संघर्ष,тюрема́
821,Bogen[Waffe]::N,कमान,нал
822,Pfeil::N,बान,нал
823,Gewehr::N,बंदूक़,винто́вка
824,Fehler::N,भूल,эльбядькс
825,Fehler::N,ग़लती,эльбядькс
826,Lüge::N,झूठ,васькафнема
827,Lüge::N,असत्य,васькафнема
828,Schaden::N,हानि,зия́н
829,Schaden::N,नुक़सान,зия́н
830,Unglück::N,मुसीबत,зия́н
831,Unglück::N,विपात्ति,зия́н
832,Schuld::N,दोष,муворши
833,Schuld::N,क़सूर,муворши
834,Alter::N,आयु,эряф кизот
835,Alter::N,आयु,эряфонь пинге
836,Alter::N,उम्र,эряф кизот
837,Alter::N,उम्र,эряфонь пинге
838,Schluss::N,अंत,пе
839,Schluss::N,समाप्ति,пе
840,Zeit::N,काल,пинге
841,Zeit::N,वक़्त,пинге
842,Tag::N,दिन,ши
843,Tag::N,रोज़,ши
844,Morgen::N,सुबह,шобдава
845,Mittag::N,दोपहर,шикучка
846,Mittag::N,मध्याह्न,шикучка
847,Abend::N,शाम,иля́дь
848,Abend::N,संध्या,иля́дь
849,Nacht::N,रात,ве
850,Nacht::N,रात्रि,ве
851,Woche::N,हफ़्ता,недя́ля
852,Monat::N,मास,ков
853,Monat::N,महीना,ков
854,Jahr::N,बरस,киза
855,Jahr::N,वर्ष,киза
856,Frühling::N,वसंत,тунда́
857,Sommer::N,गरमी,киза
858,Sommer::N,ग्रीष्म,киза
859,Herbst::N,शरत्,сёксе
860,Herbst::N,पतझड़,сёксе
861,Winter::N,जाड़ा,тяла
862,Winter::N,सर्दियाँ,тяла
863,Januar::N,जनवरी,кельмеков
864,Februar::N,फ़रवरी,уфайков
865,März::N,मार्च,марайков
866,April::N,अप्रैल,шудиков
867,Mai::N,मई,панжиков
868,Juni::N,जून,лямбеков
869,Juli::N,जुलाई,псиков
870,August::N,अगस्त,сёроньков
871,September::N,सितंबर,тюжягов
872,Oktober::N,अक्तूबर,кельмазаков
873,November::N,नवंबर,эйндамков
874,Dezember::N,दिसंबर,кучкаков
875,Montag::N,पीर,одговши
876,Montag::N,सोमवार,одговши
877,Dienstag::N,मंगलवार,ша́вши
878,Mittwoch::N,बुधवार,вержи
879,Donnerstag::N,गुरुवार,шува́ланя
880,Donnerstag::N,बृहस्पतिवार,шува́ланя
881,Freitag::N,शुक्रवार,пя́денця
882,Samstag::N,सनीचर,ёткши
883,Samstag::N,शनिवार,ёткши
884,Sonntag::N,इतवार,таргоши
885,Sonntag::N,रविवार,таргоши
886,groß::A,बड़ा,оцю
887,klein::A,कम,ёмла
888,klein::A,छोटा,ёмла
889,lang::A,लंबा,кува́ка
890,lang::A,दीर्घ,кува́ка
891,kurz::A,लधु,нюрьхкя́ня
892,kurz::A,छोटा,нюрьхкя́ня
893,breit::A,चौड़ा,кели
894,schmal::A,तंग,тяйня
895,schmal::A,सँकरा,тяйня
896,dicht::A,सघन,сиде
897,dicht::A,सघन,туста
898,dick[Gegenstand]::A,मोटा,эчке
899,dünn::A,महीन,шува́ня
900,dünn::A,बारीक,шува́ня
901,fein::A,कोमल,шува́ня
902,fein::A,सूक्ष्म,шува́ня
903,fest::A,दृढ़,кеме
904,fest::A,मज़बूत,кеме
905,flach::A,चपटा,лапш
906,glatt::A,चौरस,вадяв
907,glatt::A,चौरस,такор
908,glatt::A,चिकना,вадяв
909,glatt::A,चिकना,такор
910,hart::A,कठोर,калгода
911,hart::A,सख़्त,калгода
912,weich::A,नरम,ляпе
913,weich::A,मुलायम,ляпе
914,rund::A,गोल,кру́глай
915,rund::A,वर्तुल,кру́глай
916,spitz::A,नुकीला,ботаз
917,spitz::A,नुकीला,оржа
918,scharf::A,पैना,оржа
919,stumpf::A,भोथरा,ношка
920,schwer::A,भारी,стака
921,schwer::A,वज़नी,стака
922,schön::A,सुंदर,мазы
923,heiß::A,उष्ण,пси
924,warm::A,गरम,лямбе
925,kalt::A,सर्द,кельме
926,kühl::A,ठंडा,эше
927,frisch::A,तर,свежай
928,frisch::A,ताज़ा,свежай
929,feucht::A,नम,летьке
930,feucht::A,भीगा,летьке
931,nass::A,गीला,начка
932,trocken::A,सूखा,коське
933,trocken::A,ख़ुश्क,коське
934,voll::A,भरा,пяшксе
935,voll::A,पूरा,пяшксе
936,leer::A,ख़ाली,шава
937,offen::A,खुला,панжада
938,offen::A,खुला,виде
939,geschlossen::A,बंद,пякстаф
940,geschlossen::A,बंद,сёлгф
941,sauber::A,साफ़,ару
942,sauber::A,सुथरा,ару
943,schmutzig::A,गंदा,рда́зу
944,schmutzig::A,गंदा,пя́ндра
945,roh::A,कच्चा,верок
946,reif::A,पक्व,ке́нерьф
947,reif::A,पक्का,ке́нерьф
948,lecker::A,मज़ेदार,танцти
949,lecker::A,स्वादिष्ट,танцти
950,süß::A,मीठा,ламбама
951,bitter::A,कटु,сяпи
952,bitter::A,कड़वा,сяпи
953,sauer::A,खट्टा,шапама
954,hell::A,रोशन,валда
955,dunkel::A,अँधेरा,шобда
956,schwarz::A,काला,равжа
957,schwarz::A,स्याह,равжа
958,weiß::A,सफ़ेद,акша
959,rot::A,लाल,якстерь
960,rot::A,सुर्ख़,якстерь
961,gelb::A,पीला,тюжя́
962,gelb::A,ज़र्द,тюжя́
963,blau::A,नीला,сенем
964,blau::A,आसमानी,сенем
965,grün::A,हरा,пиже
966,grün::A,हरा,сянгяря
967,grau::A,धूसर,уле
968,bunt::A,रंगीन,сёрмав
969,bunt::A,बहुरंगा,сёрмав
970,billig::A,सस्ता,у́цез
971,billig::A,सस्ता,аф пи́тни
972,teuer::A,महँगा,пи́тни
973,wertvoll::A,क़ीमती,питни
974,wertvoll::A,मूल्यवान्,питни
975,blind::A,अंधा,сокор
976,taub::A,बहरा,пярав
977,kräftig::A,ताक़तवर,пяк вии
978,kräftig::A,शक्तिशाली,пяк вии
979,stark::A,प्रबल,вии
980,stark::A,बलवान्,вии
981,schwach::A,कमज़ोर,лафча
982,fett::A,मोटा,куя́
983,fett::A,मांसल,куя́
984,schlank::A,पतला,виде ронга
985,schlank::A,छरहरा,виде ронга
986,hübsch::A,सुंदर,мазы
987,hübsch::A,ख़ूबसूरत,мазы
988,böse::A,पापी,кяжи
989,böse::A,दुष्ट,кяжи
990,dumm::A,मूर्ख,аф ёню
991,dumm::A,मूर्ख,шава пря
992,dumm::A,बुद्धू,аф ёню
993,dumm::A,बुद्धू,шава пря
994,faul::A,आलसी,нола
995,faul::A,सुस्त,нола
996,fleißig::A,मेहनती,ку́лхцонды
997,fleißig::A,परिश्रमी,ку́лхцонды
998,geizig::A,कृपण,кирьжя
999,geizig::A,कृपण,жаднай
1000,geizig::A,कंजूस,кирьжя
1001,geizig::A,कंजूस,жаднай
1002,klug::A,समझदार,ёню
1003,klug::A,समझदार,пря́ви
1004,klug::A,होशियार,ёню
1005,klug::A,होशियार,пря́ви
1006,klug::A,अक़्लमंद,ёню
1007,klug::A,अक़्लमंद,пря́ви
1008,geschickt::A,किशल,маштозь тиф
1009,lieb::A,प्रिय,цебярь
1010,lieb::A,प्यारा,цебярь
1011,lustig::A,हँसमुख,ра́хси
1012,lustig::A,ख़ुशदिल,ра́хси
1013,sanft::A,नम्र,сетьме
1014,hungrig::A,भूखा,вача
1015,hungrig::A,भूखा,вачеда
1016,krank::A,बीमार,сяряди
1017,krank::A,अस्वस्थ,сяряди
1018,nackt::A,नग्न,штада
1019,nackt::A,नग्न,кърхтапа
1020,traurig::A,उदास,ла́жнай
1021,traurig::A,रंजीदा,ла́жнай
1022,lebendig::A,जीता,эряй
1023,lebendig::A,ज़िंदा,эряй
1024,gut::A,अच्छा,пара
1025,gut::A,अच्छा,цебярь
1026,schlecht::A,बुरा,кальдяв
1027,schlecht::A,ख़राब,кальдяв
1028,richtig::A,ठीक,виде
1029,schlimm::A,बुरा,кальдяв
1030,schlimm::A,अप्रिय,кальдяв
1031,wahr::A,सच,афкуксонь
1032,alt::A,पुराना,ташта
1033,neu::A,नया,од
1034,ehemalig::A,भूतपूर्व,и́нгольдень
1035,alt[Lebewesen]::A,बूढ़ा,сире
1036,alt[Lebewesen]::A,वृद्ध,сире
1037,jung::A,जवान,од
1038,arm::A,ग़रीब,а́шу
1039,reich::A,धनी,козя
1040,reich::A,अमीर,козя
1041,bekannt::A,मालूम,содаф
1042,berühmt::A,मशहूर,содавикс
1043,berühmt::A,प्रसिद्ध,содавикс
1044,fremd::A,विदेशी,лия
1045,fremd::A,विदेशी,аф содаф
1046,fremd::A,अपरिचित,лия
1047,fremd::A,अपरिचित,аф содаф
1048,verschieden::A,अलग,аф фкя ла́цонь
1049,verschieden::A,भिन्न,аф фкя ла́цонь
1050,nah::A,नज़दीकी,мала
1051,nah::A,नज़दीकी,аф ичкоздень
1052,fern::A,दूर,и́чкоздень
1053,fern::A,दूर,куна́рдонь
1054,fern::A,दूरस्थ,и́чкоздень
1055,fern::A,दूरस्थ,куна́рдонь
1056,linker::A,बायाँ,кержи
1057,rechter::A,दायाँ,види
1058,rechter::A,दाहिना,види
1059,anderer::A,अन्य,лия
1060,anderer::A,दूसरा,лия
1061,erster::A,पहला,васенце
1062,erster::A,प्रथम,васенце
1063,zweiter::A,दूसरा,омбоце
1064,zweiter::A,द्वितीय,омбоце
1065,dritter::A,तीसरा,колмоце
1066,letzter::A,अंतिम,ме́кольце
1067,letzter::A,आख़िरी,ме́кольце
1068,allein::ADV,तनहा,ськамонза
1069,allein::ADV,अकेले,ськамонза
1070,auf einmal::ADV,वक़्त में,вихцок
1071,zusammen::ADV,एक साथ,марс
1072,zusammen::ADV,एक साथ,ма́рса
1073,zusammen::ADV,साथ साथ,марс
1074,zusammen::ADV,साथ साथ,ма́рса
1075,lange::ADV,देर तक,кува́тьс
1076,plötzlich::ADV,सहसा,а́пак учт
1077,plötzlich::ADV,अचानक,а́пак учт
1078,sofort::ADV,तुरंत,тяникиге
1079,später::ADV,बाद को,ме́ле
1080,später::ADV,बाद में,ме́ле
1081,jetzt::ADV,अब,тяни
1082,jetzt::ADV,अभी,тяни
1083,heute::ADV,आज,тячи
1084,morgen::ADV,कल,ва́нды
1085,bald::ADV,जल्दी,курок
1086,dann::ADV,तब,меле
1087,dann::ADV,तब,сяда меле
1088,gestern::ADV,कल,ися́к
1089,einst::ADV,एक दिन,весть
1090,einst::ADV,एक दिन,мзя́рда-бди
1091,einst::ADV,पहले कभी,весть
1092,einst::ADV,पहले कभी,мзя́рда-бди
1093,damals::ADV,उस समय,эста
1094,damals::ADV,उन दिनों,эста
1095,danach::ADV,इसके बाद,меле
1096,danach::ADV,इसके पश्चात्,меле
1097,vorher::ADV,पहले,инголи
1098,vorher::ADV,पेशतर,инголи
1099,zuerst::ADV,पहले,ва́сенда
1100,einmal::ADV,एक बार,весть
1101,einmal::ADV,एक दफ़ा,весть
1102,manchmal::ADV,कभी कभी,лия́ста
1103,manchmal::ADV,कभी कभी,ко́ста-ко́ста
1104,oft::ADV,अक्सर,си́деста
1105,immer::ADV,सदा,фалу
1106,immer::ADV,सदा,най
1107,immer::ADV,हमेशा,фалу
1108,immer::ADV,हमेशा,най
1109,niemals::ADV,कभी नहीं,аф мзя́рдонга
1110,niemals::ADV,कदापि नहीं,аф мзя́рдонга
1111,hier::ADV,इधर,тяса
1112,hier::ADV,यहाँ,тяса
1113,hierhin::ADV,इधर को,сей
1114,hierhin::ADV,इधर को,тяза
1115,hierhin::ADV,यहाँ को,сей
1116,hierhin::ADV,यहाँ को,тяза
1117,von hier::ADV,यहाँ से,тя́ста
1118,dort::ADV,उधर,тоса
1119,dort::ADV,वहाँ,тоса
1120,dorthin::ADV,उधर को,тов
1121,dorthin::ADV,उधर को,тоза
1122,dorthin::ADV,वहाँ को,тов
1123,dorthin::ADV,वहाँ को,тоза
1124,geradeaus::ADV,सीधे,ви́деста
1125,vorwärts::ADV,आगे,и́нголи
1126,vorwärts::ADV,आगे को,и́нголи
1127,rückwärts::ADV,पीछे को,ме́ки
1128,zurück::ADV,वापस,ме́ки
1129,unten::ADV,नीचे,ала
1130,hinab::ADV,नीचे को,алу
1131,oben::ADV,ऊपर,вяре
1132,hinauf::ADV,ऊपर को,вяри
1133,überall::ADV,हर जगह,се́мбе ва́стова
1134,überall::ADV,हर स्थान,се́мбе ва́стова
1135,nicht::ADV,न,аф
1136,nicht::ADV,नहीं,аф
1137,ein wenig::ADV,कुछ,аф лама
1138,ein wenig::ADV,ज़रा,аф лама
1139,ein wenig::ADV,थोड़ा,аф лама
1140,kaum::ADV,लगभग नहीं,а́ньцек
1141,kaum::ADV,बराबर नहीं,а́ньцек
1142,sehr::ADV,बहुत,пяк
