,Concept_ID,udm,mrj
552,Unglück::N,шудтэме усён,пёда
553,Unglück::N,шудтэме усён,тымаша
554,Schuld::N,янгыш,вуйнамат
555,Alter::N,арлыд,иӓш
556,Alter::N,арлыд,игечӹ
557,Schluss::N,пум,пӹтӓртӹш
558,Zeit::N,дыр,веремӓ
559,Tag::N,нунал,кечӹ
560,Morgen::N,ӵукна,ир
561,Morgen::N,ӵукна,ирок
562,Mittag::N,лымшор,кечӹвӓл
563,Abend::N,ӝыт,вады
564,Abend::N,акшан,вады
565,Nacht::N,уй,йыд
566,Woche::N,арня,ӓрня
567,Monat::N,толэзь,тӹ́лзӹ
568,Jahr::N,ар,год
569,Frühling::N,тулыс,шошым
570,Sommer::N,гужем,кӓнгӹж
571,Herbst::N,сӥзьыл,шӹжӹ
572,Winter::N,тол,тел
573,Winter::N,тол,телӹ
574,Januar::N,выльартолэзь,январ
575,Januar::N,выльартолэзь,январь
576,Februar::N,тулыспал,февраль
577,März::N,южтолэзь,март
578,April::N,оштолэзь,апрель
579,Mai::N,куартолэзь,май
580,Juni::N,вожотолэзь,июнь
581,Juli::N,пӧсьтолэзь,июль
582,August::N,гудырикошкон,август
583,September::N,куарусён,сентябрь
584,Oktober::N,выльӝуктолэзь,октябрь
585,November::N,шуркынмон,ноябрь
586,Dezember::N,толсур,декавыр
587,Montag::N,вордӥськон,шачмы
588,Dienstag::N,вторник,кышкыжмы
589,Mittwoch::N,вирнунал,вӹрчегӹ
590,Donnerstag::N,покчиарня,изӓрня
591,Freitag::N,удмуртарня,когарня
592,Samstag::N,кӧснунал,кукшыгечӹ
593,Sonntag::N,арня,рушӓрня
594,groß::A,бадӟым,кого
595,klein::A,пичи,изи
596,lang::A,кузь,кужы
597,kurz::A,вакчи,кӹтӹк
598,breit::A,паськыт,кымда
599,schmal::A,сюлэг,ӓнгӹсӹр
600,dicht::A,ӵем,шӹре
601,dick[Gegenstand]::A,зӧк,кӹжгӹ
602,dünn::A,векчи,вӹцкӹж
603,fein::A,векчи,пыльга
604,fest::A,юн,цаткыды
605,fest::A,чурыт,цаткыды
606,flach::A,ӵошкыт,тӓлякӓ
607,glatt::A,гылыт,ягылгы
608,glatt::A,вольыт,ягылгы
609,hart::A,чурыт,пингӹдӹ
610,weich::A,небыт,пышкыды
611,rund::A,котырес,тӹртӹш
612,spitz::A,йылсо,кашар
613,scharf::A,лэчыт,кашар
614,stumpf::A,ныж,нӹшкӹ
615,schwer::A,секыт,нелӹ
616,schön::A,чебер,цевер
617,schön::A,чебер,олмыдшы
618,heiß::A,пӧсь,шокшы
619,warm::A,шуныт,шокшы
620,kalt::A,кезьыт,ӱштӹ
621,kühl::A,юзмыт,юалгы
622,kühl::A,юзмыт,йонгата
623,kühl::A,салкым,юалгы
624,kühl::A,салкым,йонгата
625,frisch::A,выль,йонгата
626,feucht::A,мускыт,ӹлӹкшӹ
627,feucht::A,мускыт,вӹдӹжгӹ
628,nass::A,котмем,начкы
629,trocken::A,кӧс,кукшы
630,voll::A,тыр,темшӹ
631,voll::A,тыр,темыман
632,leer::A,буш,йӓрӓ
633,leer::A,тырттэм,йӓрӓ
634,offen::A,усьтэм,виш
635,geschlossen::A,ӵогам,чӱчмӹ
636,geschlossen::A,ӵогам,тӹкӹлӓлтшӹ
637,geschlossen::A,пунням,чӱчмӹ
638,geschlossen::A,пунням,тӹкӹлӓлтшӹ
639,sauber::A,ӝикыт,ире
640,sauber::A,чылкыт,ире
641,schmutzig::A,нӧд,шоран
642,schmutzig::A,нӧд,лявӹрӓн
643,schmutzig::A,нӧд,шорангшы
644,roh::A,ыль,пеле кӱшӹ
645,reif::A,вуэм,кӱшӹ
646,lecker::A,ческыт,тотан
647,süß::A,ческыт,мӱӓн
648,bitter::A,курыт,качы
649,sauer::A,чырс,шапы
650,hell::A,югыт,соты
651,hell::A,югыт,валгыды
652,dunkel::A,пеймыт,пӹц
653,dunkel::A,пеймыт,пӹцкемӹш
654,schwarz::A,сьӧд,шим
655,weiß::A,тӧдьы,ош
656,weiß::A,тӧдьы,ошы
657,rot::A,горд,якшаргы
658,gelb::A,ӵуж,сар
659,gelb::A,ӵуж,сары
660,blau::A,лыз,симсӹ
661,grün::A,вож,ыжар
662,grau::A,пурысь,луды
663,bunt::A,куӵо,ала
664,billig::A,дунтэм,шулдаш
665,teuer::A,дуно,шергӹ
666,teuer::A,дуно,шергӓкӓн
667,wertvoll::A,дуно,ӓкӓн
668,blind::A,сукыр,слöпöй
669,blind::A,сукыр,сльöпöй
670,blind::A,синтэм,слöпöй
671,blind::A,синтэм,сльöпöй
672,taub::A,пельтэм,тӱтӱк
673,kräftig::A,кужмо,виӓн
674,stark::A,юн,виӓн
675,stark::A,кужмо,виӓн
676,schwach::A,ляб,шава
677,schwach::A,ляб,лӹпкӓ
678,schwach::A,ляб,слабка
679,schwach::A,начар,шава
680,schwach::A,начар,лӹпкӓ
681,schwach::A,начар,слабка
682,fett::A,кӧй,таза
683,schlank::A,веськыт,яштака
684,schlank::A,веськрес,яштака
685,hübsch::A,чебер,сӹлнӹ
686,hübsch::A,чебер,олмыдшы
687,hübsch::A,синмаськымон,сӹлнӹ
688,hübsch::A,синмаськымон,олмыдшы
689,böse::A,лек,шӹдӓн
690,dumm::A,шузи,окмак
691,dumm::A,визьтэм,окмак
692,faul::A,азьтэм,ялахай
693,fleißig::A,сюлмо,пӓшам яратышы
694,geizig::A,сук,шык
695,klug::A,визьмо,ышан
696,geschickt::A,усто,мастар
697,geschickt::A,быгатӥсь,мастар
698,lieb::A,мусо,тыри
699,lustig::A,шулдыр,мындыр
700,lustig::A,шулдыр,сусу
701,sanft::A,мусо,йӹвӹжӓ
702,sanft::A,эрке,йӹвӹжӓ
703,hungrig::A,сютэм,шужышы
704,krank::A,висись,церлӹ
705,krank::A,висись,хворой
706,nackt::A,гольык,цӓрӓ
707,traurig::A,мӧзмыт,сы́лыкан
708,traurig::A,мӧзмыт,кымы́лдымы
709,lebendig::A,улэп,живой
710,gut::A,ӟеч,яжо
711,gut::A,умой,яжо
712,schlecht::A,урод,уда
713,schlecht::A,урод,худа
714,schlecht::A,алама,уда
715,schlecht::A,алама,худа
716,richtig::A,шонер,вургамла
717,schlimm::A,алама,йӹрнык
718,wahr::A,зэмос,настоящий
719,wahr::A,зэмос,настояшый
720,alt::A,вуж,шонгы
721,neu::A,выль,у
722,ehemalig::A,азьвылэз,тошты
723,alt[Lebewesen]::A,пересь,ӹлалшӹ
724,jung::A,егит,нöргӹ
725,jung::A,егит,молода
726,jung::A,пинал,нöргӹ
727,jung::A,пинал,молода
728,arm::A,начар,укеӓн
729,arm::A,куанер,укеӓн
730,reich::A,узыр,паян
731,reich::A,узыр,пурлыкан
732,bekannt::A,тодмо,палӹмӹ
733,berühmt::A,дано,лӹмлы
734,fremd::A,ят,эдемӹн
735,verschieden::A,пӧртэм,тӹрлӹ
736,nah::A,матысь,лишӹл
737,fern::A,кыдёкысь,мӹндӹр
738,linker::A,паллян,шалахай
739,rechter::A,бур,вургамла
740,rechter::A,бурпал,вургамла
741,anderer::A,мукет,вес
742,anderer::A,мукет,весӹ
743,erster::A,нырысетӥез,икшӹ
