,Concept_ID,lv,zh
499,Verstand::N,вежӧр,理智
500,Verstand::N,prāts,理智
501,Sinn::N,мог,感觉
502,Sinn::N,вежӧртас,感觉
503,Sinn::N,nozīme,感觉
504,Grund::N,помка,理由
505,Grund::N,pamats,理由
506,Grund::N,iemesls,理由
507,Wahrheit::N,збыль,真理
508,Wahrheit::N,збыльтор,真理
509,Wahrheit::N,taisnība,真理
510,Wahrheit::N,patiesība,真理
511,Gespräch::N,сёрни,谈话
512,Gespräch::N,saruna,谈话
513,Märchen::N,мойд,童话
514,Märchen::N,pasaka,童话
515,Erzählung::N,висьт,故事
516,Erzählung::N,stāsts,故事
517,Erzählung::N,nostāsts,故事
518,Nachricht::N,юӧртӧм,消息
519,Nachricht::N,ziņa,消息
520,Neuigkeit::N,выльтор,新闻
521,Neuigkeit::N,jaunums,新闻
522,Name::N,ним,名字
523,Name::N,vārds,名字
524,Rätsel::N,нӧдкыв,谜语
525,Rätsel::N,mīkla,谜语
526,Rede::N,сёрни,讲话
527,Rede::N,runa,讲话
528,Sprache::N,кыв,语言
529,Sprache::N,valoda,语言
530,Stimme::N,гӧлӧс,声音
531,Stimme::N,вом шы,声音
532,Stimme::N,balss,声音
533,Wort::N,кыв,词
534,Wort::N,vārds,词
535,Zeichen::N,пас,标记
536,Zeichen::N,zīme,标记
537,Ruf::N,чукӧстчӧм,呼喊
538,Ruf::N,корӧм,呼喊
539,Ruf::N,sauciens,呼喊
540,Lärm::N,шы,噪音
541,Lärm::N,зык,噪音
542,Lärm::N,зычитӧм,噪音
543,Lärm::N,troksnis,噪音
544,Laut::N,шы,响声
545,Laut::N,skaņa,响声
546,Ton::N,шы,声音
547,Ton::N,tonis,声音
548,Lied::N,сьылан,歌曲
549,Lied::N,сьыланкыв,歌曲
550,Lied::N,dziesma,歌曲
551,Ruhe::N,чӧв,安静
552,Ruhe::N,miers,安静
553,Leute::N,йӧз,人们
554,Leute::N,войтыр,人们
555,Leute::N,ļaudis,人们
556,Leute::N,cilvēki,人们
557,Volk::N,йӧз,人民
558,Volk::N,войтыр,人民
559,Volk::N,tauta,人民
560,Arbeit::N,удж,劳动
561,Arbeit::N,darbs,劳动
562,Gast::N,гӧсть,客人
563,Gast::N,viešņa,客人
564,Gast::N,ciemiņš,客人
565,Geschenk::N,козин,礼物
566,Geschenk::N,dāvana,礼物
567,Spiel::N,ворсан,游戏
568,Spiel::N,rotaļa,游戏
569,Gesellschaft::N,котыр,陪同
570,Gesellschaft::N,biedrība,陪同
571,Gesellschaft::N,kompānija,陪同
572,Hilfe::N,отсӧг,帮助
573,Hilfe::N,palīdzība,帮助
574,Freund::N,ёрт,朋友
575,Freund::N,draugs,朋友
576,Kamerad::N,ёрт,同志
577,Kamerad::N,biedrs,同志
578,Angelegenheit::N,мог,事情
579,Angelegenheit::N,делӧ,事情
580,Angelegenheit::N,darīšana,事情
581,Anzahl::N,лыд,数目
582,Anzahl::N,тшӧт,数目
583,Anzahl::N,skaits,数目
584,Anzahl::N,daudzums,数目
585,Art::N,сикас,种类
586,Art::N,suga,种类
587,Art::N,šķira,种类
588,Stück::N,тор,块
589,Stück::N,gabals,块
590,Teil::N,юкӧн,部分
591,Teil::N,daļa,部分
592,Hälfte::N,пӧв,一半
593,Hälfte::N,джын,一半
594,Hälfte::N,puse,一半
595,Kreis::N,кытш,圆
596,Kreis::N,aplis,圆
597,Kreis::N,riņķis,圆
598,Kreuz::N,перна,十字架
599,Kreuz::N,крест,十字架
600,Kreuz::N,krusts,十字架
601,Linie::N,визь,线条
602,Linie::N,līnija,线条
603,Strich::N,визь,划
604,Strich::N,svītra,划
605,Abstand::N,кост,距离
606,Abstand::N,коласт,距离
607,Abstand::N,atstarpe,距离
608,Entfernung::N,ылна,距离
609,Entfernung::N,attālums,距离
610,Entfernung::N,atstatums,距离
611,Gegend::N,му-ва,地区
612,Gegend::N,apvidus,地区
613,Gegend::N,apgabals,地区
