,Concept_ID,mn,hr
431,Spitze::N,үзүүр,vrh
432,Spitze::N,үзүүр,šiljak
433,Ende::N,зах,konac
434,Ende::N,үзүүр,konac
435,Loch::N,цоорхой,rupa
436,Loch::N,онгорхой,rupa
437,Winkel::N,өнцөг,kut
438,Winkel::N,өнцөг,ugao
439,Muster::N,хээ,uzor
440,Muster::N,угалз,uzor
441,Größe::N,хэмжээ,veličina
442,Länge::N,урт,duljina
443,Höhe::N,өндөр,visina
444,Gewicht::N,жин,težina
445,Menge::N,тоо,mnoštvo
446,Menge::N,тоо,količina
447,Haufen::N,бөөн,hrpa
448,Haufen::N,бөөн,gomila
449,Reihe::N,эгнээ,red
450,Boot::N,завь,čun
451,Boot::N,завь,čamac
452,Ruder::N,сэлүүр,veslo
453,Schlitten::N,чарга,saone
454,Ski::N,цана,ski
455,Ski::N,цана,smučka
456,Lagerfeuer::N,түүдэг,logorska vatra
457,Last::N,ачаа,tovar
458,Gang::N,явдал,hod
459,Schritt::N,алхам,korak
460,Norden::N,умар,sjever
461,Süden::N,урд,jug
462,Süden::N,өмнө,jug
463,Westen::N,өрнө,zapad
464,Westen::N,баруун,zapad
465,Osten::N,зүүн,istok
466,Osten::N,дорно,istok
467,Holz::N,мод,drvo
468,Brett::N,банз,daska
469,Platte::N,хавтан,ploča
470,Stütze::N,тулгуур,potpora
471,Stütze::N,тулга,potpora
472,Stange::N,сургааг,motka
473,Stock::N,саваа,štap
474,Stock::N,саваа,palica
475,Stab::N,таяг,štap
476,Stab::N,таяг,šipka
477,Rohr::N,хоолой,cijev
478,Haus::N,гэр,kuća
479,Haus::N,байшин,kuća
480,Heim::N,гэр,dom
481,Ofen::N,зуух,peć
482,Ofen::N,пийшин,peć
483,Fußboden::N,шал,pod
484,Tisch::N,ширээ,stol
485,Tisch::N,ширээ,trpeza
486,Stuhl::N,сандал,stolac
487,Stuhl::N,сандал,stolica
488,Wiege::N,өлгий,kolijevka
489,Bett::N,ор,krevet
490,Bett::N,ор,postelja
491,Regal::N,тавиур,polica
492,Kiste::N,авдар,sanduk
493,Kiste::N,хайрцаг,sanduk
494,Fenster::N,гэгээвч,prozor
495,Tür::N,үүд,vrata
496,Tür::N,хаалга,vrata
497,Tor::N,хаалга,vrata
498,Tor::N,хаалга,kapija
499,Zaun::N,хашаа,plot
500,Zaun::N,хашаа,ograda
501,Dach::N,дээвэр,krov
502,Leiter::N,шат,ljestve
503,Leiter::N,шат,ljestvice
504,Besen::N,хамуур,metla
505,Besen::N,туужуу,metla
506,Spaten::N,хүрз,ašov
507,Schaufel::N,хүрз,lopata
508,Gabel::N,сэрээ,viljuška
509,Löffel::N,халбага,žlica
510,Messer::N,хутга,nož
511,Nagel::N,хадаас,čavao
512,Netz::N,өөш,mreža
513,Netz::N,тор,mreža
514,Haken::N,гох,kuka
515,Griff::N,иш,držak
516,Griff::N,иш,ručica
517,Griff::N,сэнж,držak
518,Griff::N,сэнж,ručica
519,Schloss::N,цуурга,brava
520,Schloss::N,цоож,brava
521,Bild::N,зураг,slika
522,Figur::N,баримал,figura
523,Puppe::N,хүүхэлдэй,lutka
524,Beutel::N,агсаа,kesa
525,Beutel::N,уут,kesa
526,Bündel::N,боодол,snop
527,Bündel::N,боодол,svežanj
528,Tasche::N,цүнх,torba
529,Tasche::N,цүнх,taška
530,Eimer::N,хөнөг,kabao
531,Eimer::N,хувин,kabao
532,Deckel::N,таг,poklopac
533,Deckel::N,хавхаг,poklopac
534,Geschirr::N,сав суулга,suđe
535,Geschirr::N,сав суулга,posuđe
536,Sack::N,шуудай,džak
537,Sack::N,шуудай,vreća
538,Tasse::N,аяга,šalica
539,Topf::N,тогоо,lonac
540,Kessel::N,тогоо,kazan
541,Essen::N,идээ,obrok
542,Nahrung::N,хүнс,hrana
543,Speise::N,идээ,jelo
544,Fleisch::N,мах,meso
545,Getreide::N,будаа,žito
546,Getreide::N,будаа,žitarice
547,Brei::N,богшмол,kaša
548,Brei::N,будаа,kaša
549,Brot::N,талх,kruh
550,Scheibe::N,зүсэм,kriška
551,Scheibe::N,хэрчим,kriška
552,Fett::N,өөх,mast
553,Fett::N,өөх,salo
554,Butter::N,тос,buter
555,Butter::N,тос,maslac
556,Öl::N,тос,ulje
557,Salz::N,давс,sol
558,Suppe::N,шөл,supa
559,Honig::N,бал,med
560,Milch::N,сүү,mlijeko
561,Tee::N,цай,čaj
562,Leder::N,арьс,koža
563,Leder::N,савхи,koža
564,Wolle::N,ноос,vuna
565,Wolle::N,унгас,vuna
566,Stoff::N,бөс,štof
567,Stoff::N,бөс,tkanina
568,Nadel::N,зүү,igla
569,Faden::N,боолт,nit
570,Faden::N,боолт,konac
571,Faden::N,утас,nit
572,Faden::N,утас,konac
573,Knopf::N,товч,dugme
574,Knoten::N,зангилаа,čvor
575,Knoten::N,зангилаа,uzao
